date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,141.75,142.08,138.77,138.85,91572682,0.0,0.0,AAPL
2022-11-25,134.29,134.57,130.38,132.61,58925526,0.0,0.0,AAPL
2022-11-28,130.27,131.44,127.62,128.87,67192897,0.0,0.0,AAPL
2022-11-29,131.73,132.56,131.49,131.87,60377739,0.0,0.0,AAPL
2022-11-30,133.59,135.2,133.05,133.57,106837959,0.0,0.0,AAPL
2022-12-01,137.62,138.67,134.15,137.1,35000000,0.0,0.0,AAPL
2022-12-02,135.19,136.32,132.8,135.82,63410553,0.0,0.0,AAPL
2022-12-05,138.19,139.73,137.81,138.27,70451704,0.0,0.0,AAPL
2022-12-06,140.21,140.45,138.45,139.14,81486257,0.0,0.0,AAPL
2022-12-07,136.36,141.05,136.18,138.64,51727080,0.0,0.0,AAPL
2022-12-08,143.16,145.26,140.38,141.59,60561618,0.0,0.0,AAPL
2022-12-09,143.36,145.45,142.74,143.79,83754349,0.0,0.0,AAPL
2022-12-12,146.07,146.25,142.16,144.08,67798541,0.0,0.0,AAPL
2022-12-13,144.21,145.23,143.84,144.16,72460949,0.0,0.0,AAPL
2022-12-14,148.83,149.24,147.59,148.96,94921772,0.0,0.0,AAPL
2022-12-15,151.74,152.27,148.42,150.76,35000000,0.0,0.0,AAPL
2022-12-16,146.68,147.4,146.57,147.3,92889154,0.0,0.0,AAPL
2022-12-19,152.69,156.04,151.42,154.57,72238771,0.0,0.0,AAPL
2022-12-20,150.06,152.08,145.04,147.58,66217453,0.0,0.0,AAPL
2022-12-21,150.06,151.87,148.03,148.42,79827690,0.0,0.0,AAPL
2022-12-22,151.04,153.19,148.15,148.95,77574657,0.0,0.0,AAPL
2022-12-23,156.73,156.93,155.45,156.9,52498593,0.0,0.0,AAPL
2022-12-26,157.53,157.82,152.75,155.75,41797491,0.0,0.0,AAPL
2022-12-27,157.3,159.26,154.46,155.38,131101075,0.0,0.0,AAPL
2022-12-28,160.94,163.25,158.72,159.87,41538465,0.0,0.0,AAPL
2022-12-29,157.04,158.83,156.69,158.55,56946353,0.0,0.0,AAPL
2022-12-30,157.71,159.33,156.29,157.41,63920734,0.0,0.0,AAPL
2023-01-02,156.37,161.38,154.11,161.1,92162968,0.0,0.0,AAPL
2023-01-03,155.85,157.22,153.64,156.72,73759439,0.0,0.0,AAPL
2023-01-04,159.6,161.61,158.34,160.19,35000000,0.0,0.0,AAPL
2023-01-05,167.92,169.29,163.56,164.88,43145549,0.0,0.0,AAPL
2023-01-06,163.66,165.01,161.64,162.71,50492212,0.0,0.0,AAPL
2023-01-09,164.43,164.77,161.98,164.71,114484933,0.0,0.0,AAPL
2023-01-10,165.02,165.91,163.75,164.41,96142265,0.0,0.0,AAPL
2023-01-11,166.4,168.95,164.89,167.29,80022592,0.0,0.0,AAPL
2023-01-12,153.45,156.49,151.69,156.14,55619171,0.0,0.0,AAPL
2023-01-13,161.86,162.42,161.78,162.35,95081052,0.0,0.0,AAPL
2023-01-16,164.35,164.73,161.53,162.94,112086862,0.0,0.0,AAPL
