date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,490.08,494.77,487.24,492.23,4987047,0.0,0.0,ADBE
2022-11-25,488.38,490.76,480.01,485.22,1947987,0.0,0.0,ADBE
2022-11-28,489.45,494.98,479.73,486.55,1500000,0.0,0.0,ADBE
2022-11-29,490.59,498.73,486.55,489.72,2562498,0.0,0.0,ADBE
2022-11-30,505.6,506.75,493.64,498.37,3123580,0.0,0.0,ADBE
2022-12-01,494.21,503.97,491.85,500.27,1939481,0.0,0.0,ADBE
2022-12-02,526.44,530.26,518.85,522.54,2052681,0.0,0.0,ADBE
2022-12-05,525.72,531.78,508.2,519.21,3331693,0.0,0.0,ADBE
2022-12-06,524.65,541.75,521.16,526.18,2899212,0.0,0.0,ADBE
2022-12-07,530.21,539.02,527.57,534.39,3371110,1.6538,0.0,ADBE
2022-12-08,524.36,525.81,523.46,525.72,4193942,0.0,0.0,ADBE
2022-12-09,541.26,553.34,528.84,535.8,3576463,0.0,0.0,ADBE
2022-12-12,522.42,524.85,519.25,522.73,3382947,0.0,0.0,ADBE
2022-12-13,530.76,533.31,518.07,519.37,2327689,0.0,0.0,ADBE
2022-12-14,512.01,516.89,510.45,511.92,2466616,0.0,0.0,ADBE
2022-12-15,494.1,504.06,488.66,500.86,3136551,0.0,0.0,ADBE
2022-12-16,497.11,503.98,485.64,489.6,3715474,0.0,0.0,ADBE
2022-12-19,481.64,485.06,481.13,483.93,2009690,0.0,0.0,ADBE
2022-12-20,475.51,479.08,473.34,476.3,2577941,0.0,0.0,ADBE
2022-12-21,470.46,471.79,466.64,471.22,3136541,0.0,0.0,ADBE
2022-12-22,466.16,475.12,462.42,470.87,3066767,0.0,0.0,ADBE
2022-12-23,463.36,464.38,458.59,459.97,4069483,0.0,0.0,ADBE
2022-12-26,477.01,485.95,467.41,470.13,3842286,0.0,0.0,ADBE
2022-12-27,489.64,491.62,482.71,483.71,2723088,0.0,0.0,ADBE
2022-12-28,471.2,472.66,459.43,466.13,4015336,0.0,0.0,ADBE
2022-12-29,469.81,472.9,463.2,466.74,3710176,0.0,0.0,ADBE
2022-12-30,457.1,467.52,453.91,462.57,4136018,0.0,0.0,ADBE
2023-01-02,473.17,475.28,467.82,469.05,3552296,0.0,0.0,ADBE
2023-01-03,470.56,474.17,458.02,463.84,1918721,0.0,0.0,ADBE
2023-01-04,464.23,472.7,462.81,468.47,1500000,0.0,0.0,ADBE
2023-01-05,473.54,474.0,466.44,472.02,4035599,0.0,0.0,ADBE
2023-01-06,487.02,487.51,481.97,482.35,3013562,0.0,0.0,ADBE
2023-01-09,491.04,494.02,484.24,493.45,4644797,0.0,0.0,ADBE
2023-01-10,486.91,493.91,480.61,490.25,2521700,0.0,0.0,ADBE
2023-01-11,503.15,503.38,496.76,497.86,4024388,0.0,0.0,ADBE
2023-01-12,504.05,511.37,498.88,508.66,2905340,0.0,0.0,ADBE
2023-01-13,488.62,500.73,485.51,494.21,2928980,0.0,0.0,ADBE
2023-01-16,490.64,491.35,487.9,489.74,2274840,0.0,0.0,ADBE
2023-01-17,485.61,488.52,484.42,485.23,2390306,0.0,0.0,ADBE
2023-01-18,480.05,490.09,476.69,482.72,2434056,0.0,0.0,ADBE
2023-01-19,465.85,476.6,460.06,466.5,3627735,0.0,0.0,ADBE
2023-01-20,469.66,474.12,463.31,468.18,1554825,0.0,0.0,ADBE
2023-01-23,456.24,458.82,454.0,456.51,4304781,0.0,0.0,ADBE
2023-01-24,452.68,454.69,446.69,451.05,3511622,0.0,0.0,ADBE
2023-01-25,478.91,481.3,458.44,466.42,2897217,0.0,0.0,ADBE
2023-01-26,462.87,464.33,459.43,462.66,3233939,0.0,0.0,ADBE
2023-01-27,478.92,488.57,472.95,481.5,3065695,0.0,0.0,ADBE
2023-01-30,462.47,469.17,461.6,465.81,2528358,0.0,0.0,ADBE
2023-01-31,447.06,451.58,443.42,446.31,2994212,0.0,0.0,ADBE
2023-02-01,450.27,456.75,449.69,451.41,2248924,0.0,0.0,ADBE
2023-02-02,452.17,453.36,448.57,449.71,3250473,0.0,0.0,ADBE
2023-02-03,438.67,439.58,437.63,438.18,2916900,0.0,0.0,ADBE
2023-02-06,434.68,442.72,427.1,432.95,2982807,1.3047,0.0,ADBE
2023-02-07,416.07,426.67,411.09,423.31,3135303,0.0,0.0,ADBE
2023-02-08,421.94,426.96,410.55,414.81,2193033,0.0,0.0,ADBE
2023-02-09,422.25,425.36,411.88,418.39,3667745,0.0,0.0,ADBE
2023-02-10,422.72,428.69,417.02,425.4,3325184,0.0,0.0,ADBE
2023-02-13,436.4,439.62,422.11,425.31,1500000,0.0,0.0,ADBE
2023-02-14,417.68,423.38,408.37,417.56,3448784,0.0,0.0,ADBE
2023-02-15,402.35,409.23,402.13,403.29,1826822,0.0,0.0,ADBE
2023-02-16,423.37,425.84,412.95,413.95,2407137,0.0,0.0,ADBE
2023-02-17,409.38,420.63,406.74,415.45,1500000,0.0,0.0,ADBE
2023-02-20,429.52,439.19,426.35,431.1,4123704,0.0,0.0,ADBE
2023-02-21,429.24,435.71,423.02,425.78,3233092,0.0,0.0,ADBE
2023-02-22,429.51,437.53,423.27,427.64,3159458,0.0,0.0,ADBE
2023-02-23,426.23,428.88,421.83,424.59,2563647,0.0,0.0,ADBE
2023-02-24,431.98,435.01,425.19,425.75,2676715,0.0,0.0,ADBE
2023-02-27,408.79,421.12,408.66,420.11,3207312,0.0,0.0,ADBE
2023-02-28,410.8,415.22,409.35,412.36,1500000,0.0,0.0,ADBE
2023-03-01,417.18,420.47,415.32,417.99,2655598,0.0,0.0,ADBE
2023-03-02,433.54,434.61,423.0,426.29,2091356,0.0,0.0,ADBE
2023-03-03,431.89,432.01,429.72,431.92,3175169,0.0,0.0,ADBE
2023-03-06,426.88,427.88,420.81,424.51,2590486,0.0,0.0,ADBE
2023-03-07,412.72,417.29,411.78,416.03,1500000,0.0,0.0,ADBE
2023-03-08,417.32,421.93,413.69,414.37,2355278,0.0,0.0,ADBE
2023-03-09,427.17,433.13,426.36,430.83,3471748,0.0,0.0,ADBE
2023-03-10,421.52,426.3,413.15,423.99,2603494,0.0,0.0,ADBE
2023-03-13,404.03,412.35,401.39,411.34,2955718,0.0,0.0,ADBE
2023-03-14,427.06,435.65,422.39,427.24,3026320,0.0,0.0,ADBE
2023-03-15,446.73,450.29,435.99,441.33,3710334,0.0,0.0,ADBE
2023-03-16,438.51,444.26,433.16,439.17,1636999,0.0,0.0,ADBE
2023-03-17,455.34,456.21,447.66,451.32,2718686,0.0,0.0,ADBE
2023-03-20,441.73,444.37,441.67,442.63,2909135,0.0,0.0,ADBE
2023-03-21,453.94,456.83,436.03,448.61,1949536,0.0,0.0,ADBE
2023-03-22,453.66,456.01,449.02,453.46,4320366,0.0,0.0,ADBE
2023-03-23,457.03,461.95,446.01,459.04,2772842,0.0,0.0,ADBE
2023-03-24,466.84,470.96,461.49,464.78,3789993,0.0,0.0,ADBE
2023-03-27,484.07,490.87,476.29,481.41,3728788,0.0,0.0,ADBE
2023-03-28,479.88,489.51,479.26,484.3,3525373,0.0,0.0,ADBE
2023-03-29,491.52,501.08,483.11,483.61,3481196,0.0,0.0,ADBE
2023-03-30,490.59,491.3,484.08,489.55,1746837,0.0,0.0,ADBE
2023-03-31,490.09,493.8,485.74,492.83,2907566,0.0,0.0,ADBE
2023-04-03,503.09,509.21,492.45,493.07,3218773,0.0,0.0,ADBE
2023-04-04,496.19,502.08,486.87,496.29,3069154,0.0,0.0,ADBE
2023-04-05,503.81,505.29,502.48,505.03,2880210,0.0,0.0,ADBE
2023-04-06,509.0,510.35,492.75,501.87,4715772,0.0,0.0,ADBE
2023-04-07,484.64,495.95,476.48,488.67,4387154,0.0,0.0,ADBE
2023-04-10,492.16,496.04,491.36,494.56,4724669,0.0,0.0,ADBE
2023-04-11,499.99,506.3,487.8,493.96,2422521,0.0,0.0,ADBE
2023-04-12,476.06,484.79,473.26,480.86,3509707,0.0,0.0,ADBE
2023-04-13,487.07,505.99,485.43,492.67,3054351,0.0,0.0,ADBE
2023-04-14,479.82,484.0,473.38,481.97,4389183,0.0,0.0,ADBE
2023-04-17,488.61,490.04,479.58,480.14,3367953,0.0,0.0,ADBE
2023-04-18,487.24,487.41,485.0,487.02,3140520,0.0,0.0,ADBE
2023-04-19,476.13,479.09,473.19,478.05,4370959,0.0,0.0,ADBE
2023-04-20,482.38,491.22,481.63,488.53,3505068,0.0,0.0,ADBE
2023-04-21,481.28,485.51,478.01,484.24,3194740,0.0,0.0,ADBE
2023-04-24,476.64,487.29,470.0,483.76,3394117,0.0,0.0,ADBE
2023-04-25,492.3,496.65,488.73,491.07,2587488,0.0,0.0,ADBE
2023-04-26,497.72,514.89,496.82,503.22,2457688,0.0,0.0,ADBE
2023-04-27,481.63,488.29,478.49,483.06,1500000,0.0,0.0,ADBE
2023-04-28,454.3,460.85,453.49,457.03,2311353,0.0,0.0,ADBE
2023-05-01,470.14,471.27,454.48,467.83,3826170,0.0,0.0,ADBE
2023-05-02,467.18,471.36,465.64,465.74,2628003,0.0,0.0,ADBE
2023-05-03,457.45,471.52,448.52,465.05,1811878,0.0,0.0,ADBE
2023-05-04,456.52,457.0,454.18,456.53,3035662,0.0,0.0,ADBE
2023-05-05,469.89,473.58,461.09,465.19,1553756,0.0,0.0,ADBE
2023-05-08,476.77,482.5,464.48,469.18,3999920,0.0,0.0,ADBE
2023-05-09,463.85,471.32,458.27,468.68,3896366,0.0,0.0,ADBE
2023-05-10,479.04,479.86,475.58,479.19,3406147,0.0,0.0,ADBE
2023-05-11,478.77,481.84,478.35,479.94,4897862,0.0,0.0,ADBE
2023-05-12,485.28,489.44,472.44,479.67,1956936,0.0,0.0,ADBE
2023-05-15,473.0,478.36,470.19,472.7,4108830,0.0,0.0,ADBE
2023-05-16,469.09,474.39,465.91,472.84,3278126,0.0,0.0,ADBE
2023-05-17,463.38,468.04,460.28,465.32,3446488,0.0,0.0,ADBE
2023-05-18,482.2,487.32,466.91,472.89,2453037,0.0,0.0,ADBE
2023-05-19,463.3,466.31,459.7,461.88,2088286,0.0,0.0,ADBE
2023-05-22,467.46,479.2,462.16,469.69,3089756,0.0,0.0,ADBE
2023-05-23,464.54,474.99,461.31,467.91,1919404,0.0,0.0,ADBE
2023-05-24,479.33,480.88,475.28,477.02,2315427,0.0,0.0,ADBE
2023-05-25,470.03,484.97,464.23,467.39,2829680,0.0,0.0,ADBE
2023-05-26,461.49,466.26,459.65,465.12,2347724,0.0,0.0,ADBE
2023-05-29,460.94,461.47,454.44,457.11,3997774,0.0,0.0,ADBE
2023-05-30,444.7,461.13,440.15,458.04,3464591,0.0,0.0,ADBE
2023-05-31,453.12,458.07,444.99,451.88,4309821,0.0,0.0,ADBE
2023-06-01,447.55,452.11,441.66,443.08,4282672,0.0,0.0,ADBE
2023-06-02,446.12,458.55,434.87,437.53,3718869,0.0,0.0,ADBE
2023-06-05,432.45,436.87,429.76,431.14,2985641,0.0,0.0,ADBE
2023-06-06,422.65,429.54,415.57,427.46,3175564,0.0,0.0,ADBE
2023-06-07,434.25,439.22,434.13,437.93,4432020,0.0,0.0,ADBE
2023-06-08,436.31,442.74,435.04,440.86,3903672,0.0,0.0,ADBE
2023-06-09,450.49,456.34,441.0,447.88,1500000,0.0,0.0,ADBE
2023-06-12,434.74,449.09,431.83,447.29,3512878,0.0,0.0,ADBE
2023-06-13,441.56,450.04,438.23,449.95,3187209,0.0,0.0,ADBE
2023-06-14,474.54,475.73,470.35,473.42,2537945,0.0,0.0,ADBE
2023-06-15,494.71,497.99,481.55,482.3,2330344,0.0,0.0,ADBE
2023-06-16,487.36,492.52,481.13,492.32,2887930,0.0,0.0,ADBE
2023-06-19,496.8,507.69,493.2,500.95,1869242,0.0,0.0,ADBE
2023-06-20,485.49,487.94,482.41,484.65,3801768,0.0,0.0,ADBE
2023-06-21,493.28,498.52,492.96,495.06,2615597,0.0,0.0,ADBE
2023-06-22,471.02,475.99,468.89,472.97,2686161,0.0,0.0,ADBE
2023-06-23,460.94,470.98,459.99,464.82,4671085,0.0,0.0,ADBE
2023-06-26,472.82,474.44,471.2,472.02,2686327,0.0,0.0,ADBE
2023-06-27,463.31,471.47,460.0,464.98,4182362,0.0,0.0,ADBE
2023-06-28,436.3,440.05,432.25,437.64,2751719,0.0,0.0,ADBE
2023-06-29,434.73,442.11,424.51,433.1,2976983,0.0,0.0,ADBE
2023-06-30,425.63,437.5,424.12,431.47,1966468,0.0,0.0,ADBE
2023-07-03,446.51,454.51,425.71,436.23,4078987,0.0,0.0,ADBE
2023-07-04,443.05,443.87,439.04,440.19,3336646,0.0,0.0,ADBE
2023-07-05,437.96,442.11,433.68,435.71,3372439,0.0,0.0,ADBE
2023-07-06,438.28,447.08,434.93,435.64,3971039,0.0,0.0,ADBE
2023-07-07,432.74,439.79,430.35,435.28,3833175,0.0,0.0,ADBE
2023-07-10,438.66,449.4,433.11,433.8,3379795,0.0,0.0,ADBE
2023-07-11,421.27,425.99,420.54,422.8,3699839,0.0,0.0,ADBE
2023-07-12,430.43,433.98,427.74,431.96,2246113,0.0,0.0,ADBE
2023-07-13,439.03,441.33,432.3,438.9,3528347,0.0,0.0,ADBE
2023-07-14,443.98,445.37,438.75,438.76,2994675,0.0,0.0,ADBE
2023-07-17,444.93,445.31,434.07,434.08,3351894,0.0,0.0,ADBE
2023-07-18,437.82,441.76,431.61,436.44,4473753,0.0,0.0,ADBE
2023-07-19,422.25,425.79,420.95,424.93,3637201,0.0,0.0,ADBE
2023-07-20,428.11,438.91,427.63,434.82,2496375,0.0,0.0,ADBE
2023-07-21,437.73,451.29,432.59,446.02,2556468,0.0,0.0,ADBE
2023-07-24,462.27,469.28,453.94,455.7,2685193,0.0,0.0,ADBE
2023-07-25,474.58,478.91,464.16,470.82,2841803,0.0,0.0,ADBE
2023-07-26,488.71,496.47,487.06,493.55,2864781,0.0,0.0,ADBE
2023-07-27,506.3,513.89,503.94,507.8,3134560,0.0,0.0,ADBE
2023-07-28,492.0,493.09,485.43,488.08,3598790,0.0,0.0,ADBE
2023-07-31,483.97,489.42,475.29,488.9,3407196,0.0,0.0,ADBE
2023-08-01,476.94,484.76,476.7,480.26,2198182,0.0,0.0,ADBE
2023-08-02,463.72,473.63,461.94,471.48,3491066,0.0,0.0,ADBE
2023-08-03,457.22,464.8,456.19,464.14,2191366,0.0,0.0,ADBE
2023-08-04,462.24,474.08,458.42,468.18,4145846,0.0,0.0,ADBE
2023-08-07,481.44,482.21,471.16,474.57,3321511,0.0,0.0,ADBE
2023-08-08,462.44,470.93,461.31,465.46,2378275,0.0,0.0,ADBE
2023-08-09,474.82,477.15,460.83,467.9,3786192,0.0,0.0,ADBE
2023-08-10,481.02,491.58,474.01,482.27,2378113,0.0,0.0,ADBE
2023-08-11,482.0,488.76,480.94,482.87,3478386,0.0,0.0,ADBE
2023-08-14,483.44,485.35,478.6,483.86,4106275,0.0,0.0,ADBE
2023-08-15,482.99,487.26,476.12,478.67,3180993,0.0,0.0,ADBE
2023-08-16,480.09,485.45,466.62,474.05,2436578,0.0,0.0,ADBE
2023-08-17,477.87,478.82,472.64,475.32,3130453,0.0,0.0,ADBE
2023-08-18,473.03,476.67,452.51,461.98,1661129,0.0,0.0,ADBE
2023-08-21,434.57,441.1,430.14,440.59,4223983,0.0,0.0,ADBE
2023-08-22,469.07,474.95,460.78,461.65,4010980,0.0,0.0,ADBE
2023-08-23,465.89,471.88,464.86,465.7,2793577,0.0,0.0,ADBE
2023-08-24,470.49,478.11,465.64,472.3,2653098,0.0,0.0,ADBE
2023-08-25,474.88,478.12,459.56,462.78,1500000,0.0,0.0,ADBE
2023-08-28,465.8,467.36,455.77,462.63,1698737,0.0,0.0,ADBE
2023-08-29,472.6,478.88,466.04,471.11,4002757,0.0,0.0,ADBE
2023-08-30,457.1,468.73,454.76,465.93,2975264,0.0,0.0,ADBE
2023-08-31,466.85,473.42,464.23,465.59,3265220,0.0,0.0,ADBE
2023-09-01,467.95,474.98,465.75,466.65,2981418,0.0,0.0,ADBE
2023-09-04,475.91,479.11,473.22,474.31,4279229,0.0,0.0,ADBE
2023-09-05,483.64,485.74,472.77,477.43,2821050,0.0,0.0,ADBE
2023-09-06,468.49,477.52,458.92,462.64,3713152,0.0,0.0,ADBE
2023-09-07,479.6,489.2,477.91,485.82,3022068,0.0,0.0,ADBE
2023-09-08,486.47,496.02,479.5,483.77,1649628,0.0,0.0,ADBE
2023-09-11,486.28,488.65,477.36,485.61,3569965,0.0,0.0,ADBE
2023-09-12,478.39,481.03,478.31,478.79,3082669,0.0,0.0,ADBE
2023-09-13,473.74,476.87,464.22,475.51,4360790,0.0,0.0,ADBE
2023-09-14,466.19,471.22,463.61,471.19,1500000,0.0,0.0,ADBE
2023-09-15,478.29,492.46,473.01,474.95,3284136,0.0,0.0,ADBE
2023-09-18,476.89,488.17,474.63,483.29,3903569,0.0,0.0,ADBE
2023-09-19,469.12,476.18,457.64,475.14,2290353,0.0,0.0,ADBE
2023-09-20,482.58,499.97,482.45,487.15,2312392,0.0,0.0,ADBE
2023-09-21,496.93,508.82,493.49,494.16,1945504,0.0,0.0,ADBE
2023-09-22,492.78,499.13,488.39,493.28,2926355,0.0,0.0,ADBE
2023-09-25,496.35,501.71,487.98,497.36,3416845,0.0,0.0,ADBE
2023-09-26,486.85,487.45,478.87,485.8,4222641,0.0,0.0,ADBE
2023-09-27,471.99,475.54,467.39,474.28,4181798,0.0,0.0,ADBE
2023-09-28,468.39,487.8,467.87,483.41,3621176,0.0,0.0,ADBE
2023-09-29,467.56,467.91,462.58,467.76,3812187,0.0,0.0,ADBE
2023-10-02,465.29,467.94,460.27,462.08,4419820,0.0,0.0,ADBE
2023-10-03,468.86,474.41,467.71,468.84,3213164,0.0,0.0,ADBE
2023-10-04,461.89,464.42,457.81,461.39,3162442,0.0,0.0,ADBE
2023-10-05,482.69,489.7,472.03,477.08,4567483,0.0,0.0,ADBE
2023-10-06,461.2,470.35,460.68,470.16,2338072,0.0,0.0,ADBE
2023-10-09,448.18,465.6,447.19,456.32,2796112,0.0,0.0,ADBE
2023-10-10,448.44,448.87,444.95,446.83,3622865,0.0,0.0,ADBE
2023-10-11,452.56,458.91,445.0,445.73,3745111,0.0,0.0,ADBE
2023-10-12,450.42,454.31,447.99,449.93,3102247,0.0,0.0,ADBE
2023-10-13,440.21,444.81,435.01,439.72,1500000,0.0,0.0,ADBE
2023-10-16,427.89,433.98,427.85,429.96,2647615,0.0,0.0,ADBE
2023-10-17,433.09,437.27,428.22,436.14,3467182,0.0,0.0,ADBE
2023-10-18,431.45,437.92,425.26,431.25,3853708,0.0,0.0,ADBE
2023-10-19,434.09,437.67,424.06,433.21,2525262,0.0,0.0,ADBE
2023-10-20,426.52,437.35,419.45,424.52,2126377,0.0,0.0,ADBE
2023-10-23,421.05,423.5,414.59,417.41,2170446,0.0,0.0,ADBE
2023-10-24,404.59,412.69,400.08,404.07,2560506,0.0,0.0,ADBE
2023-10-25,394.27,394.54,393.75,394.28,3713536,0.0,0.0,ADBE
2023-10-26,385.43,390.97,385.26,390.24,2512912,0.0,0.0,ADBE
2023-10-27,378.26,379.06,370.97,376.45,2316999,0.0,0.0,ADBE
2023-10-30,384.98,386.95,374.67,382.79,2997824,0.0,0.0,ADBE
2023-10-31,401.78,410.57,390.35,400.04,2108126,0.0,0.0,ADBE
2023-11-01,393.15,397.09,391.61,394.24,2391670,0.0,0.0,ADBE
2023-11-02,396.72,404.88,391.29,398.68,3423510,0.0,0.0,ADBE
2023-11-03,406.07,409.29,405.94,408.59,2486183,0.0,0.0,ADBE
2023-11-06,420.11,420.56,411.02,412.42,2974855,0.0,0.0,ADBE
2023-11-07,424.26,430.69,407.77,413.91,1539756,0.0,0.0,ADBE
2023-11-08,410.23,415.47,404.31,409.52,2907038,0.0,0.0,ADBE
2023-11-09,418.43,421.79,408.53,415.34,3332602,0.0,0.0,ADBE
2023-11-10,418.9,419.13,413.77,418.43,2715722,0.0,0.0,ADBE
2023-11-13,411.26,411.76,403.5,408.14,2883119,0.0,0.0,ADBE
2023-11-14,394.44,396.59,386.82,390.36,4330342,0.0,0.0,ADBE
2023-11-15,404.38,411.49,403.24,407.15,3575894,0.0,0.0,ADBE
2023-11-16,403.67,404.79,402.08,404.28,1753121,0.0,0.0,ADBE
2023-11-17,397.16,397.45,395.53,396.66,3234516,0.0,0.0,ADBE
2023-11-20,391.41,392.05,380.31,387.42,4124254,0.0,0.0,ADBE
2023-11-21,389.54,391.86,384.8,388.26,4220583,0.0,0.0,ADBE
2023-11-22,393.89,396.17,389.47,392.33,3482128,0.0,0.0,ADBE
2023-11-23,404.64,407.63,395.58,398.61,1785009,0.0,0.0,ADBE
2023-11-24,410.51,419.66,406.9,407.97,3514952,0.0,0.0,ADBE
2023-11-27,417.61,425.36,408.85,414.89,2979201,0.0,0.0,ADBE
2023-11-28,418.53,429.04,417.69,422.32,5339906,0.0,0.0,ADBE
2023-11-29,412.97,429.62,410.28,422.89,3045574,0.0,0.0,ADBE
2023-11-30,411.27,416.34,408.76,412.71,2214390,0.0,0.0,ADBE
2023-12-01,437.08,437.69,432.77,433.88,2756980,0.0,0.0,ADBE
2023-12-04,436.56,443.42,426.93,434.54,1500000,0.0,0.0,ADBE
2023-12-05,431.19,438.0,429.64,435.94,2904606,0.0,0.0,ADBE
2023-12-06,436.18,441.46,434.63,435.39,2115706,0.0,0.0,ADBE
2023-12-07,429.86,440.18,423.61,432.8,3069108,0.0,0.0,ADBE
2023-12-08,438.22,441.35,434.47,439.96,2925131,0.0,0.0,ADBE
2023-12-11,438.61,448.55,435.44,441.4,2500713,0.0,0.0,ADBE
2023-12-12,440.2,446.16,439.72,441.41,3074340,0.0,0.0,ADBE
2023-12-13,438.94,442.59,430.85,440.32,2220423,0.0,0.0,ADBE
2023-12-14,446.85,451.34,435.22,440.12,3580656,0.0,0.0,ADBE
2023-12-15,421.91,423.75,421.84,421.93,3754576,0.0,0.0,ADBE
2023-12-18,410.09,412.67,407.56,407.82,3359708,0.0,0.0,ADBE
2023-12-19,397.59,404.05,392.85,402.97,3115747,0.0,0.0,ADBE
2023-12-20,399.69,405.67,390.33,405.55,2999518,0.0,0.0,ADBE
2023-12-21,410.34,411.27,403.53,409.31,1928757,0.0,0.0,ADBE
2023-12-22,406.92,412.92,406.45,411.55,2850365,0.0,0.0,ADBE
2023-12-25,417.58,419.88,412.39,412.69,3247835,0.0,0.0,ADBE
2023-12-26,404.24,410.85,403.03,406.66,2369307,0.0,0.0,ADBE
2023-12-27,416.35,421.0,406.57,409.78,4018075,0.0,0.0,ADBE
2023-12-28,405.76,408.33,404.09,407.13,3952779,0.0,0.0,ADBE
2023-12-29,387.69,395.13,383.15,394.32,3442512,0.0,0.0,ADBE
2024-01-01,397.26,401.04,390.16,396.12,3740544,0.0,0.0,ADBE
2024-01-02,388.29,392.97,384.1,392.28,3798790,0.0,0.0,ADBE
2024-01-03,394.6,397.03,392.86,394.69,2519982,0.0,0.0,ADBE
2024-01-04,388.78,393.46,382.52,392.14,3239857,0.0,0.0,ADBE
2024-01-05,408.75,410.3,405.46,407.69,3744323,0.0,0.0,ADBE
2024-01-08,422.93,431.37,417.18,419.44,3281161,0.0,0.0,ADBE
2024-01-09,402.35,411.82,401.34,406.26,2139135,0.0,0.0,ADBE
2024-01-10,422.7,425.56,418.23,424.51,2417737,0.0,0.0,ADBE
2024-01-11,418.17,420.05,415.69,418.63,2009070,0.0,0.0,ADBE
2024-01-12,419.24,430.42,418.12,426.24,5435059,0.0,0.0,ADBE
2024-01-15,422.37,427.77,414.36,416.84,1500000,0.0,0.0,ADBE
2024-01-16,432.54,433.05,424.45,428.54,1500000,0.0,0.0,ADBE
2024-01-17,433.43,439.91,433.02,436.62,1635195,0.0,0.0,ADBE
2024-01-18,437.69,441.75,436.65,437.39,2052662,0.0,0.0,ADBE
2024-01-19,441.41,444.86,433.14,438.79,2632472,0.0,0.0,ADBE
2024-01-22,422.76,428.45,417.9,428.06,4080387,0.0,0.0,ADBE
2024-01-23,416.35,425.04,410.81,422.29,2931335,0.0,0.0,ADBE
2024-01-24,410.1,414.94,402.54,412.95,2869900,0.0,0.0,ADBE
2024-01-25,426.29,429.94,422.11,424.71,2737262,0.0,0.0,ADBE
2024-01-26,415.04,419.38,408.77,417.81,2822966,0.0,0.0,ADBE
2024-01-29,412.18,418.99,406.05,412.42,3333159,0.0,0.0,ADBE
2024-01-30,413.86,416.2,404.32,406.81,3133531,0.0,0.0,ADBE
2024-01-31,406.6,420.09,405.85,409.4,3343857,0.0,0.0,ADBE
2024-02-01,409.04,411.81,404.21,404.91,2829332,0.0,0.0,ADBE
2024-02-02,408.56,417.59,406.65,413.91,3317315,0.0,0.0,ADBE
2024-02-05,413.97,425.67,413.37,416.52,3363885,0.0,0.0,ADBE
2024-02-06,420.41,423.96,415.42,420.32,3808868,0.0,0.0,ADBE
2024-02-07,414.59,419.8,412.78,414.87,1722352,0.0,0.0,ADBE
2024-02-08,425.72,427.8,422.67,424.37,3797808,0.0,0.0,ADBE
2024-02-09,399.03,400.71,395.93,399.31,3339381,0.0,0.0,ADBE
2024-02-12,382.61,386.52,379.15,385.84,2311035,0.0,0.0,ADBE
2024-02-13,383.63,384.98,378.49,379.96,2352594,0.0,0.0,ADBE
2024-02-14,385.59,385.73,378.74,381.3,3073483,0.0,0.0,ADBE
2024-02-15,381.98,385.66,380.71,383.01,3305976,0.0,0.0,ADBE
2024-02-16,374.72,376.09,373.28,375.59,4017450,0.0,0.0,ADBE
2024-02-19,374.74,379.64,367.51,370.23,4242754,0.0,0.0,ADBE
2024-02-20,360.42,365.08,357.94,364.29,3461628,0.0,0.0,ADBE
2024-02-21,369.44,371.47,363.05,363.77,1652239,0.0,0.0,ADBE
2024-02-22,358.32,370.63,356.35,367.38,4454918,0.0,0.0,ADBE
2024-02-23,364.06,370.5,360.02,369.73,4270956,0.0,0.0,ADBE
2024-02-26,365.48,372.87,363.92,364.21,3002329,0.0,0.0,ADBE
2024-02-27,365.92,368.62,360.42,361.62,4048797,0.0,0.0,ADBE
2024-02-28,365.26,365.7,362.0,364.39,4385921,0.0,0.0,ADBE
2024-02-29,356.54,361.08,351.22,358.87,4298029,0.0,0.0,ADBE
