date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,89.61,91.58,89.21,91.03,52110230,0.0,0.0,AMD
2022-11-25,91.95,92.48,91.28,92.32,80672394,0.0,0.0,AMD
2022-11-28,92.27,94.75,91.7,93.5,74015060,0.0,0.0,AMD
2022-11-29,96.69,99.54,95.02,97.41,54217532,0.0,0.0,AMD
2022-11-30,100.87,101.26,98.08,98.87,87341185,0.0,0.0,AMD
2022-12-01,95.83,96.97,95.44,96.35,75255882,0.0,0.0,AMD
2022-12-02,96.5,99.1,95.89,96.73,49051852,0.0,0.0,AMD
2022-12-05,96.15,96.5,95.55,96.32,44407353,0.0,0.0,AMD
2022-12-06,98.81,98.83,97.27,97.96,54109556,0.0,0.0,AMD
2022-12-07,99.17,99.88,96.82,97.12,85256205,0.0,0.0,AMD
2022-12-08,92.29,93.04,91.04,91.4,59803412,0.0,0.0,AMD
2022-12-09,92.9,94.35,92.14,92.91,42630674,0.0,0.0,AMD
2022-12-12,91.75,93.11,90.47,92.07,33083912,0.0,0.0,AMD
2022-12-13,95.62,96.47,95.01,95.09,59432388,0.0,0.0,AMD
2022-12-14,98.59,99.8,96.77,98.68,48841910,0.0,0.0,AMD
2022-12-15,102.72,104.78,101.84,103.28,61349221,0.0,0.0,AMD
2022-12-16,101.29,102.41,101.05,102.39,77951761,0.0,0.0,AMD
2022-12-19,104.21,104.88,102.95,103.8,43941996,0.0,0.0,AMD
2022-12-20,107.7,109.67,107.03,107.22,63185921,0.0,0.0,AMD
2022-12-21,103.28,105.44,100.7,104.4,71208454,0.0,0.0,AMD
2022-12-22,101.25,103.05,100.95,102.07,69136085,0.0,0.0,AMD
2022-12-23,104.71,104.97,103.3,104.48,30000000,0.0,0.0,AMD
2022-12-26,102.1,103.63,100.51,100.67,50267680,0.0,0.0,AMD
2022-12-27,101.77,103.05,99.45,100.55,45586819,0.0,0.0,AMD
2022-12-28,99.38,99.86,98.15,98.62,40191289,0.0,0.0,AMD
2022-12-29,99.02,101.17,97.8,99.5,60055177,0.0,0.0,AMD
2022-12-30,98.44,100.2,98.25,99.66,65184959,0.0,0.0,AMD
2023-01-02,101.03,103.8,98.7,99.5,30000000,0.0,0.0,AMD
2023-01-03,100.25,100.88,98.48,99.1,56750525,0.0,0.0,AMD
2023-01-04,98.97,100.23,98.28,98.45,59075764,0.0,0.0,AMD
2023-01-05,96.79,99.28,96.16,97.8,68827300,0.0,0.0,AMD
2023-01-06,98.02,99.51,96.76,99.0,56735137,0.0,0.0,AMD
2023-01-09,99.19,99.98,98.41,99.15,68251818,0.0,0.0,AMD
