date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,128.9,129.28,126.09,127.28,62496242,0.0,0.0,AMZN
2022-11-25,128.57,130.16,126.81,127.58,50111043,0.0,0.0,AMZN
2022-11-28,125.83,126.58,125.42,126.22,57556316,0.0,0.0,AMZN
2022-11-29,124.06,126.65,123.35,124.89,79059655,0.0,0.0,AMZN
2022-11-30,126.18,127.77,124.19,125.84,37230951,0.0,0.0,AMZN
2022-12-01,122.51,123.74,121.97,122.83,34256900,0.0,0.0,AMZN
2022-12-02,123.54,125.47,122.61,123.81,76620866,0.0,0.0,AMZN
2022-12-05,125.59,125.66,125.19,125.26,47777324,0.0,0.0,AMZN
2022-12-06,122.93,124.5,122.55,122.78,32357477,0.0,0.0,AMZN
2022-12-07,120.37,122.68,118.63,119.26,59523948,0.0,0.0,AMZN
2022-12-08,117.8,119.89,117.15,119.59,25000000,0.0,0.0,AMZN
2022-12-09,122.68,122.76,121.1,122.4,53475765,0.0,0.0,AMZN
2022-12-12,123.89,126.87,123.09,125.08,56046417,0.0,0.0,AMZN
2022-12-13,127.64,128.03,126.67,126.99,68786458,0.0,0.0,AMZN
2022-12-14,127.08,127.6,126.5,126.77,73209177,0.0,0.0,AMZN
2022-12-15,123.81,124.7,123.18,124.42,56467811,0.0,0.0,AMZN
2022-12-16,127.52,129.35,126.79,127.55,35821727,0.0,0.0,AMZN
2022-12-19,128.95,130.44,123.95,126.03,55407872,0.0,0.0,AMZN
2022-12-20,128.92,129.31,127.53,128.93,77846614,0.0,0.0,AMZN
2022-12-21,130.07,130.14,129.21,129.73,54446407,0.6071,0.0,AMZN
2022-12-22,129.7,130.37,128.72,130.13,46406209,0.0,0.0,AMZN
2022-12-23,131.64,133.89,126.51,130.24,46327136,0.0,0.0,AMZN
2022-12-26,131.82,132.29,131.46,131.98,30533748,0.0,0.0,AMZN
2022-12-27,132.23,135.36,132.15,134.79,39438733,0.0,0.0,AMZN
2022-12-28,137.27,139.55,133.49,135.48,55424589,0.0,0.0,AMZN
2022-12-29,136.89,139.1,133.06,134.25,100219919,0.0,0.0,AMZN
2022-12-30,141.55,142.55,141.45,141.54,79409543,0.0,0.0,AMZN
2023-01-02,136.96,138.77,135.59,136.62,40836263,0.0,0.0,AMZN
2023-01-03,138.86,141.09,133.67,136.08,40665254,0.0,0.0,AMZN
2023-01-04,138.17,140.49,136.52,137.79,51495389,0.0,0.0,AMZN
2023-01-05,140.44,143.11,139.56,142.42,56131560,0.0,0.0,AMZN
2023-01-06,145.13,146.25,141.83,144.83,38627843,0.0,0.0,AMZN
2023-01-09,151.22,153.55,148.81,150.38,66250392,0.0,0.0,AMZN
2023-01-10,152.33,156.61,150.23,154.11,58875217,0.0,0.0,AMZN
2023-01-11,149.94,152.79,147.92,150.46,25000000,0.0,0.0,AMZN
2023-01-12,148.83,153.1,148.61,150.37,59829941,0.0,0.0,AMZN
2023-01-13,152.35,152.92,150.57,152.01,33486620,0.0,0.0,AMZN
2023-01-16,149.82,153.88,149.59,151.44,25000000,0.0,0.0,AMZN
2023-01-17,154.71,155.49,153.69,154.44,66849636,0.0,0.0,AMZN
2023-01-18,155.73,158.09,152.92,156.95,27890438,0.0,0.0,AMZN
2023-01-19,155.81,156.37,153.29,154.77,42992009,0.0,0.0,AMZN
2023-01-20,152.59,155.49,150.66,154.07,91337181,0.0,0.0,AMZN
2023-01-23,151.14,152.87,149.13,151.9,53996943,0.0,0.0,AMZN
2023-01-24,153.79,154.32,150.17,152.88,58624076,0.0,0.0,AMZN
2023-01-25,147.69,150.52,146.96,149.45,48552328,0.0,0.0,AMZN
