date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,551.48,552.84,544.6,548.13,2267496,0.0,0.0,AVGO
2022-11-25,559.63,561.8,554.87,556.33,1691313,0.0,0.0,AVGO
2022-11-28,578.34,580.15,574.78,576.4,2572273,0.0,0.0,AVGO
2022-11-29,575.99,582.34,573.3,579.03,1520226,0.0,0.0,AVGO
2022-11-30,596.64,600.82,591.43,592.12,1930369,0.0,0.0,AVGO
2022-12-01,579.69,583.24,571.44,574.98,2410983,0.0,0.0,AVGO
2022-12-02,587.18,595.61,584.28,590.21,3055212,0.0,0.0,AVGO
2022-12-05,593.0,601.25,582.01,586.35,1633486,0.0,0.0,AVGO
2022-12-06,594.78,598.85,577.55,580.01,2297586,0.0,0.0,AVGO
2022-12-07,602.7,605.52,592.31,594.3,2523188,0.0,0.0,AVGO
2022-12-08,598.85,601.84,594.67,600.44,1512150,0.0,0.0,AVGO
2022-12-09,584.88,592.19,582.62,590.46,1360817,0.0,0.0,AVGO
2022-12-12,603.44,611.32,593.49,604.56,2660473,0.0,0.0,AVGO
2022-12-13,614.32,620.73,598.31,602.28,1040152,0.0,0.0,AVGO
2022-12-14,618.41,624.26,608.77,614.64,1697224,0.0,0.0,AVGO
2022-12-15,638.94,646.56,623.1,623.66,2133603,0.0,0.0,AVGO
2022-12-16,619.07,623.04,615.18,617.97,3177269,0.0,0.0,AVGO
2022-12-19,624.5,633.2,624.39,628.86,1000000,0.0,0.0,AVGO
2022-12-20,667.98,671.43,648.33,650.51,2461070,0.0,0.0,AVGO
2022-12-21,638.25,651.67,638.11,647.37,2105813,0.0,0.0,AVGO
2022-12-22,660.8,666.02,648.11,659.68,2537672,0.0,0.0,AVGO
2022-12-23,643.62,654.07,641.47,651.12,1971967,0.0,0.0,AVGO
2022-12-26,661.73,667.56,653.6,655.7,1969823,0.0,0.0,AVGO
2022-12-27,679.96,681.46,673.01,674.54,2694017,0.0,0.0,AVGO
2022-12-28,683.86,686.36,672.25,678.98,2644576,0.0,0.0,AVGO
2022-12-29,650.3,656.95,646.74,655.64,2160238,0.0,0.0,AVGO
2022-12-30,662.22,676.95,660.68,664.62,1781004,0.0,0.0,AVGO
2023-01-02,695.72,700.61,682.86,690.31,2278483,0.0,0.0,AVGO
2023-01-03,697.77,710.96,695.51,709.17,1926542,0.0,0.0,AVGO
2023-01-04,712.32,719.95,690.71,707.49,2204957,0.0,0.0,AVGO
2023-01-05,715.95,724.01,701.17,712.3,2459075,0.0,0.0,AVGO
2023-01-06,717.99,719.69,712.68,714.62,3379712,0.0,0.0,AVGO
2023-01-09,714.5,737.51,709.24,715.6,1354140,0.0,0.0,AVGO
2023-01-10,697.85,706.04,696.83,700.24,2410929,0.0,0.0,AVGO
2023-01-11,721.79,728.06,707.06,713.99,1638920,0.0,0.0,AVGO
2023-01-12,712.73,726.71,708.19,722.83,1739725,0.0,0.0,AVGO
2023-01-13,726.91,731.01,719.02,725.96,1801735,0.0,0.0,AVGO
2023-01-16,743.58,744.9,714.93,721.71,2072925,0.0,0.0,AVGO
2023-01-17,733.78,734.13,722.77,732.57,2345103,0.0,0.0,AVGO
2023-01-18,716.23,722.76,705.21,713.39,2412936,0.0,0.0,AVGO
2023-01-19,697.59,704.05,694.82,694.91,2512493,0.0,0.0,AVGO
2023-01-20,709.77,719.59,695.18,703.99,1673854,0.0,0.0,AVGO
2023-01-23,695.03,700.54,689.83,698.5,2468789,0.0,0.0,AVGO
2023-01-24,704.02,708.04,693.89,708.01,2013134,0.0,0.0,AVGO
2023-01-25,686.49,698.87,679.49,695.4,1904336,0.0,0.0,AVGO
2023-01-26,675.99,688.4,666.1,687.13,1353070,0.0,0.0,AVGO
2023-01-27,693.69,698.87,677.46,683.44,1998879,0.0,0.0,AVGO
2023-01-30,665.52,678.51,663.99,677.13,2618257,0.0,0.0,AVGO
2023-01-31,690.71,691.21,678.51,688.79,1781873,0.0,0.0,AVGO
2023-02-01,686.82,695.85,682.26,689.3,1397263,0.0,0.0,AVGO
2023-02-02,689.3,690.39,663.7,678.15,2102254,0.0,0.0,AVGO
2023-02-03,677.82,689.04,665.61,670.98,3174637,0.0,0.0,AVGO
2023-02-06,682.15,686.33,670.48,675.39,1719019,0.0,0.0,AVGO
2023-02-07,645.71,651.11,634.98,648.73,1273484,0.0,0.0,AVGO
