date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,35.76,35.98,35.59,35.63,64939126,0.0,0.0,BAC
2022-11-25,34.99,35.25,34.33,34.7,67667222,0.0,0.0,BAC
2022-11-28,33.82,34.1,33.29,34.06,65987250,0.0,0.0,BAC
2022-11-29,34.14,34.66,32.81,34.32,47155550,0.0,0.0,BAC
2022-11-30,34.63,35.05,34.18,34.62,31496787,0.0,0.0,BAC
2022-12-01,34.03,34.33,33.77,34.2,47616203,0.0,0.0,BAC
2022-12-02,35.08,35.5,35.06,35.15,32894915,0.0,0.0,BAC
2022-12-05,34.26,34.93,34.06,34.42,34294396,0.0,0.0,BAC
2022-12-06,33.86,34.35,33.85,34.31,77327108,0.0,0.0,BAC
2022-12-07,34.78,34.97,34.04,34.22,38148107,0.0,0.0,BAC
2022-12-08,33.02,33.49,32.78,33.14,25274060,0.0,0.0,BAC
2022-12-09,32.71,33.01,32.54,32.78,41348093,0.0,0.0,BAC
2022-12-12,31.78,31.84,30.67,31.48,51437135,0.0,0.0,BAC
2022-12-13,30.76,31.42,30.54,31.08,44606111,0.0,0.0,BAC
2022-12-14,31.65,31.83,31.0,31.36,44041477,0.0,0.0,BAC
2022-12-15,31.55,31.72,30.53,31.35,44290067,0.0,0.0,BAC
2022-12-16,32.6,33.31,32.32,32.49,26911750,0.0,0.0,BAC
2022-12-19,33.84,33.88,33.26,33.66,58951612,0.0,0.0,BAC
2022-12-20,33.31,33.41,33.0,33.02,41361370,0.0,0.0,BAC
2022-12-21,32.22,32.79,32.2,32.58,37617161,0.0,0.0,BAC
2022-12-22,31.77,32.19,31.43,31.89,25468377,0.0,0.0,BAC
2022-12-23,31.65,32.19,31.18,31.79,54507960,0.0,0.0,BAC
2022-12-26,31.1,31.62,30.85,31.45,64856985,0.0,0.0,BAC
2022-12-27,31.76,32.05,31.65,32.01,51469068,0.0,0.0,BAC
2022-12-28,31.57,31.96,31.45,31.58,41155921,0.0,0.0,BAC
2022-12-29,31.36,31.67,30.99,31.32,31092327,0.0,0.0,BAC
2022-12-30,31.77,31.92,31.54,31.62,46166531,0.0,0.0,BAC
2023-01-02,32.16,32.52,31.35,31.96,35141626,0.0,0.0,BAC
2023-01-03,31.88,31.89,31.26,31.8,57510645,0.0,0.0,BAC
2023-01-04,32.33,32.75,31.79,32.22,59316781,0.0,0.0,BAC
2023-01-05,32.41,32.61,32.01,32.56,33395005,0.0,0.0,BAC
2023-01-06,32.89,33.51,32.68,33.15,43466400,0.0,0.0,BAC
2023-01-09,32.68,32.79,32.28,32.41,57785556,0.0,0.0,BAC
2023-01-10,33.19,33.8,32.87,33.5,54929704,0.0,0.0,BAC
2023-01-11,32.84,33.24,32.81,33.13,57190473,0.0,0.0,BAC
2023-01-12,33.16,33.24,32.96,33.19,52281905,0.0,0.0,BAC
2023-01-13,34.24,34.81,33.97,34.01,73022966,0.0,0.0,BAC
2023-01-16,34.62,34.69,33.59,34.07,62341329,0.0,0.0,BAC
2023-01-17,33.59,34.38,33.17,33.9,48432114,0.0,0.0,BAC
2023-01-18,33.36,34.0,33.34,34.0,42077088,0.0,0.0,BAC
2023-01-19,33.6,34.83,33.54,34.11,27995338,0.0,0.0,BAC
2023-01-20,34.98,35.35,34.08,34.63,44538404,0.0,0.0,BAC
2023-01-23,34.8,35.68,34.58,34.64,59100714,0.0,0.0,BAC
2023-01-24,34.16,34.4,33.47,34.07,50186216,0.0,0.0,BAC
2023-01-25,32.73,33.25,32.42,32.97,44206685,0.0,0.0,BAC
2023-01-26,32.73,33.05,32.72,32.85,49725383,0.0,0.0,BAC
2023-01-27,30.83,31.76,30.69,31.67,62084585,0.0,0.0,BAC
2023-01-30,33.0,33.25,32.23,32.8,61921170,0.0,0.0,BAC
2023-01-31,32.25,32.67,31.74,32.25,45191871,0.0,0.0,BAC
2023-02-01,31.88,31.9,31.25,31.55,35893132,0.0,0.0,BAC
2023-02-02,30.92,31.24,30.61,30.67,51170331,0.0,0.0,BAC
2023-02-03,30.71,31.38,30.37,31.31,94036559,0.0,0.0,BAC
2023-02-06,31.4,31.52,30.92,31.24,45654630,0.0,0.0,BAC
2023-02-07,31.9,32.24,31.5,31.97,64268171,0.0,0.0,BAC
2023-02-08,32.62,33.02,32.18,32.59,47658120,0.0,0.0,BAC
