date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,208.82,211.79,207.69,209.94,4919473,0.0,0.0,BA
2022-11-25,208.44,209.1,205.17,208.75,6669837,0.0,0.0,BA
2022-11-28,203.29,208.96,202.07,208.57,4152226,0.0,0.0,BA
2022-11-29,203.29,207.13,202.76,205.39,6299644,0.0,0.0,BA
2022-11-30,200.72,202.18,198.89,200.11,5690858,0.0,0.0,BA
2022-12-01,205.77,209.43,204.13,207.18,5708288,0.0,0.0,BA
2022-12-02,205.32,207.64,203.89,206.32,4275129,0.0,0.0,BA
2022-12-05,199.06,201.18,195.2,199.72,2500000,0.0,0.0,BA
2022-12-06,199.9,202.12,199.28,201.66,5151519,0.0,0.0,BA
2022-12-07,195.07,200.73,194.47,196.91,6500752,0.0,0.0,BA
2022-12-08,192.88,194.63,188.27,191.66,4099740,0.0,0.0,BA
2022-12-09,191.43,191.48,188.65,189.36,5688980,0.0,0.0,BA
2022-12-12,194.7,195.35,190.88,191.22,8176767,0.0,0.0,BA
2022-12-13,185.78,187.22,183.86,187.18,6687606,0.0,0.0,BA
2022-12-14,183.32,183.39,181.06,181.34,3685566,0.8023,0.0,BA
2022-12-15,176.92,178.78,175.33,176.24,2500000,0.0,0.0,BA
2022-12-16,178.23,179.48,175.7,176.53,4878492,0.0,0.0,BA
2022-12-19,180.45,180.67,178.79,178.8,4877392,0.0,0.0,BA
2022-12-20,186.18,190.51,181.47,184.71,3518541,0.0,0.0,BA
2022-12-21,189.02,191.16,184.84,185.9,6380969,0.0,0.0,BA
2022-12-22,190.28,194.65,184.81,187.44,4543995,0.0,0.0,BA
2022-12-23,179.77,180.73,179.12,179.22,6851142,0.0,0.0,BA
2022-12-26,181.38,181.83,179.46,181.15,6554996,0.0,0.0,BA
2022-12-27,180.98,182.88,178.19,180.44,8029252,0.0,0.0,BA
2022-12-28,183.22,183.34,175.08,178.45,4658173,0.0,0.0,BA
2022-12-29,175.95,178.58,173.45,174.01,3766468,0.0,0.0,BA
2022-12-30,173.89,174.73,171.31,172.4,2500000,0.0,0.0,BA
2023-01-02,170.22,171.77,166.29,169.05,3033944,0.0,0.0,BA
2023-01-03,167.48,170.54,166.32,167.37,5933046,0.0,0.0,BA
2023-01-04,168.28,171.59,166.17,167.73,6660180,0.0,0.0,BA
2023-01-05,164.31,166.74,163.25,163.52,6297648,0.0,0.0,BA
2023-01-06,160.2,162.26,159.09,161.01,3918327,0.0,0.0,BA
2023-01-09,165.47,166.9,164.9,165.33,7186605,0.0,0.0,BA
2023-01-10,160.33,163.25,159.87,160.49,4719042,0.0,0.0,BA
2023-01-11,161.33,162.13,159.29,159.86,6089155,0.0,0.0,BA
2023-01-12,155.56,157.93,154.61,157.43,6072527,0.0,0.0,BA
2023-01-13,154.58,156.44,153.95,154.85,6090906,0.0,0.0,BA
2023-01-16,150.92,153.5,149.16,152.87,5167736,0.0,0.0,BA
2023-01-17,146.17,149.39,145.3,148.43,3124919,0.0,0.0,BA
2023-01-18,151.79,154.51,148.68,150.69,5238668,0.0,0.0,BA
2023-01-19,148.81,151.39,146.24,149.94,5908758,0.0,0.0,BA
2023-01-20,151.73,154.7,148.61,152.63,4636962,0.685,0.0,BA
2023-01-23,154.52,154.69,151.89,154.03,7934290,0.0,0.0,BA
2023-01-24,152.87,156.4,151.55,153.38,3852645,0.0,0.0,BA
2023-01-25,160.13,162.63,156.11,157.35,3380701,0.0,0.0,BA
2023-01-26,158.3,160.33,156.36,157.75,6840361,0.0,0.0,BA
2023-01-27,160.72,163.42,160.17,161.13,5079274,0.0,0.0,BA
2023-01-30,162.82,163.45,161.62,162.18,4789873,0.0,0.0,BA
2023-01-31,168.42,169.77,165.49,168.64,3879978,0.0,0.0,BA
2023-02-01,158.99,161.81,158.95,160.87,4802183,0.0,0.0,BA
2023-02-02,154.12,160.45,151.48,159.06,2500000,0.0,0.0,BA
