date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,230.97,231.39,229.05,231.23,3229001,0.0,0.0,CAT
2022-11-25,224.85,230.23,222.88,226.81,3509517,0.0,0.0,CAT
2022-11-28,227.69,229.23,224.28,225.98,1706783,0.0,0.0,CAT
2022-11-29,229.59,230.74,223.79,229.92,2872965,0.0,0.0,CAT
2022-11-30,228.14,229.44,225.13,226.69,2937068,0.0,0.0,CAT
2022-12-01,234.41,235.5,230.47,232.02,3228028,0.0,0.0,CAT
2022-12-02,230.63,231.91,227.83,229.05,1500000,0.0,0.0,CAT
2022-12-05,240.15,241.05,239.57,239.69,2228935,0.0,0.0,CAT
2022-12-06,243.72,245.18,237.94,242.21,1815566,0.0,0.0,CAT
2022-12-07,243.88,247.15,240.91,245.69,2271097,0.0,0.0,CAT
2022-12-08,248.08,252.36,241.95,243.37,1500000,0.0,0.0,CAT
2022-12-09,244.99,246.9,243.24,245.32,2918281,0.0,0.0,CAT
2022-12-12,250.05,250.97,249.14,249.98,2630818,0.0,0.0,CAT
2022-12-13,256.22,259.6,254.4,257.59,2759734,0.0,0.0,CAT
2022-12-14,250.93,254.34,248.14,254.17,3937560,0.0,0.0,CAT
2022-12-15,246.58,253.93,245.56,250.02,3089444,0.0,0.0,CAT
2022-12-16,253.49,254.52,251.3,253.69,2616345,0.0,0.0,CAT
2022-12-19,256.84,257.88,253.78,255.29,3431295,0.0,0.0,CAT
2022-12-20,262.76,263.04,253.43,256.3,2403248,0.0,0.0,CAT
2022-12-21,246.92,248.32,240.05,247.76,4680342,0.0,0.0,CAT
2022-12-22,250.78,256.42,249.07,255.66,3318869,0.0,0.0,CAT
2022-12-23,257.58,264.86,253.03,260.11,3143633,0.0,0.0,CAT
2022-12-26,265.1,267.39,261.22,263.04,3299576,0.0,0.0,CAT
2022-12-27,267.68,270.24,265.04,269.29,2677333,0.0,0.0,CAT
2022-12-28,271.73,275.37,268.03,270.63,4267267,0.0,0.0,CAT
2022-12-29,281.47,283.95,273.26,278.86,3163106,0.0,0.0,CAT
2022-12-30,270.81,275.15,267.96,271.5,2015750,0.0,0.0,CAT
2023-01-02,272.03,280.99,270.77,275.02,4045843,0.0,0.0,CAT
2023-01-03,279.33,282.23,276.25,282.15,3664043,0.0,0.0,CAT
2023-01-04,289.43,289.99,284.48,286.31,4228232,0.0,0.0,CAT
2023-01-05,290.69,292.51,284.76,287.67,2891631,0.0,0.0,CAT
2023-01-06,290.78,291.74,285.44,285.9,1527438,0.3724,0.0,CAT
2023-01-09,290.28,290.59,286.4,287.84,3834891,0.0,0.0,CAT
