date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,495.25,502.95,490.11,490.64,1453688,0.0,0.0,COST
2022-11-25,477.23,487.93,472.93,481.31,1632253,0.0,0.0,COST
2022-11-28,480.32,493.61,474.27,485.05,1134441,0.0,0.0,COST
2022-11-29,486.38,493.36,482.74,492.08,1347900,0.0,0.0,COST
2022-11-30,488.54,495.59,482.1,486.54,1355025,0.0,0.0,COST
2022-12-01,480.55,485.42,479.58,482.13,2435527,0.0,0.0,COST
2022-12-02,468.66,475.8,464.33,472.91,1921961,0.0,0.0,COST
2022-12-05,471.8,476.12,466.04,468.35,1952391,0.0,0.0,COST
2022-12-06,462.06,464.42,458.34,462.75,1713898,0.0,0.0,COST
2022-12-07,463.71,472.5,461.24,464.67,1651243,0.0,0.0,COST
2022-12-08,468.41,474.4,465.84,472.35,2434612,0.0,0.0,COST
2022-12-09,491.5,493.48,482.44,488.72,2233153,0.0,0.0,COST
2022-12-12,484.57,489.34,474.53,485.22,2321284,0.0,0.0,COST
2022-12-13,497.66,499.06,486.08,489.66,2418409,0.0,0.0,COST
2022-12-14,489.1,492.09,484.58,491.27,2985768,0.0,0.0,COST
2022-12-15,474.11,491.94,469.09,481.41,2782473,0.0,0.0,COST
2022-12-16,486.4,489.46,482.6,482.81,2781287,0.0,0.0,COST
2022-12-19,477.14,480.97,477.11,477.95,1607373,0.0,0.0,COST
2022-12-20,470.71,483.86,469.26,479.49,1513580,0.0,0.0,COST
2022-12-21,474.35,482.18,469.75,470.41,1511902,0.0,0.0,COST
2022-12-22,460.23,473.31,453.57,468.13,1959885,0.0,0.0,COST
2022-12-23,468.26,470.92,463.02,466.21,1492015,0.0,0.0,COST
2022-12-26,468.79,480.12,468.29,468.68,1421811,0.0,0.0,COST
2022-12-27,462.95,464.84,455.09,460.88,2269208,0.0,0.0,COST
2022-12-28,445.43,448.52,438.06,445.67,2081747,0.0,0.0,COST
2022-12-29,445.53,450.5,444.6,447.88,2972325,0.0,0.0,COST
2022-12-30,468.08,468.54,454.86,466.07,1676582,0.0,0.0,COST
2023-01-02,472.33,472.78,471.05,471.51,3244441,0.0,0.0,COST
2023-01-03,481.78,483.91,471.49,475.48,2551947,0.0,0.0,COST
2023-01-04,471.49,482.64,469.51,475.26,2901260,0.0,0.0,COST
2023-01-05,467.26,476.52,464.84,466.44,1099140,0.0,0.0,COST
2023-01-06,459.46,461.2,457.64,459.79,2689227,0.0,0.0,COST
2023-01-09,456.96,459.7,449.52,457.49,1192576,0.0,0.0,COST
2023-01-10,457.96,461.72,445.99,455.21,2344494,0.0,0.0,COST
2023-01-11,464.39,467.51,463.16,464.96,1661879,0.0,0.0,COST
2023-01-12,468.68,473.97,452.3,462.3,3163417,0.0,0.0,COST
2023-01-13,466.59,470.3,457.93,464.26,1814593,0.0,0.0,COST
2023-01-16,465.36,475.59,458.66,474.28,3561153,0.0,0.0,COST
2023-01-17,480.51,486.74,470.18,471.01,1645847,0.0,0.0,COST
2023-01-18,488.81,491.7,487.71,488.23,3006942,0.0,0.0,COST
2023-01-19,474.22,486.55,471.54,474.3,2298116,0.0,0.0,COST
2023-01-20,478.91,485.95,461.67,469.25,2207881,0.0,0.0,COST
2023-01-23,466.16,468.19,465.65,465.88,1278282,0.0,0.0,COST
2023-01-24,482.29,482.66,470.11,473.84,1822463,0.0,0.0,COST
2023-01-25,467.41,471.86,460.15,467.92,1785513,0.0,0.0,COST
2023-01-26,457.73,467.26,454.98,465.57,1820247,0.0,0.0,COST
2023-01-27,466.34,477.22,466.33,474.04,1835028,0.0,0.0,COST
2023-01-30,465.33,471.35,462.96,469.57,1614924,0.0,0.0,COST
2023-01-31,462.83,473.71,462.78,465.31,1003302,0.0,0.0,COST
2023-02-01,466.36,469.09,452.6,461.71,1026895,0.0,0.0,COST
2023-02-02,459.46,475.26,455.21,460.77,2387416,0.0,0.0,COST
2023-02-03,441.57,447.27,432.33,439.43,1900244,0.0,0.0,COST
2023-02-06,432.96,439.97,432.3,434.05,1856963,0.0,0.0,COST
2023-02-07,452.08,458.61,445.91,451.53,2011676,0.0,0.0,COST
2023-02-08,450.93,456.97,444.92,454.65,2421153,0.0,0.0,COST
2023-02-09,454.91,458.86,447.31,457.44,1138373,0.0,0.0,COST
2023-02-10,457.66,461.35,449.05,456.72,1714330,0.0,0.0,COST
2023-02-13,461.69,464.37,447.95,453.07,1719211,0.0,0.0,COST
2023-02-14,462.2,469.49,448.84,455.12,2474945,0.0,0.0,COST
2023-02-15,464.54,466.32,455.26,457.49,1449283,0.0,0.0,COST
2023-02-16,448.22,448.69,442.91,446.88,2059841,0.0,0.0,COST
2023-02-17,453.81,457.97,450.72,451.72,2602063,0.0,0.0,COST
2023-02-20,458.01,462.89,451.62,462.71,2284128,0.0,0.0,COST
2023-02-21,461.39,463.04,460.91,461.77,2762525,0.0,0.0,COST
