date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,207.41,209.12,207.08,207.12,3107429,0.0,0.0,CRM
2022-11-25,199.7,205.7,198.65,204.02,4570308,0.0,0.0,CRM
2022-11-28,199.44,203.44,197.73,202.26,6174766,0.0,0.0,CRM
2022-11-29,207.47,208.5,203.07,204.41,5898536,0.0,0.0,CRM
2022-11-30,201.6,203.55,200.12,202.84,7419738,0.0,0.0,CRM
2022-12-01,199.81,202.13,196.04,201.49,8483621,0.0,0.0,CRM
2022-12-02,200.92,202.33,199.98,200.96,7988311,0.0,0.0,CRM
2022-12-05,190.93,200.75,189.62,197.65,5032249,0.0,0.0,CRM
2022-12-06,199.19,200.41,196.64,198.5,8360203,0.0,0.0,CRM
2022-12-07,200.82,202.51,199.14,199.19,5339518,0.0,0.0,CRM
2022-12-08,193.73,198.31,192.06,195.68,8296403,0.0,0.0,CRM
2022-12-09,195.31,197.95,191.68,196.89,4981842,0.0,0.0,CRM
2022-12-12,197.08,200.4,196.61,199.28,7256854,0.0,0.0,CRM
2022-12-13,198.44,199.32,194.4,197.24,4532238,0.0,0.0,CRM
2022-12-14,191.66,193.93,187.57,192.28,9178581,0.0,0.0,CRM
2022-12-15,195.99,196.32,192.82,192.87,4772768,0.0,0.0,CRM
2022-12-16,193.93,196.06,193.83,194.77,6866428,0.0,0.0,CRM
2022-12-19,193.71,194.57,189.5,190.68,5640494,0.0,0.0,CRM
2022-12-20,190.64,192.02,184.19,188.45,5419658,0.0,0.0,CRM
2022-12-21,179.39,185.36,178.24,184.36,8691140,0.0,0.0,CRM
2022-12-22,187.35,191.27,185.54,191.26,4322661,0.0,0.0,CRM
2022-12-23,195.53,196.21,190.88,192.65,3000000,0.0,0.0,CRM
2022-12-26,195.31,198.8,192.09,193.63,6103296,0.0,0.0,CRM
2022-12-27,197.35,198.2,194.72,196.82,3844779,0.0,0.0,CRM
2022-12-28,203.13,204.45,198.18,199.83,7832536,0.0,0.0,CRM
2022-12-29,200.36,204.27,199.85,204.04,3263195,0.0,0.0,CRM
2022-12-30,202.22,203.59,200.51,200.99,8008523,0.0,0.0,CRM
2023-01-02,199.03,201.2,195.51,199.59,3792464,0.0,0.0,CRM
2023-01-03,201.97,203.81,199.74,201.96,3862419,0.0,0.0,CRM
2023-01-04,198.91,201.45,198.31,199.7,6165916,0.0,0.0,CRM
2023-01-05,200.31,200.4,197.75,198.28,4527946,0.0,0.0,CRM
2023-01-06,197.77,200.08,197.55,198.2,5298918,0.0,0.0,CRM
2023-01-09,191.34,194.33,191.24,192.57,3293612,0.0,0.0,CRM
2023-01-10,194.04,197.1,189.65,194.36,4804557,0.0,0.0,CRM
2023-01-11,191.74,192.66,188.8,190.69,6786127,0.0,0.0,CRM
2023-01-12,188.74,191.19,186.15,188.17,6499284,0.0,0.0,CRM
2023-01-13,181.38,186.16,179.58,184.67,5612016,0.0,0.0,CRM
2023-01-16,182.61,184.61,178.98,181.74,3000000,0.0,0.0,CRM
2023-01-17,178.86,182.77,175.73,178.76,8486192,0.0,0.0,CRM
2023-01-18,184.29,186.73,180.12,182.18,7857917,0.0,0.0,CRM
2023-01-19,183.8,184.11,181.02,182.62,6223966,0.0,0.0,CRM
2023-01-20,183.91,185.46,182.48,184.58,6210870,0.0,0.0,CRM
2023-01-23,181.83,182.88,175.9,180.27,8480710,0.0,0.0,CRM
2023-01-24,178.83,182.44,177.45,181.08,5112513,0.611,0.0,CRM
2023-01-25,186.17,187.66,181.58,185.27,7370660,0.0,0.0,CRM
2023-01-26,182.86,183.29,179.9,182.84,5068249,0.0,0.0,CRM
2023-01-27,184.87,187.86,180.54,184.27,5723745,0.0,0.0,CRM
2023-01-30,179.71,184.76,179.02,182.58,5902525,0.0,0.0,CRM
2023-01-31,180.85,183.69,178.15,180.76,8620887,0.0,0.0,CRM
2023-02-01,183.77,184.7,179.59,181.91,7705235,0.0,0.0,CRM
2023-02-02,178.68,180.9,178.39,179.29,3542274,0.0,0.0,CRM
2023-02-03,176.53,180.97,174.69,180.16,5935881,0.0,0.0,CRM
2023-02-06,178.87,180.5,177.6,179.75,4307615,0.0,0.0,CRM
2023-02-07,176.37,177.33,175.46,176.19,4583050,0.0,0.0,CRM
2023-02-08,174.6,175.13,171.67,172.12,6795044,0.0,0.0,CRM
2023-02-09,179.15,179.21,178.06,178.27,8076520,0.0,0.0,CRM
2023-02-10,179.38,180.28,177.23,179.36,5489575,0.0,0.0,CRM
2023-02-13,172.74,174.81,170.84,174.58,6179466,0.0,0.0,CRM
2023-02-14,169.13,172.11,164.98,169.7,7402085,0.0,0.0,CRM
2023-02-15,165.74,168.1,165.05,166.62,5327429,0.0,0.0,CRM
2023-02-16,171.23,172.51,168.68,168.99,5976459,0.0,0.0,CRM
2023-02-17,172.36,175.85,169.72,173.63,5387184,0.0,0.0,CRM
2023-02-20,177.1,179.37,174.84,176.22,7850490,0.0,0.0,CRM
2023-02-21,171.65,173.4,170.24,172.22,6079606,0.0,0.0,CRM
2023-02-22,164.28,170.58,159.77,168.88,6259002,0.0,0.0,CRM
2023-02-23,169.25,170.62,164.18,166.65,9902542,0.0,0.0,CRM
2023-02-24,164.93,171.36,162.87,168.56,7510621,0.3417,0.0,CRM
2023-02-27,173.19,173.76,170.57,171.45,8153145,0.0,0.0,CRM
2023-02-28,166.94,169.43,166.61,167.2,5348226,0.0,0.0,CRM
2023-03-01,163.08,168.62,162.42,167.23,3000000,0.0,0.0,CRM
2023-03-02,171.74,173.04,171.07,171.18,5839284,0.0,0.0,CRM
2023-03-03,171.84,172.05,169.69,171.15,3584359,0.0,0.0,CRM
2023-03-06,172.0,173.3,166.96,168.64,9725051,0.0,0.0,CRM
2023-03-07,169.44,173.37,169.21,171.41,8428309,0.0,0.0,CRM
2023-03-08,171.89,173.84,167.19,169.9,3116293,0.0,0.0,CRM
2023-03-09,174.48,174.54,170.99,174.07,10366955,0.0,0.0,CRM
2023-03-10,170.72,174.01,168.63,172.65,6760297,0.0,0.0,CRM
2023-03-13,168.0,169.24,164.93,167.94,5346416,0.0,0.0,CRM
2023-03-14,171.42,175.91,170.3,174.34,6354230,0.0,0.0,CRM
2023-03-15,173.39,173.54,170.86,172.56,8983814,0.0,0.0,CRM
2023-03-16,173.48,173.61,168.93,171.76,5240930,0.0,0.0,CRM
2023-03-17,172.29,172.54,172.04,172.11,7592278,0.0,0.0,CRM
2023-03-20,174.57,175.72,172.02,175.58,3485550,0.0,0.0,CRM
2023-03-21,180.94,182.58,173.97,175.92,9795461,0.0,0.0,CRM
2023-03-22,181.45,184.13,177.75,179.39,6381015,0.589,0.0,CRM
2023-03-23,180.92,182.83,178.93,179.7,4084600,0.0,0.0,CRM
2023-03-24,173.92,173.99,171.7,173.25,3458853,0.0,0.0,CRM
2023-03-27,169.8,171.34,168.74,170.36,3000000,0.0,0.0,CRM
2023-03-28,175.32,178.25,174.77,175.69,5333464,0.0,0.0,CRM
2023-03-29,176.98,178.22,176.33,177.68,8731540,0.0,0.0,CRM
2023-03-30,184.92,186.58,180.04,183.91,3810293,0.0,0.0,CRM
2023-03-31,178.19,181.24,173.2,179.06,6243267,0.0,0.0,CRM
2023-04-03,179.93,180.17,176.07,179.59,5964551,0.0,0.0,CRM
2023-04-04,180.53,182.62,177.54,178.21,6834647,0.0,0.0,CRM
2023-04-05,173.78,175.36,172.61,174.14,5043295,0.0,0.0,CRM
2023-04-06,173.01,175.65,171.94,173.72,5827712,0.454,0.0,CRM
2023-04-07,171.77,174.59,170.78,173.23,8438253,0.0,0.0,CRM
2023-04-10,172.39,172.4,171.5,171.9,6918444,0.0,0.0,CRM
2023-04-11,174.49,176.17,172.46,173.86,9477977,0.0,0.0,CRM
2023-04-12,176.46,178.1,175.7,176.94,5042127,0.0,0.0,CRM
2023-04-13,178.13,179.46,175.12,178.01,3000000,0.0,0.0,CRM
2023-04-14,169.58,173.57,169.28,173.03,8380904,0.0,0.0,CRM
2023-04-17,171.72,173.12,169.97,171.88,8073769,0.0,0.0,CRM
2023-04-18,168.09,168.78,167.19,168.01,6322737,0.0,0.0,CRM
2023-04-19,168.14,169.43,166.62,167.67,8381752,0.0,0.0,CRM
2023-04-20,171.09,173.84,166.59,167.64,6781408,0.0,0.0,CRM
