date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,155.26,155.52,151.33,153.93,9517964,0.0,0.0,CVX
2022-11-25,157.52,159.28,156.45,157.82,7224864,0.0,0.0,CVX
2022-11-28,154.55,155.76,150.05,150.76,8652067,0.0,0.0,CVX
2022-11-29,152.11,152.47,151.29,151.73,7753949,0.0,0.0,CVX
2022-11-30,155.78,157.77,155.34,155.9,10206575,0.0,0.0,CVX
2022-12-01,164.78,169.92,160.93,162.38,7438450,0.0,0.0,CVX
2022-12-02,161.0,161.05,158.12,160.34,6342424,0.0,0.0,CVX
2022-12-05,161.47,162.34,159.34,160.07,4000000,0.0,0.0,CVX
2022-12-06,156.53,158.44,154.3,155.5,4725881,0.0,0.0,CVX
2022-12-07,154.18,155.76,151.21,152.91,5855912,0.0,0.0,CVX
2022-12-08,148.47,150.77,148.01,150.58,6611921,0.0,0.0,CVX
2022-12-09,152.31,152.76,149.31,150.38,7454948,0.0,0.0,CVX
2022-12-12,155.25,156.0,152.84,153.44,8973698,0.0,0.0,CVX
2022-12-13,157.95,160.9,152.89,153.99,9142102,0.0,0.0,CVX
2022-12-14,158.12,158.79,155.02,156.47,9658071,0.0,0.0,CVX
2022-12-15,163.51,164.8,162.03,162.11,9508527,0.0,0.0,CVX
2022-12-16,163.2,165.41,159.34,161.35,7880695,0.0,0.0,CVX
2022-12-19,162.58,163.52,162.46,162.85,10591994,0.0,0.0,CVX
2022-12-20,157.21,158.08,154.69,155.15,4793820,0.0,0.0,CVX
2022-12-21,153.67,156.15,152.76,154.46,8908565,0.0,0.0,CVX
2022-12-22,153.78,156.74,152.5,155.53,7877406,0.0,0.0,CVX
2022-12-23,155.9,158.72,153.61,155.11,7401752,0.0,0.0,CVX
2022-12-26,154.38,156.54,153.34,156.3,7081182,0.0,0.0,CVX
2022-12-27,162.21,162.23,159.09,159.27,9940335,0.0,0.0,CVX
2022-12-28,161.85,162.23,159.59,160.63,7104541,0.0,0.0,CVX
2022-12-29,158.16,159.88,156.72,159.25,4816938,0.0,0.0,CVX
2022-12-30,152.54,156.4,150.89,155.56,10740425,0.0,0.0,CVX
2023-01-02,156.52,157.09,154.36,154.59,4997347,0.0,0.0,CVX
2023-01-03,152.9,156.37,150.02,155.5,7039676,0.0,0.0,CVX
2023-01-04,149.84,150.89,148.39,150.76,9738331,0.0,0.0,CVX
2023-01-05,151.77,153.1,150.8,152.92,7046109,0.0,0.0,CVX
2023-01-06,152.13,152.75,151.91,152.53,8816667,0.0,0.0,CVX
2023-01-09,158.44,161.33,153.39,155.79,9869137,0.0,0.0,CVX
2023-01-10,157.49,159.94,156.05,158.06,6690442,0.0,0.0,CVX
2023-01-11,155.58,160.3,155.08,159.13,7923216,0.0,0.0,CVX
2023-01-12,162.28,162.55,161.93,162.08,5291924,0.0,0.0,CVX
2023-01-13,162.59,163.96,160.11,163.64,7898707,0.0,0.0,CVX
2023-01-16,162.65,165.19,160.49,163.16,8676397,0.0,0.0,CVX
2023-01-17,168.01,169.59,165.74,166.28,9917754,0.0,0.0,CVX
2023-01-18,164.22,166.84,163.15,164.51,8786937,0.0,0.0,CVX
2023-01-19,163.62,163.89,160.0,162.6,8889053,0.0,0.0,CVX
2023-01-20,164.15,164.22,162.99,163.13,6101560,0.0,0.0,CVX
2023-01-23,163.76,168.12,159.94,164.46,14347706,0.0,0.0,CVX
2023-01-24,165.23,165.99,163.58,164.85,8794809,0.0,0.0,CVX
2023-01-25,168.34,171.48,167.67,168.12,8434383,0.0,0.0,CVX
2023-01-26,168.92,172.1,166.68,170.66,6491832,0.0,0.0,CVX
2023-01-27,170.83,171.14,168.07,170.2,9814856,0.0,0.0,CVX
2023-01-30,166.71,167.55,162.64,165.08,7628920,0.0,0.0,CVX
2023-01-31,167.63,169.79,166.27,166.62,5988435,0.0,0.0,CVX
