date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,342.52,347.9,339.6,340.05,5991921,0.0,0.0,DIA
2022-11-25,344.19,344.56,338.57,340.89,4105730,0.0,0.0,DIA
2022-11-28,353.36,353.94,347.6,348.99,7235166,0.0,0.0,DIA
2022-11-29,349.49,353.12,347.1,352.28,4288299,0.0,0.0,DIA
2022-11-30,347.75,356.11,345.11,351.7,6979854,0.0,0.0,DIA
2022-12-01,354.57,359.22,343.32,347.59,4637161,0.0,0.0,DIA
2022-12-02,349.42,358.96,342.06,352.71,2893593,0.0,0.0,DIA
2022-12-05,356.52,359.0,356.08,358.53,2500000,0.6131,0.0,DIA
2022-12-06,358.08,364.32,350.15,353.67,7527868,0.0,0.0,DIA
2022-12-07,359.78,365.72,355.71,357.4,7782058,0.0,0.0,DIA
2022-12-08,356.46,361.18,350.49,354.42,4396459,0.0,0.0,DIA
2022-12-09,360.87,362.34,347.93,351.09,5864444,0.0,0.0,DIA
2022-12-12,354.08,355.85,352.21,354.66,5782296,0.0,0.0,DIA
2022-12-13,366.35,368.0,360.32,364.91,2646350,0.0,0.0,DIA
2022-12-14,370.02,370.7,368.02,368.97,5745619,0.0,0.0,DIA
2022-12-15,368.57,371.42,366.15,370.71,8932508,0.0,0.0,DIA
2022-12-16,364.72,375.23,360.32,372.02,3698851,0.0,0.0,DIA
2022-12-19,371.98,374.43,362.96,368.85,5998391,0.0,0.0,DIA
2022-12-20,383.65,392.3,377.71,380.2,5062575,0.0,0.0,DIA
2022-12-21,376.77,378.69,366.39,378.04,4000558,0.0,0.0,DIA
2022-12-22,389.75,392.67,381.97,387.18,5044337,0.0,0.0,DIA
2022-12-23,369.28,376.4,360.11,367.31,2500000,0.0,0.0,DIA
2022-12-26,376.49,379.55,371.87,372.92,3148980,0.0,0.0,DIA
2022-12-27,384.87,384.92,374.59,381.13,3508166,0.0,0.0,DIA
2022-12-28,371.1,378.08,369.62,375.82,6633896,0.0,0.0,DIA
2022-12-29,378.34,381.52,374.75,380.6,5162189,0.0,0.0,DIA
2022-12-30,378.68,386.13,375.66,375.81,5292946,0.0,0.0,DIA
2023-01-02,382.22,388.74,378.53,383.98,5373609,0.0,0.0,DIA
2023-01-03,377.78,379.62,375.65,378.29,2500000,0.0,0.0,DIA
2023-01-04,386.28,386.43,384.06,385.7,6690363,0.0,0.0,DIA
2023-01-05,397.72,401.58,385.73,387.26,6123865,0.0,0.0,DIA
2023-01-06,390.47,394.19,386.55,388.05,3760493,0.0,0.0,DIA
2023-01-09,380.91,390.04,377.88,388.17,5672462,0.0,0.0,DIA
2023-01-10,411.87,418.44,403.38,405.35,5657234,0.0,0.0,DIA
2023-01-11,400.88,402.13,400.69,401.26,4737602,0.0,0.0,DIA
2023-01-12,396.46,401.37,392.09,400.93,4691158,0.0,0.0,DIA
2023-01-13,410.08,418.09,400.96,403.95,4889502,0.0,0.0,DIA
2023-01-16,399.95,401.37,396.39,401.26,7589671,0.0,0.0,DIA
2023-01-17,398.36,404.79,393.84,396.03,5987842,0.0,0.0,DIA
2023-01-18,393.49,399.65,382.71,390.38,6703955,0.0,0.0,DIA
2023-01-19,402.08,404.98,398.89,400.06,2500000,0.0,0.0,DIA
2023-01-20,389.34,398.58,387.43,391.56,6195688,0.0,0.0,DIA
2023-01-23,390.36,399.72,387.57,398.82,6564717,0.0,0.0,DIA
2023-01-24,395.72,400.7,393.47,398.78,3097979,0.0,0.0,DIA
2023-01-25,407.84,410.52,407.18,409.11,5642043,0.0,0.0,DIA
2023-01-26,406.35,410.56,402.93,406.83,6176381,0.0,0.0,DIA
2023-01-27,408.82,411.69,402.39,405.33,5853815,0.0,0.0,DIA
2023-01-30,392.79,399.15,391.57,397.18,4866811,0.0,0.0,DIA
2023-01-31,393.1,396.94,391.96,394.02,4472006,0.0,0.0,DIA
2023-02-01,396.5,399.11,387.62,392.03,3730019,0.0,0.0,DIA
2023-02-02,391.38,392.2,384.32,388.66,2701710,0.0,0.0,DIA
2023-02-03,389.25,394.43,387.48,393.3,6273256,0.0,0.0,DIA
2023-02-06,393.42,398.96,392.05,398.15,3108165,0.0,0.0,DIA
2023-02-07,400.0,404.42,387.96,396.63,2873269,0.0,0.0,DIA
2023-02-08,394.37,396.79,389.18,396.12,4284195,0.0,0.0,DIA
2023-02-09,388.04,397.7,387.57,391.91,6710380,0.0,0.0,DIA
2023-02-10,402.35,403.21,395.2,395.96,6254516,0.0,0.0,DIA
2023-02-13,386.04,388.72,381.2,388.08,6451789,0.0,0.0,DIA
2023-02-14,394.17,396.55,391.28,394.99,5141017,0.0,0.0,DIA
2023-02-15,415.91,419.4,410.7,414.6,3531683,0.0,0.0,DIA
2023-02-16,421.85,422.6,415.09,415.66,4079223,0.0,0.0,DIA
2023-02-17,415.46,420.75,409.16,420.22,7851426,0.0,0.0,DIA
2023-02-20,415.3,422.25,404.9,416.55,3995270,0.0,0.0,DIA
2023-02-21,414.84,419.41,411.13,415.01,3741627,0.0,0.0,DIA
2023-02-22,408.37,415.38,408.35,411.16,6122536,0.0,0.0,DIA
2023-02-23,428.1,433.26,423.35,425.58,2994717,0.0,0.0,DIA
2023-02-24,422.17,427.54,418.47,427.38,2500000,0.0,0.0,DIA
2023-02-27,421.69,426.48,421.54,423.54,3556560,0.0,0.0,DIA
2023-02-28,414.04,417.59,409.41,410.79,4858446,0.0,0.0,DIA
2023-03-01,410.95,416.63,409.61,415.56,4742952,0.0,0.0,DIA
2023-03-02,426.16,428.06,422.98,427.55,4114107,0.0,0.0,DIA
2023-03-03,431.24,434.12,425.23,428.38,4750015,0.0,0.0,DIA
2023-03-06,406.74,417.05,401.81,410.25,5358232,0.0,0.0,DIA
2023-03-07,417.93,424.69,409.77,414.51,3867262,0.0,0.0,DIA
2023-03-08,421.4,421.58,418.58,420.27,5911220,0.0,0.0,DIA
2023-03-09,400.23,409.48,396.17,406.45,7718237,0.0,0.0,DIA
2023-03-10,403.93,406.49,403.43,405.61,4899687,0.0,0.0,DIA
2023-03-13,405.12,416.95,399.29,401.35,2500000,0.0,0.0,DIA
2023-03-14,409.8,416.55,406.46,413.34,3905308,0.0,0.0,DIA
2023-03-15,419.13,419.28,410.91,419.26,6987305,0.0,0.0,DIA
2023-03-16,420.75,423.93,413.98,417.99,5866176,0.0,0.0,DIA
2023-03-17,425.61,427.2,416.06,420.56,5933564,0.0,0.0,DIA
2023-03-20,415.94,418.82,408.82,408.85,4408261,0.0,0.0,DIA
2023-03-21,415.12,423.38,412.52,416.04,9816795,0.0,0.0,DIA
2023-03-22,408.55,411.58,402.91,410.13,2707656,0.0,0.0,DIA
2023-03-23,407.07,410.4,406.4,410.17,3654757,0.0,0.0,DIA
2023-03-24,402.05,402.98,398.07,402.76,5261601,0.0,0.0,DIA
2023-03-27,401.83,402.23,400.42,400.83,4585949,0.0,0.0,DIA
2023-03-28,415.01,417.59,408.07,408.93,2500000,0.0,0.0,DIA
2023-03-29,426.45,429.87,413.0,421.16,3512072,0.0,0.0,DIA
2023-03-30,433.15,436.02,426.7,428.56,4566680,0.0,0.0,DIA
