date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,117.25,117.62,115.5,116.39,12686094,0.0,0.0,GOOGL
2022-11-25,121.28,122.19,119.36,120.17,19535805,0.0,0.0,GOOGL
2022-11-28,117.5,118.95,117.42,117.88,27032807,0.0,0.0,GOOGL
2022-11-29,119.8,120.1,118.27,118.29,27673967,0.0,0.0,GOOGL
2022-11-30,118.63,119.32,116.3,118.14,19956967,0.0,0.0,GOOGL
2022-12-01,117.79,119.05,116.62,117.13,20080578,0.0,0.0,GOOGL
2022-12-02,116.15,117.42,114.42,117.23,10000000,0.0,0.0,GOOGL
2022-12-05,117.34,118.9,117.2,117.32,20753154,0.0,0.0,GOOGL
2022-12-06,116.99,117.69,113.63,116.58,18316117,0.0,0.0,GOOGL
2022-12-07,121.25,121.44,118.29,119.69,17845379,0.0,0.0,GOOGL
2022-12-08,120.55,120.89,119.67,120.38,21105289,0.0,0.0,GOOGL
2022-12-09,121.17,121.74,119.81,120.75,16719796,0.0,0.0,GOOGL
2022-12-12,122.46,124.67,120.92,122.41,19261538,0.0,0.0,GOOGL
2022-12-13,122.12,124.85,121.87,123.04,10000000,0.0,0.0,GOOGL
2022-12-14,121.03,122.86,120.84,121.42,26225824,0.0,0.0,GOOGL
2022-12-15,119.59,120.02,118.97,119.14,12872610,0.0,0.0,GOOGL
2022-12-16,122.26,123.39,122.02,122.94,20027452,0.0,0.0,GOOGL
2022-12-19,121.62,122.98,121.42,121.71,28023000,0.0,0.0,GOOGL
2022-12-20,120.39,121.5,118.8,119.15,16347178,0.0,0.0,GOOGL
2022-12-21,119.78,123.33,118.82,122.23,20843897,0.0,0.0,GOOGL
2022-12-22,124.62,125.78,122.54,124.3,10000000,0.0,0.0,GOOGL
2022-12-23,119.85,123.31,119.58,122.53,20614699,0.0,0.0,GOOGL
2022-12-26,121.73,124.61,121.72,123.11,21761850,0.0,0.0,GOOGL
2022-12-27,123.7,125.51,123.07,124.99,28677449,0.0,0.0,GOOGL
2022-12-28,127.31,127.93,126.09,126.46,22766458,0.0,0.0,GOOGL
2022-12-29,125.35,126.29,124.36,126.12,11858698,0.0,0.0,GOOGL
2022-12-30,128.49,129.04,127.91,128.56,27059599,0.0,0.0,GOOGL
2023-01-02,132.42,134.08,130.88,131.11,31026717,0.0,0.0,GOOGL
2023-01-03,132.37,133.84,131.69,132.24,13604104,0.0,0.0,GOOGL
2023-01-04,134.57,137.15,133.04,135.87,27869313,0.0,0.0,GOOGL
2023-01-05,135.9,137.67,134.34,136.3,13290998,0.0,0.0,GOOGL
2023-01-06,138.38,139.85,134.14,135.99,13670347,0.0,0.0,GOOGL
2023-01-09,137.66,139.99,135.97,139.7,17660917,0.0,0.0,GOOGL
2023-01-10,140.51,142.99,138.12,138.31,17189470,0.0,0.0,GOOGL
2023-01-11,138.72,139.97,135.67,136.65,18798444,0.0,0.0,GOOGL
2023-01-12,132.38,133.37,132.22,132.65,19280565,0.0,0.0,GOOGL
2023-01-13,130.25,132.71,128.01,130.83,22308925,0.0,0.0,GOOGL
