date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,346.76,355.35,346.18,347.01,2548664,0.0,0.0,GS
2022-11-25,361.18,363.64,358.32,363.6,3708108,0.0,0.0,GS
2022-11-28,364.33,370.07,362.23,362.52,3440254,0.0,0.0,GS
2022-11-29,355.14,364.15,354.81,358.91,3082470,0.0,0.0,GS
2022-11-30,361.42,364.77,359.25,364.73,2336895,0.0,0.0,GS
2022-12-01,384.31,386.31,377.57,377.64,2126319,0.0,0.0,GS
2022-12-02,402.09,402.49,394.82,394.98,2728274,0.0,0.0,GS
2022-12-05,396.59,401.86,393.25,395.19,2816442,0.0,0.0,GS
2022-12-06,382.97,387.43,382.27,387.11,1258350,0.0,0.0,GS
2022-12-07,381.54,385.97,376.46,385.92,1560008,0.0,0.0,GS
2022-12-08,372.15,374.39,365.77,373.04,2537970,0.0,0.0,GS
2022-12-09,386.74,389.45,375.21,380.0,3754913,0.0,0.0,GS
2022-12-12,375.26,377.04,370.76,372.17,1907548,0.0,0.0,GS
2022-12-13,367.03,373.02,364.06,365.62,2819770,0.0,0.0,GS
2022-12-14,363.16,365.86,356.34,360.0,2039797,0.0,0.0,GS
2022-12-15,362.77,365.0,354.82,358.09,1287747,0.0,0.0,GS
2022-12-16,363.89,369.69,362.72,365.53,3135578,0.0,0.0,GS
2022-12-19,362.04,367.59,361.03,364.68,3578112,0.0,0.0,GS
2022-12-20,374.29,378.1,366.65,368.53,3847583,0.0,0.0,GS
2022-12-21,358.36,365.05,353.53,360.66,2752119,0.0,0.0,GS
2022-12-22,380.8,388.77,370.09,374.46,3417171,0.0,0.0,GS
2022-12-23,372.01,372.46,370.94,372.02,2909995,0.0,0.0,GS
2022-12-26,368.71,371.29,363.62,367.88,2593159,0.0,0.0,GS
2022-12-27,376.35,378.37,369.43,369.87,2650872,0.0,0.0,GS
2022-12-28,372.17,377.28,366.67,371.55,2616908,0.0,0.0,GS
2022-12-29,368.83,379.01,363.14,373.3,4011978,0.0,0.0,GS
2022-12-30,369.85,370.15,364.13,366.88,2972552,0.0,0.0,GS
2023-01-02,346.84,358.87,346.15,354.18,1497367,0.0,0.0,GS
2023-01-03,356.58,364.2,356.57,360.9,2700133,0.0,0.0,GS
2023-01-04,356.1,359.98,353.59,357.29,1892956,0.0,0.0,GS
2023-01-05,362.63,365.12,360.16,364.48,3223938,0.0,0.0,GS
2023-01-06,378.1,382.3,373.25,378.67,3379204,0.0,0.0,GS
2023-01-09,374.6,375.42,373.09,374.02,3452334,0.0,0.0,GS
2023-01-10,380.48,382.36,372.67,378.72,2164076,0.0,0.0,GS
2023-01-11,384.01,387.19,381.85,385.81,1908807,0.0,0.0,GS
2023-01-12,383.35,383.81,377.33,381.44,1977352,0.0,0.0,GS
2023-01-13,374.54,379.3,373.28,376.36,3518705,0.0,0.0,GS
2023-01-16,375.5,378.78,369.56,378.37,3972456,0.0,0.0,GS
2023-01-17,371.76,376.93,365.87,368.89,2439434,0.0,0.0,GS
2023-01-18,371.2,374.45,370.29,371.12,3279309,0.0,0.0,GS
2023-01-19,379.12,382.32,374.75,376.14,1331093,0.0,0.0,GS
2023-01-20,387.48,391.93,374.87,382.68,2176215,0.0,0.0,GS
2023-01-23,400.07,407.54,395.78,404.75,1250000,0.0,0.0,GS
2023-01-24,396.49,397.94,393.3,397.26,2531123,0.0,0.0,GS
2023-01-25,400.93,405.82,398.2,401.2,2847314,0.0,0.0,GS
2023-01-26,405.02,414.38,402.41,410.32,2458843,0.0,0.0,GS
2023-01-27,403.88,406.32,402.8,404.33,2868993,0.0,0.0,GS
2023-01-30,407.79,418.87,406.24,415.67,3349251,0.0,0.0,GS
2023-01-31,425.63,434.47,418.31,419.16,4358045,0.0,0.0,GS
2023-02-01,421.01,433.44,416.63,425.07,1425256,1.9565,0.0,GS
2023-02-02,432.6,437.99,427.43,432.97,1635806,0.0,0.0,GS
2023-02-03,436.78,438.77,434.65,436.82,1403690,0.0,0.0,GS
2023-02-06,431.77,437.29,429.49,434.68,2124139,0.0,0.0,GS
2023-02-07,423.47,424.08,412.5,416.89,2488973,0.0,0.0,GS
2023-02-08,404.17,422.45,401.86,416.43,3128952,0.0,0.0,GS
2023-02-09,412.79,417.92,408.0,416.33,3189667,0.0,0.0,GS
2023-02-10,400.67,408.65,395.32,403.63,1554624,0.0,0.0,GS
2023-02-13,416.2,422.07,412.69,413.36,2708316,0.0,0.0,GS
2023-02-14,402.14,410.97,399.04,409.9,1437731,0.0,0.0,GS
2023-02-15,415.8,419.58,405.96,409.38,1250000,0.0,0.0,GS
2023-02-16,395.87,400.58,393.88,394.27,2250461,0.0,0.0,GS
2023-02-17,408.09,416.45,401.14,405.42,3456873,0.0,0.0,GS
2023-02-20,394.98,404.67,392.67,399.58,2993016,0.0,0.0,GS
2023-02-21,399.62,411.99,397.74,407.81,3257222,0.0,0.0,GS
2023-02-22,401.87,407.91,400.86,402.07,2268090,0.0,0.0,GS
2023-02-23,410.36,427.93,404.52,422.45,2164342,0.0,0.0,GS
2023-02-24,421.92,428.03,415.94,427.95,1250000,0.0,0.0,GS
2023-02-27,414.91,415.33,411.32,413.89,3075701,0.0,0.0,GS
2023-02-28,409.42,413.03,406.35,408.37,1978305,0.0,0.0,GS
2023-03-01,407.46,412.07,401.33,403.67,4282186,0.0,0.0,GS
2023-03-02,400.63,404.65,396.63,401.35,3844982,0.0,0.0,GS
2023-03-03,393.95,404.67,388.45,397.81,1814483,0.0,0.0,GS
