date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,182.5,185.99,179.74,184.59,47553835,0.7674,0.0,IWM
2022-11-25,186.86,188.58,185.15,186.32,29764119,0.0,0.0,IWM
2022-11-28,194.83,196.86,192.26,193.57,38355836,0.0,0.0,IWM
2022-11-29,190.81,193.1,189.88,192.14,32543146,0.0,0.0,IWM
2022-11-30,193.52,196.21,191.22,195.22,22658327,0.0,0.0,IWM
2022-12-01,193.96,195.62,189.82,193.23,27752278,0.0,0.0,IWM
2022-12-02,198.97,199.29,197.13,198.75,17500000,0.8831,0.0,IWM
2022-12-05,198.57,201.42,195.5,198.67,69025765,0.0,0.0,IWM
2022-12-06,197.61,204.2,195.35,201.64,36537636,0.0,0.0,IWM
2022-12-07,206.34,209.33,200.8,205.65,29404035,0.0,0.0,IWM
2022-12-08,196.97,204.02,196.77,200.7,32652764,0.0,0.0,IWM
2022-12-09,200.85,201.74,198.66,198.98,33727044,0.0,0.0,IWM
2022-12-12,203.8,205.67,201.5,204.41,36293553,0.0,0.0,IWM
2022-12-13,209.64,209.89,204.51,208.47,19175633,0.0,0.0,IWM
2022-12-14,209.09,211.13,204.95,210.44,36032307,0.0,0.0,IWM
2022-12-15,206.12,211.12,205.69,208.75,40384121,0.0,0.0,IWM
2022-12-16,214.39,215.29,211.89,212.18,25811731,0.0,0.0,IWM
2022-12-19,210.22,213.04,208.43,210.75,29277605,0.0,0.0,IWM
2022-12-20,211.71,214.03,211.62,211.65,48930303,0.0,0.0,IWM
2022-12-21,210.79,213.97,207.5,210.82,50305207,0.0,0.0,IWM
2022-12-22,206.75,210.94,204.9,208.13,38085949,0.0,0.0,IWM
2022-12-23,211.38,212.02,209.16,211.51,55660674,0.0,0.0,IWM
2022-12-26,214.47,217.48,211.88,213.1,30743693,0.0,0.0,IWM
2022-12-27,221.13,221.43,213.62,218.6,35846750,0.0,0.0,IWM
2022-12-28,216.05,216.5,213.08,214.08,31578806,0.0,0.0,IWM
2022-12-29,204.38,205.72,202.12,205.2,45122130,0.0,0.0,IWM
2022-12-30,199.3,200.98,196.42,199.9,25802157,0.0,0.0,IWM
2023-01-02,198.58,199.23,198.45,199.2,44571923,0.0,0.0,IWM
2023-01-03,197.24,204.28,193.75,202.33,33953851,0.0,0.0,IWM
2023-01-04,199.12,200.11,198.0,198.15,17500000,0.0,0.0,IWM
2023-01-05,197.69,197.83,194.23,195.4,37305976,0.0,0.0,IWM
2023-01-06,189.74,192.35,187.28,191.11,21213977,0.0,0.0,IWM
2023-01-09,192.14,193.09,189.68,191.2,25192390,0.0,0.0,IWM
2023-01-10,190.61,194.41,189.25,192.51,39730728,0.0,0.0,IWM
2023-01-11,195.46,199.84,193.96,199.05,25199516,0.0,0.0,IWM
2023-01-12,198.58,199.81,196.08,196.28,44577127,0.0,0.0,IWM
2023-01-13,196.65,199.02,195.41,197.11,47782275,0.0,0.0,IWM
2023-01-16,195.14,197.09,191.87,193.75,31118289,0.0,0.0,IWM
2023-01-17,190.7,191.96,190.69,191.62,30913931,0.0,0.0,IWM
2023-01-18,193.53,196.18,192.55,194.69,33695100,0.0,0.0,IWM
2023-01-19,198.59,199.89,195.62,196.15,53126210,0.0,0.0,IWM
2023-01-20,198.84,200.61,197.16,198.14,32125669,0.0,0.0,IWM
2023-01-23,199.74,199.77,196.81,198.06,48316875,0.0,0.0,IWM
2023-01-24,196.53,199.87,192.79,198.99,26712414,0.0,0.0,IWM
2023-01-25,200.42,202.25,198.16,199.55,35729738,0.0,0.0,IWM
2023-01-26,197.43,197.7,192.77,194.39,34394037,0.0,0.0,IWM
2023-01-27,202.47,203.47,195.67,198.05,35869964,0.0,0.0,IWM
2023-01-30,193.57,198.9,193.52,196.93,40335179,0.0,0.0,IWM
2023-01-31,189.19,191.67,185.37,189.45,51580674,0.0,0.0,IWM
2023-02-01,185.2,189.9,184.09,186.33,41605328,0.0,0.0,IWM
2023-02-02,185.45,185.87,185.39,185.49,33710624,0.0,0.0,IWM
2023-02-03,190.69,191.52,189.73,191.42,51099775,0.0,0.0,IWM
2023-02-06,187.57,188.23,184.56,187.96,32687416,0.0,0.0,IWM
2023-02-07,186.33,187.39,183.59,186.61,45299202,0.0,0.0,IWM
2023-02-08,193.1,193.75,188.15,189.58,45525241,0.0,0.0,IWM
2023-02-09,190.04,192.62,188.01,191.23,47312032,0.0,0.0,IWM
2023-02-10,192.05,195.02,189.75,193.1,64871100,0.0,0.0,IWM
2023-02-13,184.09,185.42,181.95,184.98,23580238,0.0,0.0,IWM
2023-02-14,182.02,184.08,181.77,182.87,22592246,0.0,0.0,IWM
2023-02-15,185.47,185.95,182.1,184.09,41946149,0.0,0.0,IWM
2023-02-16,182.31,184.03,179.74,179.76,20303998,0.0,0.0,IWM
2023-02-17,189.04,190.07,183.83,186.58,31219394,0.0,0.0,IWM
2023-02-20,192.05,195.14,189.58,193.53,28714505,0.0,0.0,IWM
2023-02-21,203.53,206.02,201.13,202.11,25901724,0.0,0.0,IWM
2023-02-22,197.71,198.84,197.38,198.58,36626772,0.0,0.0,IWM
2023-02-23,190.8,192.47,190.3,192.26,30083354,0.0,0.0,IWM
2023-02-24,191.92,195.71,191.32,193.74,34681820,0.0,0.0,IWM
2023-02-27,195.51,197.8,190.56,191.7,20103071,0.0,0.0,IWM
2023-02-28,199.23,200.72,198.45,198.67,46544957,0.0,0.0,IWM
2023-03-01,200.12,201.0,197.46,198.68,34454068,0.0,0.0,IWM
2023-03-02,208.26,208.28,203.78,207.66,17500000,0.0,0.0,IWM
2023-03-03,217.64,219.0,210.25,213.94,44095801,0.0,0.0,IWM
2023-03-06,211.63,213.12,204.58,212.55,37583881,0.0,0.0,IWM
2023-03-07,211.96,213.21,208.46,208.98,30431616,0.0,0.0,IWM
2023-03-08,204.68,206.19,199.27,205.65,23115629,0.0,0.0,IWM
2023-03-09,213.21,215.18,212.0,212.9,40109979,0.0,0.0,IWM
2023-03-10,217.44,221.08,214.5,214.69,56164585,0.0,0.0,IWM
2023-03-13,215.35,217.51,212.71,213.84,25502477,0.0,0.0,IWM
2023-03-14,211.08,213.68,207.45,211.5,43160768,0.0,0.0,IWM
2023-03-15,223.9,225.53,222.91,223.36,33586116,0.0,0.0,IWM
2023-03-16,230.23,231.61,229.43,231.29,40006220,0.0,0.0,IWM
2023-03-17,226.68,228.27,224.66,228.2,52289731,0.0,0.0,IWM
2023-03-20,232.99,233.67,225.15,228.83,33330419,0.0,0.0,IWM
2023-03-21,230.19,235.9,223.3,233.18,39078705,0.0,0.0,IWM
2023-03-22,232.43,237.86,230.93,236.43,35323728,0.0,0.0,IWM
2023-03-23,231.08,234.55,228.21,230.76,49753422,0.0,0.0,IWM
2023-03-24,240.71,241.69,233.35,234.88,17500000,0.0,0.0,IWM
2023-03-27,238.61,244.18,237.02,242.1,32573264,0.0,0.0,IWM
2023-03-28,245.92,251.8,245.43,249.44,27572210,0.0,0.0,IWM
2023-03-29,245.03,247.77,243.68,244.02,28377894,0.0,0.0,IWM
2023-03-30,238.81,239.74,236.91,238.82,43036798,0.0,0.0,IWM
2023-03-31,231.82,233.11,229.84,231.53,34579681,0.0,0.0,IWM
2023-04-03,232.56,236.34,230.04,235.13,34753876,0.0,0.0,IWM
2023-04-04,233.85,236.96,229.82,232.63,29259839,0.0,0.0,IWM
2023-04-05,226.8,230.99,224.53,227.97,24789812,0.0,0.0,IWM
2023-04-06,235.07,237.33,227.88,231.7,55322289,0.0,0.0,IWM
2023-04-07,244.67,245.35,238.98,240.74,36250041,0.0,0.0,IWM
2023-04-10,244.16,245.43,241.72,242.59,21797891,0.0,0.0,IWM
2023-04-11,252.05,256.6,248.88,250.72,35730691,0.0,0.0,IWM
2023-04-12,248.93,249.39,245.4,245.6,49226244,0.0,0.0,IWM
2023-04-13,250.38,251.72,246.47,249.46,39583668,0.0,0.0,IWM
2023-04-14,246.2,248.51,243.81,246.31,34336648,0.0,0.0,IWM
2023-04-17,242.58,247.48,239.84,244.98,32268161,0.0,0.0,IWM
2023-04-18,247.89,251.24,244.09,246.3,29238588,0.0,0.0,IWM
2023-04-19,240.02,243.66,237.35,242.44,50344356,0.0,0.0,IWM
2023-04-20,240.55,243.92,237.59,238.34,37467985,0.0,0.0,IWM
2023-04-21,245.29,250.07,244.55,245.45,41721438,0.0,0.0,IWM
2023-04-24,243.41,250.87,239.16,247.66,53332152,0.0,0.0,IWM
2023-04-25,236.83,241.73,234.47,236.84,45421892,0.0,0.0,IWM
2023-04-26,234.97,236.06,231.9,234.23,22638861,0.0,0.0,IWM
2023-04-27,234.67,238.13,225.95,232.6,36534985,0.0,0.0,IWM
2023-04-28,231.07,231.08,229.72,230.45,45656262,0.0,0.0,IWM
2023-05-01,227.34,232.73,226.71,231.39,27723894,0.0,0.0,IWM
2023-05-02,232.12,232.7,230.17,231.8,22829015,0.0,0.0,IWM
2023-05-03,241.21,245.67,236.54,236.81,22868011,0.0,0.0,IWM
2023-05-04,238.62,243.95,236.53,240.61,35202586,0.0,0.0,IWM
2023-05-05,245.04,247.78,242.79,245.66,29477109,0.0,0.0,IWM
2023-05-08,242.41,244.01,239.47,240.36,44807844,0.0,0.0,IWM
2023-05-09,230.8,232.02,230.31,230.64,43929767,0.0,0.0,IWM
2023-05-10,224.33,229.81,222.73,227.93,32300805,0.0,0.0,IWM
2023-05-11,235.34,237.91,231.8,237.11,31810345,0.0,0.0,IWM
2023-05-12,240.36,244.05,235.54,241.9,31648373,0.0,0.0,IWM
2023-05-15,250.25,252.59,243.93,247.73,37202041,0.0,0.0,IWM
2023-05-16,255.71,257.22,251.2,251.45,47150026,0.0,0.0,IWM
2023-05-17,257.11,260.59,253.91,254.55,31694894,0.0,0.0,IWM
2023-05-18,250.28,253.66,249.13,251.49,28907305,0.0,0.0,IWM
2023-05-19,249.21,251.89,245.28,248.11,32528052,0.0,0.0,IWM
2023-05-22,246.91,248.19,240.11,246.22,42346501,0.0,0.0,IWM
2023-05-23,242.17,245.86,239.96,241.34,51288806,0.0,0.0,IWM
2023-05-24,244.13,245.27,242.37,244.22,52618997,0.0,0.0,IWM
2023-05-25,245.82,252.1,243.87,251.58,34477934,0.0,0.0,IWM
2023-05-26,258.69,258.76,253.73,255.34,37417944,0.0,0.0,IWM
2023-05-29,262.31,264.85,255.89,264.35,38865975,0.0,0.0,IWM
2023-05-30,258.94,262.7,254.73,259.51,45422727,0.0,0.0,IWM
2023-05-31,263.91,264.46,256.88,261.63,27636987,0.0,0.0,IWM
2023-06-01,261.55,262.39,258.21,258.5,54383588,0.0,0.0,IWM
2023-06-02,251.68,253.22,249.99,251.51,29717094,0.0,0.0,IWM
2023-06-05,245.64,248.95,243.33,247.07,18513173,0.0,0.0,IWM
2023-06-06,248.46,250.62,246.48,250.12,32847116,0.0,0.0,IWM
2023-06-07,246.26,248.92,243.65,245.45,17500000,0.0,0.0,IWM
2023-06-08,247.46,247.52,241.94,244.87,49034470,0.0,0.0,IWM
2023-06-09,246.58,247.53,245.18,246.2,37767855,0.0,0.0,IWM
2023-06-12,238.03,242.7,237.33,239.75,51651384,0.0,0.0,IWM
2023-06-13,239.06,243.77,238.78,243.07,49445223,0.0,0.0,IWM
2023-06-14,245.67,246.22,242.06,243.27,50246704,0.0,0.0,IWM
2023-06-15,242.88,246.46,238.55,239.62,50489406,0.0,0.0,IWM
2023-06-16,238.66,239.77,234.07,237.59,40677383,0.0,0.0,IWM
2023-06-19,235.85,238.38,232.03,237.48,24141795,0.0,0.0,IWM
2023-06-20,236.67,241.01,235.79,237.28,32553397,0.0,0.0,IWM
2023-06-21,231.9,238.08,230.74,236.02,26258873,0.0,0.0,IWM
2023-06-22,245.98,247.81,238.97,242.14,48756446,0.0,0.0,IWM
2023-06-23,245.99,251.03,245.59,248.95,40663784,0.0,0.0,IWM
2023-06-26,249.02,252.4,248.03,249.89,36519381,0.0,0.0,IWM
2023-06-27,254.07,258.6,248.94,249.74,46450171,0.0,0.0,IWM
2023-06-28,240.39,242.39,239.6,240.91,60262434,0.0,0.0,IWM
2023-06-29,243.76,244.25,241.72,242.25,31817207,0.0,0.0,IWM
2023-06-30,236.74,239.93,233.36,237.35,35409517,0.0,0.0,IWM
2023-07-03,233.64,236.01,230.49,235.79,43283633,0.0,0.0,IWM
2023-07-04,247.64,252.0,245.03,245.4,27174507,0.0,0.0,IWM
2023-07-05,246.42,252.81,245.6,246.24,41923833,0.0,0.0,IWM
2023-07-06,252.53,254.63,249.28,253.15,26224599,0.0,0.0,IWM
2023-07-07,253.83,254.12,250.47,252.9,27796768,0.0,0.0,IWM
2023-07-10,257.19,257.68,250.83,252.76,35945372,0.0,0.0,IWM
2023-07-11,255.05,255.08,251.67,252.39,17500000,0.0,0.0,IWM
2023-07-12,255.99,258.68,254.14,257.48,18927164,0.0,0.0,IWM
2023-07-13,263.68,264.06,261.44,262.47,45809837,0.0,0.0,IWM
2023-07-14,277.99,281.08,272.39,275.56,37048588,0.0,0.0,IWM
2023-07-17,281.84,282.41,276.04,279.3,40005465,0.0,0.0,IWM
2023-07-18,280.21,280.3,278.44,278.47,29583170,0.0,0.0,IWM
2023-07-19,280.54,281.69,279.77,281.51,29520590,0.0,0.0,IWM
2023-07-20,277.7,280.89,275.83,276.29,28571511,0.0,0.0,IWM
2023-07-21,268.42,273.56,267.93,272.35,46170203,0.0,0.0,IWM
2023-07-24,279.29,280.18,273.03,277.66,32556188,0.0,0.0,IWM
2023-07-25,283.5,285.68,280.96,281.5,28132511,0.0,0.0,IWM
2023-07-26,273.74,280.82,271.93,279.69,18413250,0.0,0.0,IWM
2023-07-27,287.51,289.03,286.59,288.45,41194101,0.0,0.0,IWM
2023-07-28,284.65,290.14,280.27,285.88,39176250,0.0,0.0,IWM
2023-07-31,287.89,292.89,286.02,292.45,44841937,0.0,0.0,IWM
2023-08-01,292.97,293.51,291.05,293.46,20444764,0.0,0.0,IWM
2023-08-02,295.41,296.31,290.68,292.97,51035022,0.0,0.0,IWM
2023-08-03,289.49,291.1,279.82,286.01,44430346,0.0,0.0,IWM
2023-08-04,284.81,288.93,282.32,288.46,53476063,0.0,0.0,IWM
2023-08-07,287.29,289.05,284.31,287.11,29911367,0.0,0.0,IWM
2023-08-08,271.75,276.25,270.38,272.11,45738231,0.0,0.0,IWM
2023-08-09,269.4,277.7,266.79,274.15,43785846,0.0,0.0,IWM
2023-08-10,271.56,276.75,270.08,275.71,18135940,0.0,0.0,IWM
2023-08-11,273.38,276.45,271.74,273.65,40215086,0.0,0.0,IWM
2023-08-14,260.29,260.68,256.17,260.36,44145401,0.0,0.0,IWM
2023-08-15,259.14,261.94,258.68,260.34,25492184,0.0,0.0,IWM
2023-08-16,272.62,276.48,267.09,268.14,35154738,0.0,0.0,IWM
2023-08-17,255.76,259.0,255.44,258.17,34662682,0.0,0.0,IWM
2023-08-18,253.88,257.93,250.59,252.69,30517641,0.0,0.0,IWM
2023-08-21,253.89,257.86,252.66,257.13,29714173,0.0,0.0,IWM
2023-08-22,256.28,259.98,255.34,257.52,30533883,0.9979,0.0,IWM
2023-08-23,261.06,266.88,258.12,262.65,34620685,0.0,0.0,IWM
2023-08-24,273.67,278.78,269.28,269.69,57102708,0.0,0.0,IWM
2023-08-25,282.56,283.59,276.99,279.12,40065216,0.0,0.0,IWM
2023-08-28,280.13,284.07,276.23,277.2,34315086,0.0,0.0,IWM
2023-08-29,281.55,284.66,274.19,278.93,32745401,0.0,0.0,IWM
2023-08-30,270.63,277.17,265.33,274.45,36563953,0.0,0.0,IWM
2023-08-31,273.01,273.73,268.06,271.4,34235071,0.0,0.0,IWM
2023-09-01,261.15,264.84,260.82,263.79,29780961,0.0,0.0,IWM
2023-09-04,266.68,268.63,265.65,266.68,30761436,0.0,0.0,IWM
2023-09-05,264.62,268.8,261.68,265.15,32734018,0.0,0.0,IWM
2023-09-06,259.3,263.08,254.07,257.84,41403737,0.0,0.0,IWM
2023-09-07,259.63,261.05,255.48,258.91,45738225,0.0,0.0,IWM
2023-09-08,254.5,256.96,246.68,250.31,40626198,0.0,0.0,IWM
2023-09-11,247.83,252.3,247.25,250.18,33274478,0.0,0.0,IWM
2023-09-12,248.89,252.07,247.84,251.29,40919661,0.0,0.0,IWM
2023-09-13,250.43,252.7,245.96,246.65,32947777,0.0,0.0,IWM
2023-09-14,246.72,249.67,246.07,248.04,24189140,0.0,0.0,IWM
2023-09-15,256.03,263.72,254.91,258.82,46697999,0.0,0.0,IWM
2023-09-18,269.81,270.76,265.42,265.96,29118776,0.0,0.0,IWM
2023-09-19,262.32,269.23,258.69,267.99,44327279,0.0,0.0,IWM
2023-09-20,268.86,271.86,265.42,270.62,30083424,0.0,0.0,IWM
2023-09-21,277.56,278.42,274.59,276.12,25050850,0.0,0.0,IWM
2023-09-22,281.56,284.01,280.88,283.09,33045629,0.0,0.0,IWM
2023-09-25,282.75,286.09,279.57,280.82,54797106,0.0,0.0,IWM
2023-09-26,285.4,289.17,282.86,284.51,37095266,0.0,0.0,IWM
2023-09-27,283.87,285.26,276.82,284.81,24998681,0.0,0.0,IWM
2023-09-28,278.7,282.25,275.01,281.27,28641001,0.0,0.0,IWM
2023-09-29,274.12,278.14,271.39,276.13,49319341,0.0,0.0,IWM
2023-10-02,272.24,274.68,267.87,269.93,23385072,0.0,0.0,IWM
2023-10-03,264.01,265.19,258.7,259.44,27907562,0.0,0.0,IWM
2023-10-04,250.89,253.93,243.64,253.56,22830791,0.0,0.0,IWM
2023-10-05,259.59,262.04,256.46,259.11,30741567,0.0,0.0,IWM
2023-10-06,257.95,264.1,255.85,256.23,50338166,0.0,0.0,IWM
2023-10-09,255.76,257.03,252.42,253.24,30181744,0.0,0.0,IWM
2023-10-10,254.12,255.18,247.28,248.97,38375869,0.0,0.0,IWM
2023-10-11,246.76,248.51,245.65,246.44,17500000,0.0,0.0,IWM
2023-10-12,241.6,246.72,240.33,242.46,32606659,0.0,0.0,IWM
2023-10-13,245.51,247.85,240.77,246.58,34343227,0.0,0.0,IWM
2023-10-16,253.84,257.6,246.4,250.26,18094438,0.0,0.0,IWM
2023-10-17,252.05,253.27,250.17,252.1,46067860,0.0,0.0,IWM
2023-10-18,253.24,257.92,250.65,256.37,24083177,0.0,0.0,IWM
2023-10-19,249.37,251.5,248.5,249.23,29832681,0.0,0.0,IWM
2023-10-20,240.04,246.11,237.47,243.46,51797849,0.0,0.0,IWM
2023-10-23,244.76,247.16,241.41,242.38,38077523,0.0,0.0,IWM
2023-10-24,240.54,243.04,235.8,241.14,17500000,0.0,0.0,IWM
2023-10-25,241.9,242.93,241.12,241.92,36271997,0.0,0.0,IWM
2023-10-26,236.58,238.95,233.16,238.63,49189375,0.0,0.0,IWM
2023-10-27,237.45,242.06,236.92,241.17,37296101,0.0,0.0,IWM
2023-10-30,240.45,244.7,238.11,242.35,22367058,0.0,0.0,IWM
2023-10-31,246.29,247.4,244.14,247.33,45779747,0.0,0.0,IWM
2023-11-01,251.88,254.55,249.11,251.41,31228429,0.0,0.0,IWM
2023-11-02,265.79,266.0,263.68,265.64,33156908,0.0,0.0,IWM
2023-11-03,265.24,266.63,256.79,261.1,26394851,0.0,0.0,IWM
2023-11-06,265.96,270.39,263.88,266.45,34458386,0.0,0.0,IWM
2023-11-07,270.16,272.79,269.07,270.72,43524754,0.0,0.0,IWM
2023-11-08,269.65,274.46,269.23,270.84,35829149,0.0,0.0,IWM
2023-11-09,269.45,272.46,266.18,269.69,37151597,0.0,0.0,IWM
2023-11-10,269.09,274.54,267.07,268.9,35427891,0.0,0.0,IWM
2023-11-13,274.93,281.8,270.25,270.69,36953429,0.0,0.0,IWM
2023-11-14,269.51,271.73,267.59,269.88,28850853,0.0,0.0,IWM
2023-11-15,278.37,283.85,275.81,277.1,33150416,0.0,0.0,IWM
2023-11-16,279.48,280.0,273.42,277.3,47783064,0.0,0.0,IWM
2023-11-17,266.62,267.82,263.91,265.82,29098727,0.0,0.0,IWM
2023-11-20,254.14,259.03,252.57,257.63,27213156,0.0,0.0,IWM
2023-11-21,256.87,258.58,252.68,254.92,39306618,0.0,0.0,IWM
2023-11-22,248.41,253.78,246.4,253.66,17500000,0.0,0.0,IWM
2023-11-23,251.07,257.15,250.42,251.29,40267353,0.0,0.0,IWM
2023-11-24,254.15,260.69,251.8,255.98,40479393,0.0,0.0,IWM
2023-11-27,264.61,265.67,259.87,261.2,37548841,0.0,0.0,IWM
2023-11-28,255.95,260.93,254.23,254.57,22444008,0.0,0.0,IWM
2023-11-29,259.04,268.27,256.99,263.15,36294134,0.0,0.0,IWM
2023-11-30,267.21,268.27,261.75,263.38,44061755,0.0,0.0,IWM
2023-12-01,265.88,267.06,259.44,262.6,43724695,0.0,0.0,IWM
2023-12-04,275.43,275.66,268.97,273.78,35652059,0.0,0.0,IWM
2023-12-05,270.2,275.3,264.33,267.31,46191089,0.0,0.0,IWM
2023-12-06,265.07,267.56,261.0,264.46,39742639,0.0,0.0,IWM
2023-12-07,266.23,269.41,265.3,268.21,24710689,0.0,0.0,IWM
2023-12-08,255.35,260.6,253.35,258.25,29053111,0.0,0.0,IWM
2023-12-11,258.38,259.51,256.16,258.46,37376035,0.0,0.0,IWM
2023-12-12,268.12,271.4,260.47,261.59,23303574,0.0,0.0,IWM
2023-12-13,254.34,256.17,251.82,255.76,28319742,0.0,0.0,IWM
2023-12-14,255.65,259.37,250.63,255.37,31882533,0.0,0.0,IWM
2023-12-15,256.82,263.94,253.22,260.65,39366659,0.0,0.0,IWM
2023-12-18,265.61,268.92,260.71,262.04,32728626,0.0,0.0,IWM
2023-12-19,267.81,271.03,262.66,264.65,43621977,0.0,0.0,IWM
2023-12-20,272.69,273.46,266.91,272.44,21424397,0.0,0.0,IWM
2023-12-21,270.61,272.89,266.29,270.7,26183641,0.0,0.0,IWM
2023-12-22,266.97,273.33,265.71,270.65,26358870,0.0,0.0,IWM
2023-12-25,274.18,274.39,264.63,267.62,28981324,0.0,0.0,IWM
