date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,164.13,165.17,158.57,162.15,8156036,0.0,0.0,JNJ
2022-11-25,156.26,159.96,154.93,158.04,5437357,0.0,0.0,JNJ
2022-11-28,160.2,160.37,157.04,158.04,6144037,0.0,0.0,JNJ
2022-11-29,155.74,158.43,154.43,156.24,3500000,0.0,0.0,JNJ
2022-11-30,157.72,160.33,155.72,159.14,5086691,0.0,0.0,JNJ
2022-12-01,159.29,160.02,157.63,158.86,6530278,0.0,0.0,JNJ
2022-12-02,161.06,161.31,159.39,159.83,7716374,0.0,0.0,JNJ
2022-12-05,161.67,163.13,160.5,161.33,7791542,0.0,0.0,JNJ
2022-12-06,162.66,164.06,162.06,163.12,6319315,0.0,0.0,JNJ
2022-12-07,159.16,159.52,158.64,159.51,4658697,0.0,0.0,JNJ
2022-12-08,161.87,164.49,161.31,163.25,7588121,0.0,0.0,JNJ
2022-12-09,164.08,165.75,162.43,162.61,5428269,0.0,0.0,JNJ
2022-12-12,167.78,170.05,165.75,168.72,6003849,0.0,0.0,JNJ
2022-12-13,171.91,172.17,170.5,172.12,3500000,0.0,0.0,JNJ
2022-12-14,165.69,169.66,163.86,168.02,9661431,0.0,0.0,JNJ
2022-12-15,169.65,170.32,167.21,168.84,3660739,0.0,0.0,JNJ
2022-12-16,171.52,175.18,170.83,172.13,5359238,0.0,0.0,JNJ
2022-12-19,174.65,176.23,172.94,175.04,9249346,0.0,0.0,JNJ
2022-12-20,182.28,183.48,179.38,180.32,3500000,0.0,0.0,JNJ
2022-12-21,176.4,178.03,175.9,177.46,7127580,0.0,0.0,JNJ
2022-12-22,176.75,178.34,176.12,176.69,6527316,0.0,0.0,JNJ
2022-12-23,172.24,172.72,169.91,171.69,5492869,0.0,0.0,JNJ
2022-12-26,166.06,167.31,163.81,164.39,5859366,0.0,0.0,JNJ
2022-12-27,161.26,162.16,160.29,161.75,6216933,0.0,0.0,JNJ
2022-12-28,161.18,163.07,160.79,161.54,4546073,0.0,0.0,JNJ
2022-12-29,164.86,165.38,161.08,162.58,4822834,0.0,0.0,JNJ
2022-12-30,163.93,164.66,159.36,159.87,7394147,0.0,0.0,JNJ
2023-01-02,156.61,160.6,153.77,157.55,4447207,0.0,0.0,JNJ
2023-01-03,161.1,161.73,158.94,160.1,6121133,0.0,0.0,JNJ
2023-01-04,158.89,162.89,158.65,160.91,5879004,0.0,0.0,JNJ
2023-01-05,156.44,158.0,151.9,154.28,7945106,0.0,0.0,JNJ
2023-01-06,159.2,161.98,157.15,157.86,4663222,0.0,0.0,JNJ
2023-01-09,159.65,160.23,157.05,160.13,7199834,0.0,0.0,JNJ
2023-01-10,161.82,162.34,161.32,161.35,9099015,0.0,0.0,JNJ
2023-01-11,156.77,157.0,156.17,156.4,7882514,0.0,0.0,JNJ
2023-01-12,156.93,158.3,155.75,158.0,8868171,0.0,0.0,JNJ
2023-01-13,157.81,159.58,156.36,157.65,4049720,0.0,0.0,JNJ
2023-01-16,161.28,162.3,157.93,159.3,7586621,0.0,0.0,JNJ
2023-01-17,160.31,162.93,160.06,160.66,4965217,0.0,0.0,JNJ
2023-01-18,160.71,162.85,159.41,161.4,6156045,0.0,0.0,JNJ
2023-01-19,165.82,166.66,162.96,163.81,7090214,0.0,0.0,JNJ
2023-01-20,163.26,166.11,162.57,164.54,6455528,0.0,0.0,JNJ
2023-01-23,161.96,163.45,161.36,163.4,6673576,0.0,0.0,JNJ
2023-01-24,167.17,167.19,165.21,165.98,6531982,0.0,0.0,JNJ
2023-01-25,168.26,168.81,167.63,168.4,7244630,0.0,0.0,JNJ
2023-01-26,176.19,178.24,170.97,173.82,5253758,0.0,0.0,JNJ
2023-01-27,172.01,172.32,168.34,169.98,6816834,0.0,0.0,JNJ
2023-01-30,175.96,177.92,173.74,174.01,3822571,0.0,0.0,JNJ
2023-01-31,171.29,176.36,167.34,172.74,8399344,0.0,0.0,JNJ
2023-02-01,169.52,170.2,167.04,168.24,7776238,0.0,0.0,JNJ
2023-02-02,163.86,165.26,161.23,164.02,5671250,0.0,0.0,JNJ
2023-02-03,163.82,165.7,162.7,164.85,3660253,0.0,0.0,JNJ
2023-02-06,160.36,161.95,156.6,159.6,7843813,0.0,0.0,JNJ
2023-02-07,155.65,156.43,153.62,154.3,5714453,0.0,0.0,JNJ
2023-02-08,150.9,151.26,149.82,150.99,7047984,0.0,0.0,JNJ
2023-02-09,153.38,156.42,150.89,152.0,7878784,0.0,0.0,JNJ
2023-02-10,157.26,157.71,154.33,156.54,5552507,0.0,0.0,JNJ
2023-02-13,152.02,157.16,150.65,155.18,4090175,0.0,0.0,JNJ
2023-02-14,152.64,154.67,151.11,152.73,7478815,0.0,0.0,JNJ
2023-02-15,150.73,153.97,148.09,152.05,4486689,0.0,0.0,JNJ
