date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,143.82,145.07,142.99,144.6,13184916,0.0,0.0,JPM
2022-11-25,146.58,147.81,145.91,146.84,15387835,0.0,0.0,JPM
2022-11-28,144.61,146.21,143.77,145.74,15057759,0.0,0.0,JPM
2022-11-29,149.0,150.14,142.44,144.85,9504880,0.0,0.0,JPM
2022-11-30,143.44,146.48,142.64,145.76,13956526,0.0,0.0,JPM
2022-12-01,147.26,148.93,146.69,148.83,11881319,0.0,0.0,JPM
2022-12-02,153.82,155.44,149.73,152.01,6000000,0.0,0.0,JPM
2022-12-05,147.23,149.53,145.41,147.89,8962801,0.0,0.0,JPM
2022-12-06,149.66,149.68,147.33,147.82,16264525,0.0,0.0,JPM
2022-12-07,146.19,148.66,145.9,147.61,13187361,0.0,0.0,JPM
2022-12-08,146.98,149.0,144.83,145.74,17524603,0.0,0.0,JPM
2022-12-09,143.52,148.91,143.11,146.95,14073079,0.0,0.0,JPM
2022-12-12,146.84,147.66,146.07,147.56,13965797,0.0,0.0,JPM
2022-12-13,145.3,145.55,143.81,143.99,14301192,0.0,0.0,JPM
2022-12-14,145.76,146.7,143.43,145.02,8827086,0.0,0.0,JPM
2022-12-15,140.4,140.64,137.53,137.79,21311992,0.0,0.0,JPM
2022-12-16,130.81,131.41,129.26,130.67,14355413,0.0,0.0,JPM
2022-12-19,134.2,135.18,131.15,131.99,10273345,0.0,0.0,JPM
2022-12-20,133.59,135.19,131.0,131.54,14643400,0.0,0.0,JPM
2022-12-21,128.27,129.02,128.02,128.54,12700964,0.0,0.0,JPM
2022-12-22,127.11,128.23,125.54,127.65,8688469,0.0,0.0,JPM
2022-12-23,125.85,129.21,125.69,128.46,7823690,0.0,0.0,JPM
2022-12-26,127.59,129.83,125.86,127.75,12299850,0.0,0.0,JPM
2022-12-27,131.08,132.14,130.76,130.97,13399615,0.0,0.0,JPM
2022-12-28,130.88,132.42,127.23,129.64,6499424,0.0,0.0,JPM
2022-12-29,123.96,125.54,120.9,125.42,12418138,0.0,0.0,JPM
2022-12-30,128.1,128.16,126.06,126.5,12015455,0.0,0.0,JPM
2023-01-02,119.97,121.76,119.35,121.11,14417043,0.0,0.0,JPM
2023-01-03,117.0,118.78,116.17,117.16,14364378,0.0,0.0,JPM
2023-01-04,111.87,113.19,110.5,112.7,9344699,0.0,0.0,JPM
2023-01-05,112.14,113.6,110.69,112.61,11600604,0.0,0.0,JPM
2023-01-06,107.1,109.31,106.84,108.3,12998557,0.0,0.0,JPM
