date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,286.22,290.27,284.08,287.85,12083363,0.0,0.0,META
2022-11-25,290.38,292.41,285.57,288.53,19674549,0.0,0.0,META
2022-11-28,292.94,298.3,288.85,293.61,24735380,0.0,0.0,META
2022-11-29,295.62,304.65,295.52,299.08,26415122,0.0,0.0,META
2022-11-30,300.49,302.14,296.08,297.67,18118395,0.0,0.0,META
2022-12-01,297.28,305.54,295.76,301.8,14306755,0.0,0.0,META
2022-12-02,301.76,303.25,301.74,301.89,15966061,0.0,0.0,META
2022-12-05,298.43,302.13,295.37,297.7,12491832,0.0,0.0,META
2022-12-06,292.74,296.77,288.03,292.33,14394441,0.0,0.0,META
2022-12-07,301.38,302.78,294.88,300.89,13136508,0.0,0.0,META
2022-12-08,291.9,294.04,290.35,292.42,9000000,0.0,0.0,META
2022-12-09,289.38,293.07,285.44,288.39,9000000,0.0,0.0,META
2022-12-12,277.32,280.26,274.05,275.71,15171997,0.0,0.0,META
2022-12-13,259.74,265.29,258.03,265.03,22281697,0.0,0.0,META
2022-12-14,259.07,261.99,255.72,261.85,13555678,0.0,0.0,META
2022-12-15,271.18,272.53,267.19,267.59,19909788,0.0,0.0,META
2022-12-16,273.07,273.78,271.75,273.53,25040911,0.0,0.0,META
2022-12-19,272.72,279.92,267.88,274.07,23780161,0.0,0.0,META
2022-12-20,263.33,271.3,262.17,266.03,16596265,0.0,0.0,META
2022-12-21,268.16,268.77,267.51,267.67,16166834,0.0,0.0,META
2022-12-22,274.95,276.81,272.78,273.32,25699524,0.0,0.0,META
2022-12-23,270.08,271.45,269.65,271.28,27616817,0.0,0.0,META
2022-12-26,275.64,277.22,270.67,272.35,19826313,0.0,0.0,META
2022-12-27,269.33,275.46,268.93,272.04,10620789,0.0,0.0,META
2022-12-28,270.76,273.7,263.74,270.69,20320825,0.0,0.0,META
2022-12-29,272.4,275.84,267.83,270.51,20486510,0.0,0.0,META
2022-12-30,264.25,266.15,262.28,263.05,26955849,0.0,0.0,META
2023-01-02,258.99,266.07,256.44,264.63,13243219,0.0,0.0,META
2023-01-03,258.64,262.54,255.07,260.22,20611132,0.0,0.0,META
2023-01-04,250.32,254.58,249.39,254.29,23991001,0.0,0.0,META
2023-01-05,251.09,255.77,251.0,253.43,18210958,0.0,0.0,META
2023-01-06,251.24,256.37,247.43,253.79,21183659,0.0,0.0,META
2023-01-09,267.37,268.74,266.0,266.44,14037980,0.0,0.0,META
2023-01-10,260.26,261.81,255.5,258.35,19750526,0.0,0.0,META
2023-01-11,264.77,268.48,261.78,265.1,24889903,0.0,0.0,META
2023-01-12,260.73,261.4,258.81,260.37,21991298,0.0,0.0,META
2023-01-13,251.94,252.38,246.42,251.04,22180616,0.0,0.0,META
2023-01-16,244.2,246.54,243.5,244.11,13964179,0.0,0.0,META
2023-01-17,243.27,245.23,239.18,239.59,12820102,0.0,0.0,META
2023-01-18,248.06,249.51,242.8,246.3,23406498,0.0,0.0,META
2023-01-19,255.37,258.05,253.68,255.73,10901154,0.0,0.0,META
2023-01-20,252.44,255.93,248.56,250.95,21179412,0.0,0.0,META
2023-01-23,253.75,257.7,251.33,255.69,20020241,0.0,0.0,META
2023-01-24,251.43,255.85,250.79,254.93,26941687,0.0,0.0,META
2023-01-25,254.92,262.42,252.65,259.74,14126951,0.0,0.0,META
2023-01-26,249.99,253.38,246.94,249.67,19257826,0.0,0.0,META
2023-01-27,249.32,249.57,245.92,247.55,34139048,0.0,0.0,META
2023-01-30,244.8,248.98,239.99,247.42,21069300,0.0,0.0,META
2023-01-31,243.98,244.49,242.41,242.91,18246920,0.0,0.0,META
2023-02-01,253.88,255.24,251.6,252.53,19303714,0.0,0.0,META
2023-02-02,249.74,253.39,245.23,250.37,19511150,0.0,0.0,META
2023-02-03,253.51,256.44,252.88,253.4,21118735,0.0,0.0,META
2023-02-06,246.21,248.9,244.14,247.14,14559987,0.0,0.0,META
2023-02-07,252.44,252.79,246.71,247.4,23251067,0.0,0.0,META
2023-02-08,252.88,253.47,246.7,248.81,22781004,0.0,0.0,META
2023-02-09,251.22,256.9,247.82,254.76,14710065,0.0,0.0,META
2023-02-10,246.04,251.11,241.52,249.15,15790161,0.0,0.0,META
2023-02-13,247.32,251.23,246.09,248.77,23867839,0.0,0.0,META
2023-02-14,248.13,249.92,242.68,245.87,19507547,0.0,0.0,META
2023-02-15,246.59,250.41,237.34,244.92,10576040,0.0,0.0,META
2023-02-16,254.57,256.7,251.87,252.0,16528066,0.0,0.0,META
2023-02-17,241.57,247.4,240.23,246.46,17567599,0.0,0.0,META
2023-02-20,252.36,254.36,251.19,251.51,18229397,0.0,0.0,META
2023-02-21,254.19,255.59,251.57,251.84,22699332,0.0,0.0,META
2023-02-22,251.65,256.06,248.9,253.32,19106524,0.0,0.0,META
2023-02-23,248.66,256.59,245.09,252.83,19291787,0.0,0.0,META
2023-02-24,249.51,251.4,247.77,250.0,23867516,0.0,0.0,META
2023-02-27,243.5,247.73,242.41,246.11,23188397,0.0,0.0,META
2023-02-28,242.91,248.87,239.29,241.13,16460631,0.0,0.0,META
2023-03-01,241.66,242.01,238.49,238.64,17306333,0.0,0.0,META
2023-03-02,244.1,244.84,242.66,244.29,22298087,0.0,0.0,META
2023-03-03,240.73,243.25,239.7,241.67,11882815,0.0,0.0,META
2023-03-06,232.74,235.6,230.32,234.79,17787461,0.0,0.0,META
2023-03-07,234.6,237.78,231.84,233.02,20686979,0.0,0.0,META
2023-03-08,232.54,233.25,229.43,233.1,27994930,0.0,0.0,META
2023-03-09,228.14,230.22,227.41,229.83,20384759,0.0,0.0,META
2023-03-10,229.9,237.55,228.55,233.51,19962022,0.0,0.0,META
2023-03-13,234.45,236.14,233.49,234.48,12057064,0.0,0.0,META
2023-03-14,232.6,238.6,229.88,236.67,15654294,0.0,0.0,META
2023-03-15,236.17,238.89,232.92,237.69,11410137,0.0,0.0,META
2023-03-16,239.58,239.79,238.91,239.11,21475904,0.0,0.0,META
2023-03-17,251.24,255.83,246.59,247.13,23136854,0.0,0.0,META
2023-03-20,256.5,257.29,252.35,254.11,15629880,0.0,0.0,META
2023-03-21,258.67,258.99,256.52,257.96,17475848,0.0,0.0,META
2023-03-22,255.71,258.42,254.09,255.09,16212397,0.0,0.0,META
2023-03-23,252.91,258.7,250.3,257.02,18866415,0.0,0.0,META
2023-03-24,249.75,257.17,247.31,256.19,9000000,0.0,0.0,META
2023-03-27,256.27,261.08,254.68,257.81,13002770,0.0,0.0,META
2023-03-28,246.71,250.71,246.61,246.77,17146195,0.0,0.0,META
2023-03-29,247.63,251.49,242.84,244.68,19986295,0.0,0.0,META
2023-03-30,243.22,243.53,242.48,243.43,9000000,0.0,0.0,META
2023-03-31,245.74,249.21,244.15,248.93,23464267,0.0,0.0,META
2023-04-03,247.26,251.62,243.08,247.11,15505744,0.0,0.0,META
2023-04-04,248.87,250.9,247.07,249.56,15675158,0.0,0.0,META
2023-04-05,242.49,249.05,241.58,247.5,14138459,0.0,0.0,META
2023-04-06,245.91,249.24,245.54,247.49,16278091,0.0,0.0,META
2023-04-07,259.41,259.49,253.71,254.47,18681164,0.0,0.0,META
2023-04-10,257.58,262.79,251.8,252.54,17399587,0.0,0.0,META
2023-04-11,256.76,257.96,254.27,254.48,16996573,0.0,0.0,META
2023-04-12,252.74,253.89,252.39,253.69,24254905,0.0,0.0,META
2023-04-13,256.75,262.07,256.3,261.22,15692446,0.0,0.0,META
2023-04-14,261.51,266.64,258.93,263.55,14235259,0.0,0.0,META
2023-04-17,254.29,258.15,251.07,254.51,21676174,0.0,0.0,META
2023-04-18,252.95,255.93,249.89,253.68,11574098,0.0,0.0,META
2023-04-19,251.56,257.27,251.03,254.76,14632304,0.0,0.0,META
2023-04-20,257.71,259.2,250.84,251.63,18791369,0.0,0.0,META
2023-04-21,254.9,257.95,254.65,256.58,18142952,0.0,0.0,META
2023-04-24,254.72,259.76,251.83,252.27,26161857,0.0,0.0,META
2023-04-25,255.1,257.84,254.38,257.63,16080819,0.0,0.0,META
2023-04-26,259.07,263.71,256.66,257.9,14773923,0.0,0.0,META
2023-04-27,254.39,254.55,251.93,253.09,9000000,0.0,0.0,META
2023-04-28,259.15,259.81,256.49,258.26,11493682,0.0,0.0,META
2023-05-01,252.79,257.18,250.11,254.42,19491186,0.0,0.0,META
2023-05-02,239.79,246.94,239.63,243.54,19811165,0.0,0.0,META
2023-05-03,247.09,247.76,244.77,244.92,19775597,0.0,0.0,META
2023-05-04,240.76,244.96,240.14,243.08,15560516,0.0,0.0,META
2023-05-05,237.16,245.12,234.5,239.66,23025049,0.0,0.0,META
2023-05-08,239.72,239.81,235.49,237.62,25387767,0.0,0.0,META
2023-05-09,240.49,246.87,239.18,244.2,9223802,0.0,0.0,META
2023-05-10,243.54,246.7,242.4,244.66,24925266,0.0,0.0,META
2023-05-11,235.08,241.79,234.29,239.87,27125463,0.0,0.0,META
2023-05-12,232.29,236.7,230.79,232.88,18545016,0.2571,0.0,META
2023-05-15,228.35,231.74,227.22,229.83,19060576,0.0,0.0,META
2023-05-16,239.69,241.41,236.85,238.54,9000000,0.0,0.0,META
