date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,307.9,311.36,306.73,310.69,29519608,0.0,0.0,MSFT
2022-11-25,296.46,300.01,295.47,296.13,21259715,0.0,0.0,MSFT
2022-11-28,296.49,301.88,295.93,296.57,24919354,0.0,0.0,MSFT
2022-11-29,300.38,301.56,296.36,298.85,12984156,0.0,0.0,MSFT
2022-11-30,295.53,299.3,292.54,297.45,23278423,0.0,0.0,MSFT
2022-12-01,292.24,295.84,290.03,290.95,24698954,0.0,0.0,MSFT
2022-12-02,288.05,288.95,286.88,288.11,21255715,0.0,0.0,MSFT
2022-12-05,284.85,285.73,283.13,285.37,26395736,0.0,0.0,MSFT
2022-12-06,285.38,289.73,284.31,288.42,20538012,0.0,0.0,MSFT
2022-12-07,274.88,278.58,269.27,273.14,14156845,0.0,0.0,MSFT
2022-12-08,273.72,282.46,271.65,278.69,12500000,0.0,0.0,MSFT
2022-12-09,285.0,288.79,277.38,281.41,15695069,0.0,0.0,MSFT
2022-12-12,280.4,283.72,279.55,281.64,19870080,0.0,0.0,MSFT
2022-12-13,289.16,294.5,283.23,286.07,12500000,0.0,0.0,MSFT
2022-12-14,279.8,284.62,274.33,282.61,21663971,0.0,0.0,MSFT
2022-12-15,279.52,282.51,277.88,278.24,28717436,0.0,0.0,MSFT
2022-12-16,286.76,294.5,285.36,287.89,20413900,0.0,0.0,MSFT
2022-12-19,294.78,295.17,287.64,289.65,35819742,0.0,0.0,MSFT
2022-12-20,292.02,293.11,289.32,289.72,25915996,0.0,0.0,MSFT
2022-12-21,287.55,289.21,285.44,286.4,28667011,0.0,0.0,MSFT
2022-12-22,276.9,282.36,274.6,282.24,12500000,0.0,0.0,MSFT
2022-12-23,282.62,287.09,282.28,284.37,33655745,0.0,0.0,MSFT
2022-12-26,294.84,299.67,294.06,296.53,35122875,0.0,0.0,MSFT
2022-12-27,306.45,308.69,305.43,306.07,22241953,0.0,0.0,MSFT
2022-12-28,294.79,300.47,294.09,297.89,15314297,0.0,0.0,MSFT
2022-12-29,297.9,300.55,289.41,292.85,21004487,0.0,0.0,MSFT
2022-12-30,296.08,303.79,295.83,298.38,25951601,0.0,0.0,MSFT
2023-01-02,310.47,314.43,307.44,308.94,24908037,0.0,0.0,MSFT
2023-01-03,312.8,319.04,311.33,314.41,32926235,0.0,0.0,MSFT
2023-01-04,298.32,304.76,295.64,304.37,13608239,0.0,0.0,MSFT
2023-01-05,299.44,302.57,292.5,295.67,13113882,0.0,0.0,MSFT
2023-01-06,288.79,298.79,285.63,293.89,38509127,0.0,0.0,MSFT
2023-01-09,289.51,294.31,283.52,291.54,26037366,0.0,0.0,MSFT
2023-01-10,291.6,296.41,287.95,295.52,41897426,0.0,0.0,MSFT
2023-01-11,296.35,302.81,292.55,297.21,25822447,0.0,0.0,MSFT
2023-01-12,291.98,294.52,287.91,292.94,20757818,0.0,0.0,MSFT
2023-01-13,300.78,304.83,296.64,298.96,32885572,0.0,0.0,MSFT
2023-01-16,304.58,305.26,301.31,302.29,28130471,0.0,0.0,MSFT
2023-01-17,297.33,301.87,293.26,295.1,19321112,0.0,0.0,MSFT
2023-01-18,301.96,307.08,299.4,305.88,48999310,0.0,0.0,MSFT
2023-01-19,307.91,312.44,306.49,308.83,22362526,0.0,0.0,MSFT
2023-01-20,298.39,298.53,295.89,296.86,15029262,0.0,0.0,MSFT
2023-01-23,298.86,302.21,294.25,298.21,30353757,0.0,0.0,MSFT
2023-01-24,300.04,303.61,292.2,296.44,17901434,0.0,0.0,MSFT
2023-01-25,305.89,308.34,304.1,304.19,31567342,0.0,0.0,MSFT
2023-01-26,311.75,314.14,305.07,308.62,49098686,0.0,0.0,MSFT
2023-01-27,303.58,308.12,296.82,299.53,16761190,0.0,0.0,MSFT
2023-01-30,291.41,295.59,289.72,292.98,20920205,0.0,0.0,MSFT
2023-01-31,298.01,300.94,292.37,294.84,25715522,0.0,0.0,MSFT
2023-02-01,300.33,301.6,297.97,300.1,26076842,0.0,0.0,MSFT
2023-02-02,301.74,304.09,301.34,302.68,28695478,0.0,0.0,MSFT
2023-02-03,308.17,310.93,307.64,309.35,30627560,0.0,0.0,MSFT
2023-02-06,307.25,313.67,304.27,309.62,28666804,1.031,0.0,MSFT
2023-02-07,312.69,317.86,311.94,315.74,30629710,0.0,0.0,MSFT
2023-02-08,304.93,311.76,302.81,308.84,21675231,0.0,0.0,MSFT
