date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,85.8,87.47,84.89,85.46,5371110,0.0,0.0,MS
2022-11-25,85.56,86.41,84.75,85.21,5811161,0.0,0.0,MS
2022-11-28,87.04,87.68,85.73,86.52,6269719,0.0,0.0,MS
2022-11-29,86.16,86.95,84.45,84.81,10706144,0.0,0.0,MS
2022-11-30,82.96,83.42,81.63,82.01,9844051,0.0,0.0,MS
2022-12-01,80.62,81.75,79.79,80.72,9011368,0.0,0.0,MS
2022-12-02,81.97,82.06,79.26,81.72,8205071,0.0,0.0,MS
2022-12-05,83.68,84.71,82.54,82.83,8514452,0.0,0.0,MS
2022-12-06,85.95,87.13,83.37,85.49,7983310,0.0,0.0,MS
2022-12-07,82.58,83.32,82.15,82.98,11611046,0.0,0.0,MS
2022-12-08,84.99,85.43,83.88,84.13,9283547,0.0,0.0,MS
2022-12-09,85.06,86.62,84.72,85.8,8124068,0.0,0.0,MS
2022-12-12,86.35,87.6,85.6,86.58,11609553,0.0,0.0,MS
2022-12-13,87.88,89.19,87.61,88.07,12134311,0.0,0.0,MS
2022-12-14,87.9,89.62,86.89,87.2,6174028,0.0,0.0,MS
2022-12-15,87.94,89.86,87.88,89.11,6857727,0.0,0.0,MS
2022-12-16,89.29,89.6,89.06,89.27,9292103,0.0,0.0,MS
2022-12-19,88.45,91.31,87.41,89.99,11292446,0.4465,0.0,MS
2022-12-20,89.23,89.33,87.68,87.73,4000000,0.0,0.0,MS
2022-12-21,85.76,86.0,85.21,85.81,9252338,0.0,0.0,MS
2022-12-22,87.95,88.75,86.12,87.22,4517852,0.0,0.0,MS
2022-12-23,87.19,87.96,85.96,86.96,9526539,0.0,0.0,MS
2022-12-26,88.41,90.66,87.88,89.08,6045470,0.0,0.0,MS
2022-12-27,91.21,92.69,89.41,90.58,8426049,0.0,0.0,MS
2022-12-28,93.28,93.49,90.61,92.13,7998928,0.0,0.0,MS
2022-12-29,90.69,93.16,88.99,92.03,6451970,0.0,0.0,MS
2022-12-30,93.69,94.4,92.83,93.76,4397804,0.0,0.0,MS
2023-01-02,97.35,98.62,94.07,96.35,6749747,0.0,0.0,MS
2023-01-03,96.92,97.95,96.52,96.69,9314834,0.0,0.0,MS
2023-01-04,93.36,94.97,92.95,94.92,7698019,0.0,0.0,MS
2023-01-05,93.73,96.31,92.59,95.07,4800305,0.0,0.0,MS
2023-01-06,96.66,97.85,95.62,96.89,6662981,0.0,0.0,MS
2023-01-09,100.24,101.3,98.16,99.4,9486267,0.0,0.0,MS
2023-01-10,98.22,100.29,97.45,98.39,9017027,0.0,0.0,MS
2023-01-11,101.05,101.3,98.51,100.02,7232438,0.0,0.0,MS
2023-01-12,100.94,102.25,99.83,101.16,6095458,0.4688,0.0,MS
2023-01-13,98.97,99.91,98.3,99.28,5913376,0.0,0.0,MS
2023-01-16,96.76,97.24,96.22,96.95,4833764,0.0,0.0,MS
2023-01-17,95.99,98.74,94.85,97.28,7727470,0.0,0.0,MS
2023-01-18,99.6,101.32,98.14,99.93,12768864,0.0,0.0,MS
2023-01-19,103.05,104.68,102.91,103.78,6799057,0.0,0.0,MS
2023-01-20,104.85,105.27,104.54,104.76,4000000,0.0,0.0,MS
2023-01-23,105.04,106.58,104.18,104.37,8982760,0.0,0.0,MS
2023-01-24,106.78,107.86,105.18,105.62,14681935,0.0,0.0,MS
2023-01-25,103.78,105.56,102.02,103.26,8402558,0.0,0.0,MS
2023-01-26,104.6,105.2,104.49,104.51,5827596,0.0,0.0,MS
2023-01-27,108.09,110.52,107.61,109.2,9530401,0.0,0.0,MS
2023-01-30,105.46,106.67,104.56,105.53,10364383,0.0,0.0,MS
2023-01-31,102.66,104.92,102.66,103.64,10874423,0.0,0.0,MS
2023-02-01,103.57,104.06,103.44,103.7,8250018,0.0,0.0,MS
2023-02-02,102.86,103.12,101.94,102.78,10505502,0.0,0.0,MS
2023-02-03,100.52,103.45,98.11,101.39,7644665,0.0,0.0,MS
2023-02-06,100.02,101.51,99.24,100.46,7259120,0.0,0.0,MS
2023-02-07,103.36,103.82,102.05,102.79,9108626,0.0,0.0,MS
2023-02-08,106.98,107.12,106.42,106.56,7885865,0.0,0.0,MS
2023-02-09,107.52,108.89,104.8,106.7,6979920,0.0,0.0,MS
2023-02-10,106.33,110.29,106.25,108.05,9587319,0.0,0.0,MS
2023-02-13,111.09,111.12,109.68,110.04,11107326,0.0,0.0,MS
2023-02-14,106.55,107.52,106.23,106.83,10902474,0.0,0.0,MS
2023-02-15,104.9,105.52,103.77,104.4,9523238,0.0,0.0,MS
2023-02-16,103.38,105.3,102.62,103.91,8279924,0.0,0.0,MS
2023-02-17,100.7,103.07,100.56,101.67,12602528,0.0,0.0,MS
2023-02-20,101.12,101.93,100.5,101.91,6314969,0.0,0.0,MS
2023-02-21,96.64,98.96,95.68,98.88,8418543,0.0,0.0,MS
2023-02-22,98.21,98.94,98.0,98.88,6865508,0.0,0.0,MS
2023-02-23,100.05,100.94,99.83,100.34,7916635,0.0,0.0,MS
2023-02-24,99.23,99.72,98.81,98.94,9120631,0.0,0.0,MS
2023-02-27,98.19,99.08,96.54,97.37,9339309,0.0,0.0,MS
2023-02-28,95.05,96.06,92.69,93.65,9420294,0.0,0.0,MS
2023-03-01,94.23,94.94,94.18,94.84,5505490,0.0,0.0,MS
2023-03-02,96.38,96.51,94.43,95.51,7724733,0.0,0.0,MS
2023-03-03,95.23,97.93,94.88,96.84,6460162,0.0,0.0,MS
2023-03-06,96.55,96.8,94.86,95.21,8621833,0.0,0.0,MS
2023-03-07,94.79,95.81,92.07,93.96,8036131,0.0,0.0,MS
2023-03-08,93.68,94.66,92.25,92.84,10441701,0.0,0.0,MS
