date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,402.04,414.69,399.29,408.96,10280281,0.0,0.0,NFLX
2022-11-25,413.84,414.59,404.28,405.82,9313566,0.0,0.0,NFLX
2022-11-28,396.58,400.78,392.09,395.39,8002533,0.0,0.0,NFLX
2022-11-29,394.74,404.17,391.63,401.69,10505705,0.0,0.0,NFLX
2022-11-30,411.27,417.33,410.63,416.97,9189246,0.0,0.0,NFLX
2022-12-01,414.03,418.91,408.42,414.9,10711092,0.0,0.0,NFLX
2022-12-02,421.27,425.93,417.73,421.82,7761338,0.0,0.0,NFLX
2022-12-05,416.05,419.03,409.15,412.95,7827956,0.0,0.0,NFLX
2022-12-06,416.67,417.57,410.37,414.17,4166670,0.0,0.0,NFLX
2022-12-07,405.56,408.73,398.65,401.48,9098637,0.0,0.0,NFLX
2022-12-08,393.44,395.81,387.58,388.17,10953286,0.0,0.0,NFLX
2022-12-09,370.36,372.07,364.79,371.49,7132705,0.0,0.0,NFLX
2022-12-12,362.29,366.27,356.76,365.77,8310685,0.0,0.0,NFLX
2022-12-13,348.33,355.83,345.13,354.52,5094170,0.0,0.0,NFLX
2022-12-14,355.51,355.63,344.17,352.38,13189774,0.0,0.0,NFLX
2022-12-15,346.98,353.57,343.26,352.63,5588027,0.0,0.0,NFLX
2022-12-16,350.6,350.89,343.2,348.02,8250434,0.0,0.0,NFLX
2022-12-19,348.47,351.83,344.89,349.36,11141884,0.0,0.0,NFLX
2022-12-20,345.49,349.33,334.18,336.67,9081153,0.0,0.0,NFLX
2022-12-21,334.43,341.28,334.19,334.57,14685237,0.0,0.0,NFLX
2022-12-22,337.5,338.16,333.38,336.5,7395257,0.0,0.0,NFLX
2022-12-23,319.4,329.71,315.68,326.71,6383291,0.0,0.0,NFLX
2022-12-26,329.43,331.8,325.04,330.38,5271526,0.0,0.0,NFLX
2022-12-27,321.19,325.07,314.51,319.54,11792173,0.0,0.0,NFLX
2022-12-28,311.32,315.81,310.17,312.37,5273940,0.0,0.0,NFLX
2022-12-29,310.49,313.42,304.6,308.36,8800094,0.0,0.0,NFLX
2022-12-30,306.44,307.01,300.05,301.92,5138129,0.0,0.0,NFLX
2023-01-02,308.38,310.98,304.29,309.2,7731855,0.0,0.0,NFLX
2023-01-03,297.92,299.49,296.72,297.74,4525898,0.0,0.0,NFLX
2023-01-04,286.43,293.5,284.07,288.58,6903351,0.0,0.0,NFLX
2023-01-05,287.43,291.41,285.47,289.22,9408153,0.0,0.0,NFLX
2023-01-06,298.93,300.07,293.53,296.8,10372457,0.0,0.0,NFLX
2023-01-09,301.26,310.86,300.81,303.81,4000000,0.0,0.0,NFLX
2023-01-10,303.15,308.64,294.48,300.04,8177057,0.0,0.0,NFLX
2023-01-11,285.43,290.29,284.88,286.03,8609770,0.0,0.0,NFLX
2023-01-12,287.42,289.43,282.88,284.78,6619005,0.0,0.0,NFLX
2023-01-13,273.15,274.71,269.24,272.2,11237253,0.0,0.0,NFLX
2023-01-16,279.03,279.26,266.09,274.47,7072225,0.0,0.0,NFLX
2023-01-17,268.65,274.72,266.87,270.56,7318090,0.0,0.0,NFLX
2023-01-18,267.45,269.54,266.31,267.75,8066496,0.0,0.0,NFLX
2023-01-19,264.93,270.3,261.0,264.56,7950366,0.0,0.0,NFLX
2023-01-20,244.81,249.73,242.93,246.0,9314765,0.0,0.0,NFLX
2023-01-23,243.58,246.72,242.92,245.2,6631647,0.0,0.0,NFLX
2023-01-24,246.28,247.97,245.76,247.73,10236144,0.0,0.0,NFLX
2023-01-25,254.45,255.39,250.23,254.14,8011492,0.0,0.0,NFLX
2023-01-26,247.17,249.93,246.58,249.74,8130148,0.3373,0.0,NFLX
2023-01-27,260.61,263.78,256.18,258.23,7269020,0.0,0.0,NFLX
2023-01-30,258.36,259.43,257.86,258.14,5810126,0.0,0.0,NFLX
2023-01-31,253.18,255.39,250.22,250.75,7927933,0.0,0.0,NFLX
2023-02-01,243.87,247.86,240.71,247.48,9178169,0.0,0.0,NFLX
2023-02-02,255.39,257.69,249.01,251.89,6904132,0.0,0.0,NFLX
2023-02-03,247.09,249.58,244.22,249.41,9808079,0.0,0.0,NFLX
2023-02-06,250.88,252.04,247.11,247.84,7089885,0.0,0.0,NFLX
2023-02-07,255.72,258.07,254.39,256.66,7709053,0.0,0.0,NFLX
2023-02-08,258.96,259.33,257.38,257.9,4212524,0.0,0.0,NFLX
2023-02-09,256.44,260.6,253.51,258.88,5724153,0.0,0.0,NFLX
2023-02-10,254.9,257.92,252.68,254.11,10375364,0.0,0.0,NFLX
2023-02-13,251.89,254.94,250.02,253.18,10429277,0.0,0.0,NFLX
2023-02-14,251.07,254.25,246.94,247.65,5226211,0.0,0.0,NFLX
2023-02-15,242.42,243.94,240.41,242.31,10014400,0.0,0.0,NFLX
2023-02-16,240.73,244.94,233.48,236.6,7360604,0.0,0.0,NFLX
