date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,108.77,112.57,107.38,110.67,7289134,0.0,0.0,NKE
2022-11-25,113.7,113.96,112.14,113.18,9638734,0.0,0.0,NKE
2022-11-28,113.24,115.02,113.14,113.69,6611974,0.0,0.0,NKE
2022-11-29,117.18,118.07,115.18,115.93,7926973,0.0,0.0,NKE
2022-11-30,114.33,115.96,112.57,112.9,6033646,0.0,0.0,NKE
2022-12-01,112.28,113.74,112.28,112.96,5977745,0.0,0.0,NKE
2022-12-02,115.14,116.07,114.39,114.9,7710347,0.0,0.0,NKE
2022-12-05,109.8,110.99,109.36,110.35,4962467,0.0,0.0,NKE
2022-12-06,108.7,109.6,105.61,106.45,5887287,0.0,0.0,NKE
2022-12-07,109.19,109.99,108.54,108.73,5923546,0.0,0.0,NKE
2022-12-08,108.97,109.68,107.78,107.98,7437061,0.0,0.0,NKE
2022-12-09,104.12,104.97,102.51,104.55,7640255,0.0,0.0,NKE
2022-12-12,106.77,107.28,105.38,105.9,8676492,0.0,0.0,NKE
2022-12-13,110.17,111.56,108.84,110.96,8384954,0.0,0.0,NKE
2022-12-14,107.96,108.65,107.85,108.56,4588469,0.0,0.0,NKE
2022-12-15,105.63,106.32,104.42,105.86,5976152,0.0,0.0,NKE
2022-12-16,106.09,106.47,105.48,106.1,6085299,0.0,0.0,NKE
2022-12-19,106.54,108.22,106.35,107.53,6422413,0.0,0.0,NKE
2022-12-20,105.95,106.3,104.88,105.75,6597468,0.0,0.0,NKE
2022-12-21,105.54,107.37,105.02,105.6,7018827,0.0,0.0,NKE
2022-12-22,111.02,111.07,110.04,110.44,7080924,0.0,0.0,NKE
2022-12-23,112.85,114.7,111.71,111.91,3500000,0.0,0.0,NKE
2022-12-26,112.42,113.28,110.3,111.23,9221617,0.0,0.0,NKE
2022-12-27,112.92,113.56,112.57,112.69,4484450,0.0,0.0,NKE
2022-12-28,111.53,111.92,111.07,111.54,8307324,0.0,0.0,NKE
2022-12-29,114.63,115.09,112.15,112.78,5170210,0.0,0.0,NKE
2022-12-30,114.33,116.16,113.28,114.96,3769737,0.0,0.0,NKE
2023-01-02,117.73,118.08,116.92,117.08,7033106,0.0,0.0,NKE
2023-01-03,114.21,115.07,112.49,114.85,7589390,0.0,0.0,NKE
2023-01-04,114.92,116.83,114.91,116.25,7439706,0.487,0.0,NKE
2023-01-05,114.95,114.98,113.12,113.92,5410151,0.0,0.0,NKE
2023-01-06,119.13,121.51,118.47,119.76,6313648,0.0,0.0,NKE
2023-01-09,118.34,119.87,115.3,116.65,4464780,0.0,0.0,NKE
2023-01-10,117.74,120.32,117.16,118.33,6692967,0.0,0.0,NKE
2023-01-11,116.15,118.24,115.27,116.67,5442531,0.0,0.0,NKE
2023-01-12,117.16,117.2,116.0,116.63,9148842,0.0,0.0,NKE
2023-01-13,112.2,116.27,111.49,114.01,5980433,0.0,0.0,NKE
2023-01-16,111.86,114.88,111.08,113.63,10830444,0.0,0.0,NKE
2023-01-17,113.82,114.34,112.47,113.95,6815033,0.0,0.0,NKE
