date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,294.59,296.73,292.74,295.21,33695502,0.0,0.0,NVDA
2022-11-25,280.78,287.3,280.24,282.49,27381234,0.0,0.0,NVDA
2022-11-28,280.46,282.47,278.59,279.72,48534403,0.0,0.0,NVDA
2022-11-29,276.49,277.82,271.33,273.66,50628365,0.0,0.0,NVDA
2022-11-30,260.86,261.63,258.56,259.06,37914193,0.0,0.0,NVDA
2022-12-01,259.75,263.3,257.7,259.99,22500000,0.0,0.0,NVDA
2022-12-02,268.31,270.62,267.79,268.67,38978876,0.0,0.0,NVDA
2022-12-05,284.31,284.46,277.64,279.4,68858453,0.0,0.0,NVDA
2022-12-06,275.25,276.32,272.3,274.37,45867830,0.0,0.0,NVDA
2022-12-07,263.55,266.74,255.59,261.6,49208817,0.0,0.0,NVDA
2022-12-08,259.62,262.52,257.91,258.18,34583867,0.0,0.0,NVDA
2022-12-09,260.36,264.9,259.73,260.83,44791059,0.0,0.0,NVDA
2022-12-12,267.82,269.86,266.87,269.59,32975989,0.0,0.0,NVDA
2022-12-13,270.37,272.02,265.97,266.44,58756598,0.0,0.0,NVDA
2022-12-14,273.04,274.7,270.22,271.84,50826483,0.0,0.0,NVDA
2022-12-15,269.18,272.04,264.36,265.39,63612827,0.0,0.0,NVDA
2022-12-16,271.53,272.89,265.58,269.84,33702998,0.0,0.0,NVDA
2022-12-19,263.95,268.13,263.43,264.32,33176170,0.0,0.0,NVDA
2022-12-20,262.28,263.01,257.37,260.47,67619261,0.0,0.0,NVDA
2022-12-21,260.86,266.21,260.41,263.36,38190558,0.0,0.0,NVDA
2022-12-22,272.46,272.86,270.24,271.26,45114614,0.0,0.0,NVDA
2022-12-23,266.95,272.56,264.74,269.32,32883612,0.0,0.0,NVDA
2022-12-26,279.71,281.53,273.9,276.51,78136446,0.0,0.0,NVDA
2022-12-27,279.86,285.41,277.35,284.72,54999881,0.0,0.0,NVDA
2022-12-28,289.06,289.42,287.6,288.32,48193705,0.0,0.0,NVDA
2022-12-29,293.15,299.5,288.19,297.1,23170004,0.0,0.0,NVDA
2022-12-30,296.22,301.61,294.18,300.21,39371777,0.0,0.0,NVDA
2023-01-02,298.43,307.63,297.66,304.31,48307121,0.0,0.0,NVDA
2023-01-03,313.69,317.06,303.62,305.83,55476798,0.0,0.0,NVDA
2023-01-04,306.29,313.54,302.07,302.54,37474893,0.0,0.0,NVDA
2023-01-05,307.03,309.81,306.68,307.76,42914418,0.0,0.0,NVDA
2023-01-06,305.27,312.47,303.87,308.29,46247050,0.0,0.0,NVDA
2023-01-09,308.28,308.55,301.72,307.48,41913568,0.0,0.0,NVDA
2023-01-10,297.46,299.43,294.73,296.41,47352127,0.0,0.0,NVDA
2023-01-11,304.04,306.14,289.91,298.3,55382917,0.0,0.0,NVDA
2023-01-12,298.67,299.1,297.02,297.45,57176570,0.0,0.0,NVDA
2023-01-13,285.69,290.53,283.57,288.91,35572710,0.0,0.0,NVDA
2023-01-16,286.23,289.03,280.35,282.33,49975919,0.0,0.0,NVDA
2023-01-17,282.9,286.28,279.19,281.59,63724938,0.0,0.0,NVDA
2023-01-18,282.87,285.96,279.4,285.67,22500000,0.0,0.0,NVDA
2023-01-19,288.03,295.51,283.84,285.5,66503320,0.0,0.0,NVDA
2023-01-20,291.2,293.2,285.68,290.44,64852617,0.0,0.0,NVDA
2023-01-23,288.89,290.79,287.46,289.67,26452957,0.0,0.0,NVDA
2023-01-24,307.81,309.77,299.62,302.76,70159773,0.0,0.0,NVDA
2023-01-25,287.45,296.8,283.44,292.25,49798734,0.0,0.0,NVDA
2023-01-26,296.06,299.6,295.87,299.03,46291376,0.0,0.0,NVDA
2023-01-27,308.05,316.38,301.34,302.21,36492787,0.0,0.0,NVDA
2023-01-30,312.33,321.76,308.98,317.22,40223658,0.0,0.0,NVDA
2023-01-31,326.05,328.42,319.69,323.83,31993831,0.0,0.0,NVDA
2023-02-01,329.95,334.26,322.01,324.95,39473833,0.0,0.0,NVDA
2023-02-02,316.66,320.16,313.75,318.49,33844237,0.0,0.0,NVDA
2023-02-03,312.54,318.27,311.55,316.05,48641708,0.0,0.0,NVDA
2023-02-06,307.72,313.28,305.5,309.32,40881838,0.0,0.0,NVDA
2023-02-07,310.96,316.19,302.74,305.46,34149923,0.0,0.0,NVDA
2023-02-08,307.66,312.73,305.86,307.1,28357344,0.0,0.0,NVDA
2023-02-09,301.14,302.71,295.27,302.07,49274761,0.0,0.0,NVDA
2023-02-10,310.57,311.29,309.56,310.37,58708114,0.0,0.0,NVDA
2023-02-13,318.19,320.66,315.35,317.06,54516142,0.0,0.0,NVDA
2023-02-14,327.94,330.57,320.63,325.32,39293553,0.0,0.0,NVDA
2023-02-15,328.41,329.98,319.37,325.71,45541827,0.0,0.0,NVDA
2023-02-16,342.22,350.44,340.6,344.46,31516343,0.0,0.0,NVDA
2023-02-17,348.55,350.2,344.67,346.18,40067663,0.0,0.0,NVDA
2023-02-20,349.2,350.41,340.63,343.58,26231886,0.0,0.0,NVDA
2023-02-21,357.78,362.65,355.51,361.96,29102879,0.0,0.0,NVDA
2023-02-22,364.07,369.62,360.54,363.77,36742958,0.0,0.0,NVDA
2023-02-23,376.21,383.01,369.45,370.27,45516143,0.0,0.0,NVDA
2023-02-24,361.63,372.18,358.27,367.05,57808703,0.0,0.0,NVDA
2023-02-27,366.07,368.49,362.62,365.85,48336351,0.0,0.0,NVDA
2023-02-28,377.24,385.12,375.46,378.19,48677431,0.0,0.0,NVDA
2023-03-01,386.45,390.17,386.14,388.89,40291496,0.0,0.0,NVDA
2023-03-02,393.86,398.45,389.88,393.4,35447479,0.0,0.0,NVDA
2023-03-03,397.32,398.0,391.65,395.44,46909402,0.0,0.0,NVDA
2023-03-06,396.84,404.17,396.76,400.69,62667638,0.0,0.0,NVDA
2023-03-07,388.47,391.04,383.38,383.47,65965694,0.0,0.0,NVDA
2023-03-08,383.65,383.74,381.52,382.43,57580852,0.0,0.0,NVDA
2023-03-09,376.87,378.16,374.37,377.38,49594425,0.0,0.0,NVDA
2023-03-10,372.35,375.81,370.78,375.47,47185029,0.0,0.0,NVDA
2023-03-13,376.4,383.09,369.88,378.31,67967776,0.0,0.0,NVDA
2023-03-14,380.21,382.66,371.5,373.91,40948366,0.0,0.0,NVDA
2023-03-15,389.31,398.28,370.23,378.87,67066963,0.0,0.0,NVDA
2023-03-16,379.2,381.44,362.98,373.74,41388286,0.0,0.0,NVDA
2023-03-17,369.3,373.09,365.62,367.05,35958020,0.0,0.0,NVDA
2023-03-20,354.93,361.42,354.73,357.07,51557040,0.0,0.0,NVDA
2023-03-21,349.85,360.26,348.31,355.49,39326984,0.0,0.0,NVDA
2023-03-22,355.5,360.79,354.77,358.56,41773915,0.0,0.0,NVDA
2023-03-23,354.37,359.85,352.04,355.27,43280995,0.0,0.0,NVDA
2023-03-24,354.3,355.77,350.79,352.12,41949139,0.0,0.0,NVDA
2023-03-27,359.03,361.08,351.82,354.79,64515351,0.0,0.0,NVDA
2023-03-28,356.94,358.29,353.05,356.86,39070192,0.0,0.0,NVDA
2023-03-29,354.24,358.21,350.49,354.26,53454027,0.0,0.0,NVDA
2023-03-30,353.19,359.54,348.97,358.04,53529069,0.0,0.0,NVDA
2023-03-31,349.87,351.48,348.1,349.79,47550558,0.0,0.0,NVDA
2023-04-03,339.51,340.31,332.17,338.9,67354753,0.0,0.0,NVDA
2023-04-04,331.8,335.1,327.31,334.22,55591333,0.0,0.0,NVDA
2023-04-05,340.41,342.21,329.42,338.22,36029883,0.0,0.0,NVDA
2023-04-06,332.88,337.57,330.09,336.78,58858399,0.0,0.0,NVDA
2023-04-07,342.42,345.37,341.22,342.97,44956205,0.0,0.0,NVDA
2023-04-10,345.46,351.33,342.67,345.52,40836222,0.0,0.0,NVDA
2023-04-11,335.17,335.85,332.31,335.64,50729108,0.0,0.0,NVDA
2023-04-12,333.28,335.79,330.04,335.27,37959055,0.0,0.0,NVDA
2023-04-13,339.09,342.97,334.57,338.4,60224652,0.0,0.0,NVDA
2023-04-14,348.89,349.44,348.65,349.16,54834395,0.0,0.0,NVDA
2023-04-17,344.34,348.89,338.56,343.41,46971953,0.0,0.0,NVDA
2023-04-18,344.87,349.47,341.68,343.92,33417723,0.0,0.0,NVDA
2023-04-19,343.76,344.01,331.2,334.67,51629971,0.0,0.0,NVDA
2023-04-20,331.06,335.07,327.9,332.52,49238886,0.0,0.0,NVDA
2023-04-21,337.35,338.15,330.86,334.18,62783309,0.0,0.0,NVDA
2023-04-24,329.59,335.65,325.05,333.26,32323452,0.0,0.0,NVDA
2023-04-25,339.36,341.54,335.41,337.66,60309341,0.0,0.0,NVDA
2023-04-26,350.21,350.71,346.29,349.4,53319600,0.0,0.0,NVDA
2023-04-27,346.46,346.82,340.55,344.72,51039621,0.0,0.0,NVDA
2023-04-28,340.7,349.63,339.35,344.12,47289593,0.0,0.0,NVDA
2023-05-01,338.81,342.98,338.68,341.05,49768043,0.0,0.0,NVDA
2023-05-02,336.06,341.63,329.59,337.65,83095562,0.0,0.0,NVDA
2023-05-03,336.34,336.85,334.33,335.92,70337177,0.0,0.0,NVDA
2023-05-04,341.77,344.99,339.45,341.65,55967923,0.0,0.0,NVDA
2023-05-05,341.91,343.01,338.26,341.33,55537536,0.0,0.0,NVDA
2023-05-08,345.44,351.28,343.25,344.02,53848471,0.0,0.0,NVDA
2023-05-09,353.98,356.12,353.49,356.06,26220130,0.0,0.0,NVDA
2023-05-10,363.45,366.82,352.89,359.06,33725331,0.0,0.0,NVDA
2023-05-11,340.42,345.78,339.99,344.35,47833432,0.0,0.0,NVDA
2023-05-12,341.01,346.5,339.95,344.08,56711868,0.0,0.0,NVDA
2023-05-15,341.53,346.44,339.14,344.91,53522221,0.0,0.0,NVDA
2023-05-16,352.64,357.87,351.3,351.89,40995781,0.0,0.0,NVDA
2023-05-17,357.46,359.55,349.59,352.63,54797719,0.0,0.0,NVDA
2023-05-18,357.39,357.43,354.91,356.69,47556406,0.0,0.0,NVDA
2023-05-19,353.57,357.82,350.98,354.8,36190003,0.0,0.0,NVDA
2023-05-22,363.11,368.86,357.97,362.66,49804711,0.0,0.0,NVDA
2023-05-23,361.78,367.15,357.99,361.35,26522623,0.0,0.0,NVDA
2023-05-24,353.06,357.95,348.64,357.25,63115222,0.0,0.0,NVDA
2023-05-25,365.79,371.2,361.94,365.22,37558456,0.0,0.0,NVDA
2023-05-26,365.53,368.09,359.89,361.5,43763174,0.0,0.0,NVDA
2023-05-29,375.55,380.88,368.01,368.07,49369073,0.0,0.0,NVDA
2023-05-30,368.53,370.91,366.03,370.74,23956987,0.0,0.0,NVDA
2023-05-31,380.66,381.64,378.37,381.01,51881088,0.0,0.0,NVDA
2023-06-01,382.33,386.55,379.65,380.12,43188331,0.0,0.0,NVDA
2023-06-02,379.67,379.92,370.46,374.56,52926166,0.0,0.0,NVDA
2023-06-05,376.8,378.78,363.49,368.63,34042619,0.0,0.0,NVDA
2023-06-06,366.74,368.81,364.02,367.9,59541406,0.0,0.0,NVDA
2023-06-07,352.62,359.45,352.22,355.73,27567999,0.0,0.0,NVDA
2023-06-08,358.81,361.34,357.35,361.3,38170814,0.0,0.0,NVDA
2023-06-09,358.78,366.95,353.52,362.48,39673120,0.0,0.0,NVDA
2023-06-12,361.71,366.98,357.3,363.93,49761231,0.0,0.0,NVDA
2023-06-13,357.79,360.37,352.76,358.98,46728138,0.0,0.0,NVDA
2023-06-14,355.48,356.49,346.9,351.93,34021147,0.0,0.0,NVDA
2023-06-15,353.76,356.03,352.01,353.66,64843897,0.0,0.0,NVDA
