date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,91.08,91.3,89.52,90.19,9650308,0.0,0.0,ORCL
2022-11-25,86.95,90.1,86.22,88.14,7014183,0.0,0.0,ORCL
2022-11-28,89.6,90.33,88.49,89.86,6329052,0.0,0.0,ORCL
2022-11-29,90.98,92.2,89.98,90.72,12822848,0.0,0.0,ORCL
2022-11-30,90.06,90.7,89.52,89.87,9921389,0.0,0.0,ORCL
2022-12-01,83.09,85.76,82.35,85.09,9940843,0.0,0.0,ORCL
2022-12-02,86.38,87.3,84.91,86.17,9392269,0.0,0.0,ORCL
2022-12-05,83.47,85.96,82.28,85.22,5201377,0.0,0.0,ORCL
2022-12-06,87.23,88.13,86.39,86.52,7202273,0.0,0.0,ORCL
2022-12-07,87.29,88.67,85.15,86.86,10475511,0.0,0.0,ORCL
2022-12-08,84.43,85.87,83.47,83.68,6107506,0.0,0.0,ORCL
2022-12-09,83.67,84.1,82.57,83.75,12462797,0.0,0.0,ORCL
2022-12-12,82.8,83.19,81.83,82.57,9585245,0.0,0.0,ORCL
2022-12-13,80.77,81.91,80.37,81.67,12107506,0.0,0.0,ORCL
2022-12-14,81.36,81.6,81.29,81.47,5354499,0.0,0.0,ORCL
2022-12-15,80.87,81.23,79.46,80.26,4442771,0.0,0.0,ORCL
2022-12-16,80.62,81.62,79.03,79.21,4000000,0.0,0.0,ORCL
2022-12-19,79.79,80.07,78.23,79.21,10780803,0.0,0.0,ORCL
2022-12-20,77.35,77.81,75.91,76.93,8311461,0.0,0.0,ORCL
2022-12-21,80.41,81.43,78.89,79.59,6120387,0.0,0.0,ORCL
2022-12-22,79.06,80.55,77.8,78.38,5867376,0.0,0.0,ORCL
2022-12-23,79.6,79.66,77.43,78.81,8711929,0.0,0.0,ORCL
2022-12-26,78.18,79.51,76.27,77.29,8232313,0.0,0.0,ORCL
2022-12-27,76.58,77.9,75.56,75.6,4000000,0.0,0.0,ORCL
2022-12-28,73.89,74.45,73.53,73.57,11138154,0.0,0.0,ORCL
2022-12-29,70.98,72.03,70.93,71.68,9018978,0.0,0.0,ORCL
2022-12-30,71.51,71.77,70.59,71.77,5063709,0.0,0.0,ORCL
2023-01-02,72.67,73.2,71.41,71.56,4341324,0.0,0.0,ORCL
2023-01-03,71.16,72.14,70.7,71.75,5968960,0.0,0.0,ORCL
2023-01-04,70.04,70.04,68.51,69.51,7469128,0.0,0.0,ORCL
2023-01-05,70.66,71.5,70.6,70.76,10241979,0.0,0.0,ORCL
2023-01-06,72.94,73.11,70.82,71.27,8312058,0.0,0.0,ORCL
2023-01-09,70.24,70.3,69.27,70.26,8164629,0.0,0.0,ORCL
2023-01-10,66.38,67.96,65.91,67.13,7755560,0.0,0.0,ORCL
2023-01-11,65.38,66.01,64.8,64.9,8192267,0.0,0.0,ORCL
2023-01-12,65.8,66.27,64.7,65.25,9083239,0.0,0.0,ORCL
2023-01-13,62.45,64.42,61.75,64.18,5545780,0.0,0.0,ORCL
2023-01-16,64.18,64.23,64.0,64.08,8793200,0.0,0.0,ORCL
2023-01-17,66.22,66.59,65.29,66.26,9765666,0.0,0.0,ORCL
2023-01-18,64.74,66.04,64.42,65.24,11168560,0.0,0.0,ORCL
2023-01-19,66.22,66.28,65.55,65.92,9941398,0.0,0.0,ORCL
2023-01-20,67.99,68.57,65.83,66.85,8775215,0.0,0.0,ORCL
2023-01-23,65.97,66.0,64.91,65.58,8377166,0.0,0.0,ORCL
2023-01-24,64.47,65.14,64.17,64.54,9178670,0.0,0.0,ORCL
2023-01-25,64.75,65.08,64.55,64.78,13250114,0.0,0.0,ORCL
2023-01-26,64.01,64.72,63.47,63.61,7670902,0.0,0.0,ORCL
2023-01-27,63.55,63.93,63.19,63.75,7731119,0.0,0.0,ORCL
2023-01-30,64.09,64.62,63.92,64.22,4512091,0.0,0.0,ORCL
2023-01-31,64.5,65.93,63.8,64.98,6971252,0.0,0.0,ORCL
2023-02-01,64.57,65.27,64.42,65.21,7669315,0.0,0.0,ORCL
2023-02-02,66.03,66.93,65.96,65.97,4267351,0.0,0.0,ORCL
2023-02-03,64.69,64.82,63.65,64.64,7907754,0.0,0.0,ORCL
2023-02-06,66.8,67.3,65.75,66.11,7137244,0.0,0.0,ORCL
2023-02-07,64.22,64.93,64.22,64.51,8104731,0.0,0.0,ORCL
2023-02-08,68.09,68.96,66.65,67.61,5151051,0.0,0.0,ORCL
2023-02-09,67.14,68.11,65.82,67.89,7417529,0.0,0.0,ORCL
2023-02-10,69.47,69.68,69.27,69.43,8293825,0.0,0.0,ORCL
2023-02-13,67.23,68.31,66.84,67.75,9606776,0.0992,0.0,ORCL
2023-02-14,68.67,69.29,67.87,68.05,6176053,0.0,0.0,ORCL
2023-02-15,69.94,71.52,68.18,68.83,7320397,0.0,0.0,ORCL
2023-02-16,68.81,69.73,68.36,68.58,5699052,0.0,0.0,ORCL
2023-02-17,68.75,69.31,68.14,69.25,5696218,0.0,0.0,ORCL
2023-02-20,66.75,66.84,66.12,66.43,5691700,0.0,0.0,ORCL
2023-02-21,65.72,66.42,65.32,66.11,4000000,0.0,0.0,ORCL
2023-02-22,67.09,67.89,66.24,66.49,11166185,0.0,0.0,ORCL
2023-02-23,68.96,70.19,67.38,68.29,8556344,0.0,0.0,ORCL
2023-02-24,68.04,68.95,67.39,67.42,7459254,0.0,0.0,ORCL
2023-02-27,68.38,69.03,67.2,67.88,7008461,0.0,0.0,ORCL
2023-02-28,67.74,67.94,66.67,67.48,9714739,0.0,0.0,ORCL
2023-03-01,67.9,68.77,67.44,68.14,8559880,0.0,0.0,ORCL
2023-03-02,68.06,68.55,66.65,67.73,4109929,0.0,0.0,ORCL
2023-03-03,68.01,68.72,67.71,68.51,4000000,0.0,0.0,ORCL
2023-03-06,70.29,70.82,69.64,70.26,6908451,0.0,0.0,ORCL
2023-03-07,70.95,72.61,69.19,70.28,10182587,0.0,0.0,ORCL
2023-03-08,70.33,72.01,70.26,71.26,6912610,0.0,0.0,ORCL
2023-03-09,68.2,70.05,67.52,69.72,5647837,0.0,0.0,ORCL
2023-03-10,70.58,70.79,70.28,70.69,8752777,0.0,0.0,ORCL
2023-03-13,69.65,70.65,67.5,69.44,4000000,0.0,0.0,ORCL
2023-03-14,66.24,67.23,64.66,65.58,5396107,0.0,0.0,ORCL
2023-03-15,66.58,66.62,66.01,66.08,7540291,0.0,0.0,ORCL
2023-03-16,65.11,66.29,64.44,66.12,4000000,0.0,0.0,ORCL
2023-03-17,63.66,66.05,62.79,65.6,8587427,0.0,0.0,ORCL
2023-03-20,68.36,69.49,67.92,68.02,13918807,0.0,0.0,ORCL
2023-03-21,69.32,69.89,67.94,69.11,6675125,0.0,0.0,ORCL
2023-03-22,69.6,70.11,69.31,69.47,7349169,0.0,0.0,ORCL
2023-03-23,69.58,69.88,67.31,67.98,9838364,0.0,0.0,ORCL
2023-03-24,68.51,70.02,68.36,68.97,8726863,0.0,0.0,ORCL
2023-03-27,68.82,68.84,68.52,68.62,7688218,0.0,0.0,ORCL
2023-03-28,67.43,68.06,66.78,67.71,5278308,0.0,0.0,ORCL
2023-03-29,66.04,67.18,65.69,65.95,7812168,0.1692,0.0,ORCL
2023-03-30,65.91,66.84,65.35,66.35,9896645,0.0,0.0,ORCL
2023-03-31,66.69,68.75,66.56,67.75,5619678,0.0,0.0,ORCL
2023-04-03,67.92,69.49,67.11,68.1,7102612,0.0,0.0,ORCL
2023-04-04,67.71,68.87,66.69,68.49,6570795,0.0,0.0,ORCL
2023-04-05,69.68,69.83,68.6,69.39,4000000,0.0,0.0,ORCL
2023-04-06,69.41,70.0,68.87,69.51,10105783,0.0,0.0,ORCL
2023-04-07,68.21,68.55,67.45,67.7,6819671,0.0,0.0,ORCL
2023-04-10,68.82,69.84,68.41,69.37,6716345,0.0,0.0,ORCL
2023-04-11,69.77,70.08,69.61,69.76,10639339,0.0,0.0,ORCL
2023-04-12,73.23,73.72,71.7,71.77,4679896,0.0,0.0,ORCL
2023-04-13,71.97,73.7,71.07,71.66,5681293,0.0,0.0,ORCL
2023-04-14,72.78,73.04,72.4,72.64,10852630,0.0,0.0,ORCL
2023-04-17,72.64,74.22,72.05,73.69,10270359,0.0,0.0,ORCL
2023-04-18,75.61,76.73,74.65,75.98,9014499,0.0,0.0,ORCL
2023-04-19,72.98,74.14,72.35,73.16,5520275,0.0,0.0,ORCL
2023-04-20,74.56,76.38,74.53,75.34,6088499,0.0,0.0,ORCL
2023-04-21,75.96,76.39,75.41,76.15,5103752,0.0,0.0,ORCL
2023-04-24,74.42,75.8,74.25,75.63,11142992,0.0,0.0,ORCL
2023-04-25,75.77,76.0,75.28,75.39,8611028,0.0,0.0,ORCL
2023-04-26,78.53,79.62,76.85,77.44,8492261,0.0,0.0,ORCL
2023-04-27,75.31,76.04,74.35,75.12,7685325,0.0,0.0,ORCL
2023-04-28,78.7,79.51,77.19,77.54,4597517,0.0,0.0,ORCL
2023-05-01,77.91,79.06,76.86,77.99,5590862,0.0,0.0,ORCL
2023-05-02,76.08,77.21,75.12,75.8,5366773,0.0,0.0,ORCL
2023-05-03,76.6,77.25,76.37,76.93,4404343,0.0,0.0,ORCL
2023-05-04,75.76,76.31,74.75,75.56,9459483,0.0,0.0,ORCL
2023-05-05,77.57,78.2,76.61,77.21,4000000,0.0,0.0,ORCL
2023-05-08,73.84,73.85,72.94,73.48,8704970,0.0,0.0,ORCL
2023-05-09,74.69,74.86,74.47,74.61,4957085,0.0,0.0,ORCL
2023-05-10,73.19,73.83,71.97,72.41,4483769,0.0,0.0,ORCL
2023-05-11,72.44,73.85,72.13,73.16,4931837,0.0,0.0,ORCL
2023-05-12,73.28,73.55,72.04,72.9,8435018,0.0,0.0,ORCL
2023-05-15,72.0,73.51,71.21,73.25,5609111,0.0,0.0,ORCL
2023-05-16,73.8,74.07,72.93,73.9,5558893,0.0,0.0,ORCL
2023-05-17,69.92,71.87,69.82,71.38,9255405,0.0,0.0,ORCL
2023-05-18,72.85,73.99,72.57,73.11,8987529,0.0,0.0,ORCL
2023-05-19,72.91,74.5,72.21,73.5,10388839,0.0,0.0,ORCL
2023-05-22,75.3,77.53,75.21,76.73,10962909,0.0,0.0,ORCL
2023-05-23,77.68,78.45,76.48,76.96,12398868,0.0,0.0,ORCL
2023-05-24,75.12,75.64,74.83,75.45,4876858,0.0,0.0,ORCL
2023-05-25,74.58,75.78,74.25,75.46,8603011,0.0,0.0,ORCL
2023-05-26,74.5,75.02,74.21,74.64,11808800,0.0,0.0,ORCL
2023-05-29,73.04,73.46,71.96,73.46,8119031,0.0,0.0,ORCL
2023-05-30,73.61,74.0,72.52,73.17,11383451,0.0,0.0,ORCL
2023-05-31,75.4,77.41,73.65,74.94,7323011,0.0,0.0,ORCL
2023-06-01,75.18,76.18,74.47,76.14,13691538,0.0,0.0,ORCL
2023-06-02,73.49,75.0,72.35,73.04,9640343,0.0,0.0,ORCL
2023-06-05,73.41,74.05,73.24,73.37,8008364,0.0,0.0,ORCL
2023-06-06,74.94,76.87,74.67,76.26,8183846,0.0,0.0,ORCL
2023-06-07,72.69,73.55,71.13,72.92,8824940,0.0,0.0,ORCL
2023-06-08,73.2,73.89,73.05,73.29,7570723,0.0,0.0,ORCL
2023-06-09,75.0,77.61,74.05,76.07,5112704,0.0,0.0,ORCL
2023-06-12,76.84,77.05,74.81,74.84,8307442,0.0,0.0,ORCL
2023-06-13,76.3,78.0,75.4,76.1,8186875,0.0,0.0,ORCL
2023-06-14,73.37,75.12,72.06,73.74,8386519,0.0,0.0,ORCL
2023-06-15,73.81,74.22,72.84,73.59,10564707,0.0,0.0,ORCL
2023-06-16,72.41,73.83,70.57,71.53,8641619,0.0,0.0,ORCL
2023-06-19,73.01,73.62,70.81,72.88,7192516,0.0,0.0,ORCL
2023-06-20,70.96,71.86,70.44,71.61,7940952,0.0,0.0,ORCL
2023-06-21,72.13,74.56,72.11,73.1,9917650,0.0,0.0,ORCL
2023-06-22,74.95,74.99,73.57,74.32,8853199,0.0,0.0,ORCL
2023-06-23,73.87,74.02,73.28,73.95,10121779,0.0,0.0,ORCL
2023-06-26,74.24,74.41,73.26,74.08,11634391,0.0,0.0,ORCL
2023-06-27,74.67,76.13,74.46,74.61,8926197,0.0,0.0,ORCL
2023-06-28,73.9,74.67,73.26,74.6,8470835,0.0,0.0,ORCL
2023-06-29,75.98,76.43,74.9,74.9,9608735,0.0,0.0,ORCL
2023-06-30,76.58,76.83,75.67,75.73,6908382,0.0,0.0,ORCL
2023-07-03,76.32,76.96,75.93,76.13,6451761,0.0,0.0,ORCL
2023-07-04,75.59,76.5,74.49,75.17,10557861,0.0,0.0,ORCL
2023-07-05,74.57,75.78,73.79,75.58,4061840,0.0,0.0,ORCL
2023-07-06,77.07,77.38,75.88,76.58,9539365,0.0,0.0,ORCL
2023-07-07,73.96,75.01,73.27,74.79,9926204,0.0,0.0,ORCL
2023-07-10,78.67,80.33,76.64,77.95,14409514,0.0,0.0,ORCL
2023-07-11,78.18,78.42,77.4,77.68,10050385,0.0,0.0,ORCL
2023-07-12,78.55,79.47,78.15,78.56,12154266,0.0,0.0,ORCL
2023-07-13,79.7,80.53,79.06,79.48,9093680,0.0,0.0,ORCL
2023-07-14,81.6,82.07,80.5,80.83,12906496,0.0,0.0,ORCL
2023-07-17,81.78,82.05,81.6,81.7,7329584,0.0,0.0,ORCL
2023-07-18,83.16,83.59,80.39,82.26,8520968,0.0,0.0,ORCL
2023-07-19,82.25,83.22,80.54,82.39,8418593,0.0,0.0,ORCL
2023-07-20,82.93,83.45,81.96,83.32,6716765,0.0,0.0,ORCL
2023-07-21,83.61,84.11,82.89,83.1,12906306,0.0,0.0,ORCL
2023-07-24,85.12,85.52,83.78,84.84,8657698,0.0,0.0,ORCL
2023-07-25,85.39,86.18,85.27,85.34,7427221,0.0,0.0,ORCL
2023-07-26,84.16,84.92,83.88,84.4,8678680,0.0,0.0,ORCL
2023-07-27,85.22,86.45,83.65,84.74,7681906,0.0,0.0,ORCL
2023-07-28,83.46,85.21,83.43,83.97,9105279,0.0,0.0,ORCL
2023-07-31,86.04,86.18,85.54,85.94,8662731,0.0,0.0,ORCL
2023-08-01,85.07,85.41,83.97,84.76,8929253,0.0,0.0,ORCL
2023-08-02,85.28,86.56,84.39,85.87,7997608,0.0,0.0,ORCL
2023-08-03,86.91,86.96,85.2,85.78,7022581,0.0,0.0,ORCL
2023-08-04,83.5,84.38,82.67,83.93,6303216,0.0,0.0,ORCL
2023-08-07,85.06,86.26,84.58,86.21,7720453,0.0,0.0,ORCL
2023-08-08,84.54,85.72,82.96,83.82,4849198,0.0,0.0,ORCL
2023-08-09,87.36,88.3,85.77,86.32,9672331,0.0,0.0,ORCL
2023-08-10,88.82,90.19,88.11,88.42,7642796,0.0,0.0,ORCL
2023-08-11,91.6,93.95,90.38,92.63,12319920,0.0,0.0,ORCL
2023-08-14,90.73,92.31,90.5,91.79,6183561,0.0,0.0,ORCL
2023-08-15,92.99,94.58,91.47,92.88,6425432,0.0,0.0,ORCL
2023-08-16,88.28,88.6,85.96,87.16,5193083,0.0,0.0,ORCL
2023-08-17,87.57,88.4,87.53,88.34,7421081,0.0,0.0,ORCL
2023-08-18,88.04,89.57,87.42,89.11,6556716,0.0,0.0,ORCL
2023-08-21,89.71,89.71,89.28,89.36,6670093,0.0,0.0,ORCL
2023-08-22,88.29,89.32,86.94,87.4,6167423,0.0,0.0,ORCL
2023-08-23,86.63,87.66,86.04,86.95,7605146,0.0,0.0,ORCL
2023-08-24,86.97,88.24,85.19,87.75,7953094,0.0,0.0,ORCL
2023-08-25,89.48,90.29,88.57,89.33,5363475,0.0,0.0,ORCL
2023-08-28,86.94,88.12,86.89,87.72,7905647,0.0,0.0,ORCL
2023-08-29,87.96,88.56,87.44,88.19,7640757,0.0,0.0,ORCL
2023-08-30,89.59,89.85,88.01,88.04,5991827,0.0,0.0,ORCL
2023-08-31,88.68,88.91,86.6,87.28,7560038,0.0,0.0,ORCL
2023-09-01,86.06,87.43,85.33,85.87,9646311,0.0,0.0,ORCL
2023-09-04,88.02,89.48,86.35,88.18,6572652,0.0,0.0,ORCL
2023-09-05,87.49,88.39,85.16,86.44,8411806,0.0,0.0,ORCL
2023-09-06,87.53,88.0,86.55,87.53,11785650,0.0,0.0,ORCL
2023-09-07,88.63,91.02,87.63,89.69,9542169,0.0,0.0,ORCL
2023-09-08,87.73,88.68,87.22,88.51,8572200,0.0,0.0,ORCL
2023-09-11,89.72,89.81,89.54,89.65,6392352,0.0,0.0,ORCL
2023-09-12,90.04,90.12,89.52,89.79,6491862,0.0,0.0,ORCL
2023-09-13,89.24,91.2,89.16,89.89,4263954,0.0,0.0,ORCL
2023-09-14,87.64,88.1,86.24,87.07,9969454,0.0,0.0,ORCL
2023-09-15,88.39,88.48,86.42,86.57,11618015,0.0,0.0,ORCL
2023-09-18,86.34,86.77,85.93,86.21,9713431,0.0,0.0,ORCL
2023-09-19,87.92,88.77,86.43,88.53,8038429,0.0,0.0,ORCL
2023-09-20,90.18,90.39,88.33,89.94,4000000,0.0,0.0,ORCL
2023-09-21,92.9,93.13,92.23,92.75,9644269,0.1477,0.0,ORCL
2023-09-22,91.33,91.95,90.39,91.62,5527920,0.0,0.0,ORCL
2023-09-25,92.01,92.95,90.1,91.67,11278842,0.0,0.0,ORCL
2023-09-26,87.04,88.04,85.31,87.5,8541779,0.0,0.0,ORCL
2023-09-27,87.85,90.06,86.98,89.33,7060532,0.0,0.0,ORCL
2023-09-28,86.14,86.71,84.59,86.28,9694177,0.0,0.0,ORCL
2023-09-29,86.8,87.56,86.75,86.92,6828366,0.0,0.0,ORCL
2023-10-02,87.71,88.61,87.58,87.61,6690817,0.0,0.0,ORCL
2023-10-03,89.47,89.47,88.06,88.09,10175407,0.0,0.0,ORCL
2023-10-04,91.91,92.59,90.79,91.13,6898145,0.0,0.0,ORCL
2023-10-05,95.06,95.29,93.48,94.15,4000000,0.0,0.0,ORCL
2023-10-06,97.58,97.93,96.94,97.21,10525565,0.0,0.0,ORCL
2023-10-09,97.42,100.66,96.82,98.35,5323448,0.0,0.0,ORCL
2023-10-10,99.11,101.11,96.59,97.77,11337130,0.0,0.0,ORCL
2023-10-11,99.82,100.67,98.07,98.67,5442964,0.0,0.0,ORCL
