date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,346.71,356.11,338.82,352.87,130456045,0.0,0.0,SPY
2022-11-25,345.13,347.26,343.7,344.08,97700778,0.0,0.0,SPY
2022-11-28,350.3,351.11,347.95,350.34,104660633,0.0,0.0,SPY
2022-11-29,353.88,356.68,352.91,354.2,125667434,0.0,0.0,SPY
2022-11-30,360.9,365.87,353.68,354.62,73497209,0.0,0.0,SPY
2022-12-01,362.3,363.25,355.27,356.97,65007434,0.0,0.0,SPY
2022-12-02,352.45,355.47,347.91,350.73,56433115,0.0,0.0,SPY
2022-12-05,353.97,361.91,348.36,352.04,76623791,0.0,0.0,SPY
2022-12-06,359.54,360.79,354.2,360.66,103669412,0.0,0.0,SPY
2022-12-07,360.03,369.02,356.7,362.75,133944120,0.0,0.0,SPY
2022-12-08,370.89,372.83,368.08,370.86,89805116,0.0,0.0,SPY
2022-12-09,377.28,384.09,371.74,380.12,56547102,0.0,0.0,SPY
2022-12-12,381.76,381.81,375.6,378.54,71750479,0.0,0.0,SPY
2022-12-13,376.2,381.04,370.16,377.27,86563922,0.0,0.0,SPY
2022-12-14,384.36,385.09,380.38,384.64,97557452,0.0,0.0,SPY
2022-12-15,394.76,401.62,392.1,394.3,69638806,0.0,0.0,SPY
2022-12-16,397.32,408.38,396.96,400.86,72140327,0.0,0.0,SPY
2022-12-19,401.14,404.52,394.08,402.64,78450791,0.0,0.0,SPY
2022-12-20,399.56,403.74,399.23,403.61,63765020,0.0,0.0,SPY
2022-12-21,394.2,398.87,392.51,393.82,40000000,0.0,0.0,SPY
2022-12-22,383.51,384.2,383.5,383.8,52525080,0.0,0.0,SPY
2022-12-23,376.73,384.21,374.72,377.2,61407837,0.0,0.0,SPY
2022-12-26,375.05,381.48,373.88,380.1,52574143,0.0,0.0,SPY
2022-12-27,374.01,385.18,369.46,377.22,72725408,0.0,0.0,SPY
2022-12-28,358.7,372.27,357.85,362.0,85414611,0.0,0.0,SPY
2022-12-29,366.82,370.51,364.8,367.85,106706144,0.0,0.0,SPY
2022-12-30,366.28,370.09,361.47,362.52,65415981,0.0,0.0,SPY
2023-01-02,364.63,370.37,363.91,369.55,100340000,0.0,0.0,SPY
2023-01-03,370.94,374.25,370.14,370.79,106312339,0.0,0.0,SPY
2023-01-04,369.22,371.27,365.15,367.76,92427778,0.0,0.0,SPY
2023-01-05,370.2,373.7,355.65,362.53,90308394,0.0,0.0,SPY
2023-01-06,368.34,369.47,363.2,367.05,98649754,0.0,0.0,SPY
2023-01-09,369.98,371.11,361.74,363.94,106368680,0.0,0.0,SPY
2023-01-10,349.58,353.42,343.37,352.53,56132159,0.0,0.0,SPY
2023-01-11,350.76,359.55,347.14,358.69,60362628,0.0,0.0,SPY
2023-01-12,351.11,354.17,349.54,353.22,97515438,0.0,0.0,SPY
2023-01-13,360.03,363.25,355.13,357.22,69914021,0.0,0.0,SPY
2023-01-16,359.23,360.92,352.13,359.44,84467488,0.0,0.0,SPY
2023-01-17,370.79,377.81,366.49,377.7,40999903,0.0,0.0,SPY
2023-01-18,363.45,364.25,360.54,363.56,69827355,0.0,0.0,SPY
2023-01-19,341.14,344.35,339.18,343.84,97153301,0.0,0.0,SPY
2023-01-20,328.04,338.51,325.1,334.86,40000000,0.0,0.0,SPY
2023-01-23,330.76,331.92,328.97,331.43,103826357,0.0,0.0,SPY
2023-01-24,313.34,321.38,313.02,316.82,79948117,0.0,0.0,SPY
2023-01-25,318.64,322.03,315.76,318.26,97163351,0.0,0.0,SPY
2023-01-26,317.71,320.48,317.12,319.3,71608980,0.0,0.0,SPY
2023-01-27,331.68,335.02,325.32,326.0,96003612,0.0,0.0,SPY
2023-01-30,333.78,339.74,332.71,336.01,112189107,0.0,0.0,SPY
2023-01-31,336.33,339.24,332.15,337.69,88419332,0.0,0.0,SPY
2023-02-01,334.39,340.02,334.08,338.29,87818744,0.0,0.0,SPY
2023-02-02,335.67,341.82,332.87,337.58,111405227,0.0,0.0,SPY
2023-02-03,323.93,327.51,322.34,326.5,86881278,0.0,0.0,SPY
2023-02-06,321.86,324.38,317.65,318.15,100293380,0.0,0.0,SPY
2023-02-07,315.99,321.39,310.77,318.29,71810430,0.0,0.0,SPY
2023-02-08,319.45,321.48,318.32,318.92,56460260,0.0,0.0,SPY
2023-02-09,324.72,329.61,320.68,322.86,74758169,0.0,0.0,SPY
2023-02-10,312.83,314.88,309.34,314.07,40000000,0.0,0.0,SPY
2023-02-13,317.28,321.74,313.78,318.01,70815808,0.0,0.0,SPY
2023-02-14,325.33,335.93,319.92,323.46,56711895,0.0,0.0,SPY
2023-02-15,320.5,324.84,313.58,316.47,57433679,0.0,0.0,SPY
2023-02-16,320.93,321.47,315.11,315.41,128414869,0.0,0.0,SPY
2023-02-17,324.42,330.66,323.97,324.15,63377229,0.0,0.0,SPY
2023-02-20,330.4,332.58,328.69,329.91,61917872,0.0,0.0,SPY
2023-02-21,329.61,330.38,325.94,329.73,74900144,0.0,0.0,SPY
2023-02-22,329.68,331.06,325.72,330.69,63004963,0.0,0.0,SPY
2023-02-23,338.48,348.14,331.8,333.95,110259388,0.0,0.0,SPY
2023-02-24,333.14,334.27,332.29,332.46,56944202,0.0,0.0,SPY
2023-02-27,333.33,340.59,329.47,331.42,74391633,0.0,0.0,SPY
2023-02-28,340.71,345.85,335.0,342.53,86521203,0.0,0.0,SPY
2023-03-01,344.04,350.62,342.76,348.58,55846660,0.0,0.0,SPY
2023-03-02,332.67,341.27,326.93,338.91,83822037,0.0,0.0,SPY
2023-03-03,342.23,343.77,341.28,342.03,98471252,0.0,0.0,SPY
2023-03-06,345.22,349.0,337.27,343.7,94219530,0.0,0.0,SPY
2023-03-07,339.24,340.03,335.82,339.11,73814903,0.0,0.0,SPY
2023-03-08,335.1,335.18,330.96,331.25,122755562,0.0,0.0,SPY
2023-03-09,338.74,341.37,332.59,339.58,141202330,0.0,0.0,SPY
2023-03-10,325.52,328.82,325.11,327.64,53052072,0.0,0.0,SPY
2023-03-13,324.13,328.56,323.55,325.94,71324708,0.9506,0.0,SPY
2023-03-14,320.79,325.57,315.81,319.21,94247907,0.0,0.0,SPY
2023-03-15,326.3,328.2,322.93,323.89,82462266,0.0,0.0,SPY
2023-03-16,312.55,314.45,309.89,314.33,72286884,0.0,0.0,SPY
2023-03-17,305.67,308.18,304.11,306.42,75242548,0.0,0.0,SPY
2023-03-20,313.45,316.98,308.38,315.0,96922453,0.0,0.0,SPY
2023-03-21,325.98,326.02,318.35,322.93,40000000,0.0,0.0,SPY
2023-03-22,320.43,323.06,317.39,320.38,91871172,0.0,0.0,SPY
2023-03-23,332.95,333.3,324.01,328.99,124019023,0.0,0.0,SPY
2023-03-24,334.33,341.81,330.71,337.91,69849266,0.0,0.0,SPY
2023-03-27,346.2,352.69,337.92,340.08,70613233,0.0,0.0,SPY
2023-03-28,345.14,347.2,341.04,343.72,75455125,0.0,0.0,SPY
2023-03-29,329.13,335.38,327.24,333.87,105000673,0.0,0.0,SPY
2023-03-30,332.95,333.85,330.19,331.74,104365705,0.0,0.0,SPY
2023-03-31,330.15,335.18,329.4,333.4,58640368,0.0,0.0,SPY
2023-04-03,337.62,347.26,329.29,341.57,91744075,0.0,0.0,SPY
2023-04-04,346.09,352.41,339.94,343.98,45952838,0.0,0.0,SPY
2023-04-05,334.77,344.35,329.92,340.79,86354378,0.0,0.0,SPY
2023-04-06,350.99,352.37,344.62,347.85,75884638,0.0,0.0,SPY
2023-04-07,349.45,356.71,347.48,352.89,93913186,0.0,0.0,SPY
2023-04-10,343.4,352.4,338.56,348.59,81629364,0.0,0.0,SPY
2023-04-11,347.89,350.15,344.58,347.72,84974427,0.0,0.0,SPY
2023-04-12,342.54,344.56,337.42,338.2,91476179,0.0,0.0,SPY
2023-04-13,343.91,344.84,342.72,343.01,120481612,0.0,0.0,SPY
