date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,198.59,201.47,197.96,200.78,106363207,0.0,0.0,TSLA
2022-11-25,198.08,199.17,195.68,197.03,145301576,0.0,0.0,TSLA
2022-11-28,198.93,200.92,195.22,199.15,118112512,0.0,0.0,TSLA
2022-11-29,197.69,202.99,196.32,199.4,101937728,0.0,0.0,TSLA
2022-11-30,192.06,196.77,191.95,194.02,125559596,0.0,0.0,TSLA
2022-12-01,192.75,197.26,191.23,195.31,79039969,0.0,0.0,TSLA
2022-12-02,197.33,198.86,194.48,198.59,120810352,0.0,0.0,TSLA
2022-12-05,201.45,203.43,200.02,202.87,79250583,0.0,0.0,TSLA
2022-12-06,204.46,205.63,199.78,201.33,113255601,0.0,0.0,TSLA
2022-12-07,205.46,206.21,199.53,203.28,84473329,0.0,0.0,TSLA
2022-12-08,198.61,200.86,198.14,200.49,59907279,0.0,0.0,TSLA
2022-12-09,206.41,206.8,203.02,204.89,105427409,0.0,0.0,TSLA
2022-12-12,206.06,208.96,205.03,207.96,139684011,0.0,0.0,TSLA
2022-12-13,206.46,210.73,203.1,206.95,116648931,0.0,0.0,TSLA
2022-12-14,204.0,207.15,202.76,204.22,110547081,0.0,0.0,TSLA
2022-12-15,205.33,206.68,204.26,204.28,85697450,0.0,0.0,TSLA
2022-12-16,203.64,204.33,202.78,203.55,111058741,0.0,0.0,TSLA
2022-12-19,202.12,202.85,198.0,200.97,83552755,0.0,0.0,TSLA
2022-12-20,202.54,205.59,200.66,202.33,103805365,0.0,0.0,TSLA
2022-12-21,205.79,206.64,203.35,205.19,111534810,0.6291,0.0,TSLA
2022-12-22,214.13,217.05,210.89,211.05,75537125,0.0,0.0,TSLA
2022-12-23,212.65,217.58,211.74,216.34,123630252,0.0,0.0,TSLA
2022-12-26,219.1,220.86,216.84,220.64,71530078,0.0,0.0,TSLA
2022-12-27,218.52,218.62,214.7,215.98,100963494,0.0,0.0,TSLA
2022-12-28,215.73,219.11,215.27,217.47,154649380,0.0,0.0,TSLA
2022-12-29,216.23,217.8,213.26,214.98,103181346,0.0,0.0,TSLA
2022-12-30,217.6,218.83,214.94,215.44,138020063,0.0,0.0,TSLA
2023-01-02,221.12,224.69,218.45,219.69,50000000,0.0,0.0,TSLA
2023-01-03,221.89,225.91,219.19,219.64,144975318,0.0,0.0,TSLA
2023-01-04,220.76,221.8,217.19,218.55,145291476,0.0,0.0,TSLA
