date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,467.76,469.27,455.6,465.23,2482165,0.0,0.0,UNH
2022-11-25,464.93,470.67,459.05,462.61,2413434,0.0,0.0,UNH
2022-11-28,483.39,500.57,480.06,487.84,2453070,0.0,0.0,UNH
2022-11-29,493.69,503.02,488.48,499.87,4499058,0.0,0.0,UNH
2022-11-30,492.22,496.17,486.94,496.05,3507516,0.0,0.0,UNH
2022-12-01,506.99,514.59,495.89,513.15,3242099,0.0,0.0,UNH
2022-12-02,511.25,520.02,509.26,511.58,2695991,0.0,0.0,UNH
2022-12-05,522.14,531.12,520.64,529.23,3049631,0.0,0.0,UNH
2022-12-06,539.66,545.9,527.48,533.67,2964830,0.0,0.0,UNH
2022-12-07,552.95,556.16,542.36,552.35,3710838,0.0,0.0,UNH
2022-12-08,574.54,579.09,560.02,560.29,2956934,0.0,0.0,UNH
2022-12-09,565.02,568.09,558.72,564.14,1633382,0.0,0.0,UNH
2022-12-12,535.83,542.37,534.26,539.38,3992607,0.0,0.0,UNH
2022-12-13,537.13,544.0,535.36,537.95,3393484,0.0,0.0,UNH
2022-12-14,547.42,547.83,536.11,538.73,1500000,0.0,0.0,UNH
2022-12-15,521.5,532.65,517.25,531.99,2180648,0.0,0.0,UNH
2022-12-16,534.9,542.96,531.72,534.5,5278074,0.0,0.0,UNH
2022-12-19,534.64,543.03,528.57,539.2,3533474,0.0,0.0,UNH
2022-12-20,556.67,564.55,545.79,549.67,3965082,0.0,0.0,UNH
2022-12-21,548.05,548.75,532.84,540.79,1996608,0.0,0.0,UNH
2022-12-22,540.33,548.07,539.85,541.52,2573355,0.0,0.0,UNH
2022-12-23,558.16,567.51,548.94,550.4,4165006,0.0,0.0,UNH
2022-12-26,554.65,561.59,552.41,558.56,3255812,0.0,0.0,UNH
2022-12-27,557.05,562.81,551.02,555.44,3513358,0.0,0.0,UNH
2022-12-28,587.0,592.57,573.77,579.53,3446758,0.0,0.0,UNH
2022-12-29,572.34,573.88,567.77,570.5,1500000,0.0,0.0,UNH
2022-12-30,568.5,578.63,566.53,574.59,2175793,0.0,0.0,UNH
2023-01-02,580.27,580.49,557.39,564.87,2524482,0.0,0.0,UNH
2023-01-03,551.06,552.09,541.85,547.02,2069346,0.0,0.0,UNH
2023-01-04,566.87,569.32,561.58,564.45,2725917,0.0,0.0,UNH
2023-01-05,568.58,572.54,565.59,569.25,3225744,0.0,0.0,UNH
2023-01-06,575.17,580.52,572.22,573.95,2544755,0.0,0.0,UNH
2023-01-09,552.79,561.19,552.09,558.03,3607188,0.0,0.0,UNH
2023-01-10,558.25,562.25,545.23,560.92,1500000,0.0,0.0,UNH
2023-01-11,574.35,575.48,561.75,567.92,2635260,0.0,0.0,UNH
2023-01-12,580.62,582.37,572.58,575.36,2769784,0.0,0.0,UNH
2023-01-13,567.24,573.17,555.42,562.6,2800906,0.0,0.0,UNH
2023-01-16,571.72,578.14,570.66,578.07,2217738,0.0,0.0,UNH
2023-01-17,583.18,592.03,576.86,582.17,2256951,0.0,0.0,UNH
2023-01-18,606.52,610.13,598.13,601.96,1741580,0.0,0.0,UNH
2023-01-19,623.87,632.84,618.26,621.62,2920520,0.0,0.0,UNH
2023-01-20,613.41,616.34,602.86,606.17,3172652,0.0,0.0,UNH
2023-01-23,594.87,610.5,581.11,603.76,3187260,0.0,0.0,UNH
2023-01-24,620.99,626.38,617.24,617.81,1877429,0.0,0.0,UNH
2023-01-25,630.93,634.98,622.11,622.58,4042871,0.0,0.0,UNH
2023-01-26,631.98,649.12,619.94,627.13,3340805,0.0,0.0,UNH
2023-01-27,605.15,619.27,595.39,619.01,2893864,0.0,0.0,UNH
2023-01-30,627.94,632.67,623.62,629.71,4865532,0.0,0.0,UNH
2023-01-31,617.55,622.09,614.68,619.89,3160900,0.0,0.0,UNH
2023-02-01,611.51,618.66,600.67,609.71,2593214,0.0,0.0,UNH
2023-02-02,612.07,617.9,593.04,608.41,5316801,0.0,0.0,UNH
2023-02-03,583.14,600.51,580.26,588.95,3241243,0.0,0.0,UNH
2023-02-06,610.54,613.76,606.26,607.87,1500000,0.0,0.0,UNH
2023-02-07,622.44,623.85,599.43,609.1,2006618,0.0,0.0,UNH
2023-02-08,614.54,624.33,609.59,616.34,3259376,0.0,0.0,UNH
2023-02-09,600.81,610.68,592.63,603.63,2935653,0.0,0.0,UNH
2023-02-10,619.4,628.22,614.05,615.0,2058998,0.0,0.0,UNH
2023-02-13,618.13,626.8,611.1,615.22,3195896,0.0,0.0,UNH
2023-02-14,616.58,627.34,607.75,608.21,2376043,0.0,0.0,UNH
2023-02-15,602.28,603.42,594.62,601.04,1623457,0.0,0.0,UNH
2023-02-16,595.95,598.62,589.28,595.56,1764917,0.0,0.0,UNH
2023-02-17,592.66,594.96,590.94,594.31,3920819,0.0,0.0,UNH
2023-02-20,597.14,609.92,584.79,592.81,5298669,0.0,0.0,UNH
2023-02-21,563.54,577.06,561.9,576.6,2359534,0.0,0.0,UNH
2023-02-22,575.8,589.02,565.34,581.41,3041171,0.0,0.0,UNH
2023-02-23,579.4,587.18,567.76,577.34,3413264,0.0,0.0,UNH
2023-02-24,577.64,584.63,575.56,576.72,2100244,0.0,0.0,UNH
2023-02-27,585.17,593.58,579.82,581.82,2991087,0.0,0.0,UNH
2023-02-28,581.52,594.39,580.05,587.91,3985573,0.0,0.0,UNH
2023-03-01,578.61,582.04,573.28,580.51,2467079,0.0,0.0,UNH
2023-03-02,564.39,568.93,560.98,567.92,1609244,0.0,0.0,UNH
2023-03-03,556.84,561.14,552.86,555.44,4084009,0.0,0.0,UNH
2023-03-06,550.12,553.1,540.35,545.97,3348248,0.0,0.0,UNH
2023-03-07,564.15,568.48,561.9,566.19,2997046,0.0,0.0,UNH
2023-03-08,579.89,589.15,573.26,584.84,3966570,0.0,0.0,UNH
2023-03-09,581.42,582.73,571.13,571.99,3707462,0.0,0.0,UNH
2023-03-10,588.04,598.37,580.1,594.99,3802071,0.0,0.0,UNH
2023-03-13,600.23,606.35,598.27,598.62,3380899,0.0,0.0,UNH
2023-03-14,618.51,630.33,602.83,612.3,2953695,0.0,0.0,UNH
2023-03-15,611.11,611.25,598.99,604.55,3930791,0.0,0.0,UNH
2023-03-16,612.89,619.71,599.48,602.55,1500000,0.0,0.0,UNH
2023-03-17,604.79,608.44,600.91,605.95,2373559,0.0,0.0,UNH
2023-03-20,618.37,625.32,601.75,612.0,1855748,0.0,0.0,UNH
2023-03-21,603.24,609.45,594.34,606.54,1816125,0.0,0.0,UNH
2023-03-22,612.64,623.56,608.77,616.79,3022229,0.0,0.0,UNH
2023-03-23,609.26,618.63,603.76,617.53,2325184,0.0,0.0,UNH
