date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,204.44,206.73,201.43,203.7,5208292,0.0,0.0,VTI
2022-11-25,206.84,209.08,204.2,209.0,3870618,0.0,0.0,VTI
2022-11-28,206.91,207.72,203.85,206.2,4940867,0.0,0.0,VTI
2022-11-29,204.29,207.11,200.18,206.33,3981818,0.0,0.0,VTI
2022-11-30,214.11,214.79,212.06,213.3,5140759,0.0,0.0,VTI
2022-12-01,217.85,218.15,213.99,216.32,3118149,0.0,0.0,VTI
2022-12-02,212.97,215.08,207.69,209.98,4756732,0.0,0.0,VTI
2022-12-05,208.97,209.44,208.25,208.85,3057466,0.0,0.0,VTI
2022-12-06,213.82,214.5,211.35,212.05,5632619,0.0,0.0,VTI
2022-12-07,214.33,216.17,213.58,213.76,3478988,0.0,0.0,VTI
2022-12-08,221.15,222.69,219.19,220.01,5362134,0.0,0.0,VTI
2022-12-09,227.95,230.01,226.32,226.7,5116495,0.0,0.0,VTI
2022-12-12,222.94,226.9,219.19,220.75,5045675,0.0,0.0,VTI
2022-12-13,215.46,217.17,214.12,216.99,4162704,0.0,0.0,VTI
2022-12-14,220.62,223.12,218.53,221.92,4112211,0.0,0.0,VTI
2022-12-15,215.93,220.4,214.75,219.18,2804600,0.0,0.0,VTI
2022-12-16,220.19,220.23,218.52,218.88,5760403,0.0,0.0,VTI
2022-12-19,218.06,219.22,217.34,218.11,5747189,0.0,0.0,VTI
2022-12-20,217.56,219.64,205.46,212.38,4879497,0.0,0.0,VTI
2022-12-21,211.78,212.37,209.37,210.8,4201858,0.0,0.0,VTI
2022-12-22,213.24,214.49,208.89,210.67,4447422,0.0,0.0,VTI
2022-12-23,208.22,208.92,203.93,206.6,4262837,0.0,0.0,VTI
2022-12-26,206.51,206.72,201.73,203.97,5905510,0.0,0.0,VTI
2022-12-27,202.94,205.02,201.46,201.56,2306126,0.0,0.0,VTI
2022-12-28,200.29,203.14,198.66,200.29,2200840,0.0,0.0,VTI
2022-12-29,199.47,200.26,197.12,199.12,5080813,0.0,0.0,VTI
2022-12-30,196.85,198.76,194.13,197.13,4459608,0.0,0.0,VTI
2023-01-02,202.73,203.74,201.9,202.04,4899215,0.0,0.0,VTI
2023-01-03,205.75,209.13,203.3,204.1,3719336,0.0,0.0,VTI
2023-01-04,204.93,207.87,202.55,206.22,4837644,0.0,0.0,VTI
2023-01-05,196.0,200.82,192.76,199.95,3759733,0.0,0.0,VTI
2023-01-06,200.05,206.04,195.63,198.98,4611930,0.0,0.0,VTI
2023-01-09,195.23,195.57,194.44,195.56,2252318,0.0,0.0,VTI
2023-01-10,193.8,196.08,192.96,194.48,5783420,0.0,0.0,VTI
2023-01-11,197.57,199.02,193.07,197.08,4521505,0.0,0.0,VTI
2023-01-12,197.6,197.85,196.29,196.98,3763239,0.0,0.0,VTI
2023-01-13,204.51,207.91,201.72,202.32,3776397,0.0,0.0,VTI
2023-01-16,200.05,201.44,199.46,200.86,3779906,0.0,0.0,VTI
2023-01-17,205.31,206.9,204.98,206.85,5657483,0.0,0.0,VTI
2023-01-18,212.32,215.7,209.55,210.19,3042588,0.0,0.0,VTI
2023-01-19,227.21,228.2,223.27,225.57,4345394,0.0,0.0,VTI
2023-01-20,227.82,230.93,224.78,227.68,4844942,0.0,0.0,VTI
2023-01-23,225.89,226.35,224.1,225.92,6244527,0.0,0.0,VTI
2023-01-24,228.39,230.45,228.22,229.89,5330479,0.0,0.0,VTI
2023-01-25,235.09,237.75,234.77,237.5,2452890,0.0,0.0,VTI
2023-01-26,240.01,240.49,238.61,239.8,6293666,0.0,0.0,VTI
2023-01-27,245.94,246.66,242.63,242.77,2936688,0.0,0.0,VTI
2023-01-30,246.64,248.49,245.42,245.54,2532831,0.0,0.0,VTI
2023-01-31,247.51,248.53,247.13,247.74,2173867,0.0,0.0,VTI
2023-02-01,243.69,246.54,241.23,244.63,6192612,0.0,0.0,VTI
2023-02-02,247.94,249.21,245.05,246.9,5069722,0.0,0.0,VTI
2023-02-03,246.94,253.79,243.54,250.55,4785527,0.0,0.0,VTI
2023-02-06,251.98,255.67,247.26,249.69,5028907,0.0,0.0,VTI
2023-02-07,249.71,254.78,247.42,253.65,4860338,0.0,0.0,VTI
2023-02-08,243.32,247.55,242.69,243.8,2000000,0.0,0.0,VTI
2023-02-09,245.01,246.48,241.87,242.92,2000000,0.0,0.0,VTI
2023-02-10,245.12,245.39,239.85,243.31,2998234,0.0,0.0,VTI
2023-02-13,238.47,241.14,235.56,235.85,3277770,0.0,0.0,VTI
2023-02-14,238.83,240.86,231.34,234.93,4434203,0.0,0.0,VTI
2023-02-15,230.59,231.24,226.53,230.31,4366281,0.6382,0.0,VTI
2023-02-16,230.62,235.76,227.56,228.74,5842899,0.0,0.0,VTI
2023-02-17,225.92,228.42,223.93,227.22,3352597,0.0,0.0,VTI
2023-02-20,233.36,233.92,226.28,230.82,3488364,0.0,0.0,VTI
2023-02-21,235.94,238.57,227.77,231.86,4136555,0.0,0.0,VTI
2023-02-22,238.9,238.98,231.01,235.69,2759037,0.0,0.0,VTI
2023-02-23,229.43,230.52,221.14,224.12,4470919,0.0,0.0,VTI
2023-02-24,220.91,222.63,213.4,219.07,5255325,0.0,0.0,VTI
2023-02-27,219.71,224.1,218.72,220.68,5112455,0.0,0.0,VTI
2023-02-28,230.19,230.62,224.66,225.98,4059438,0.0,0.0,VTI
2023-03-01,221.39,225.79,217.16,222.67,5085520,0.0,0.0,VTI
2023-03-02,230.83,236.58,228.18,235.31,4539192,0.0,0.0,VTI
2023-03-03,231.68,236.49,231.67,233.99,2981061,0.0,0.0,VTI
2023-03-06,238.85,241.14,237.87,240.62,4248972,0.0,0.0,VTI
2023-03-07,248.53,249.01,245.71,246.96,4068421,0.0,0.0,VTI
2023-03-08,249.75,252.2,245.79,251.98,2000000,0.3989,0.0,VTI
2023-03-09,258.41,261.55,253.97,254.51,5462556,0.0,0.0,VTI
2023-03-10,254.45,255.12,247.75,251.25,4323494,0.0,0.0,VTI
2023-03-13,252.53,253.03,245.37,248.47,2700251,0.0,0.0,VTI
2023-03-14,242.9,243.27,240.44,241.41,3695033,0.0,0.0,VTI
2023-03-15,236.43,238.07,234.95,237.33,3794743,0.0,0.0,VTI
2023-03-16,243.14,244.93,240.42,240.95,4509309,0.0,0.0,VTI
2023-03-17,237.48,239.83,236.27,236.45,3767770,0.0,0.0,VTI
2023-03-20,231.69,236.36,228.26,233.76,2082293,0.0,0.0,VTI
2023-03-21,231.9,235.65,228.83,230.99,4025051,0.0,0.0,VTI
2023-03-22,234.91,235.16,233.41,233.77,3614256,0.0,0.0,VTI
2023-03-23,236.35,240.53,236.04,237.05,2000000,0.0,0.0,VTI
2023-03-24,234.41,236.84,230.41,236.19,4542441,0.0,0.0,VTI
2023-03-27,235.67,239.55,233.76,238.5,3554294,0.0,0.0,VTI
2023-03-28,242.23,248.68,240.3,244.5,5373464,0.0,0.0,VTI
2023-03-29,249.09,254.27,246.16,247.55,2000000,0.0,0.0,VTI
2023-03-30,247.39,251.79,246.28,248.68,4782760,0.0,0.0,VTI
2023-03-31,260.96,262.86,259.38,261.91,4549893,0.0,0.0,VTI
2023-04-03,262.19,262.95,261.95,261.99,5213410,0.0,0.0,VTI
2023-04-04,278.53,278.95,270.23,273.23,5625750,0.0,0.0,VTI
2023-04-05,288.68,299.19,286.82,292.15,3224626,0.0,0.0,VTI
2023-04-06,292.69,298.36,290.65,294.61,2000000,0.0,0.0,VTI
2023-04-07,287.42,289.89,287.38,288.71,3962486,0.0,0.0,VTI
2023-04-10,281.4,287.33,277.12,278.54,3530457,0.0,0.0,VTI
2023-04-11,273.26,277.88,269.05,272.05,5657274,0.0,0.0,VTI
2023-04-12,277.36,280.08,271.86,273.02,4143917,0.0,0.0,VTI
2023-04-13,278.0,282.38,270.48,281.78,2000000,0.0,0.0,VTI
2023-04-14,283.44,285.69,281.06,285.59,5311395,0.0,0.0,VTI
2023-04-17,289.17,290.7,284.73,286.52,6215821,0.0,0.0,VTI
2023-04-18,282.07,287.24,278.2,284.03,2438280,0.0,0.0,VTI
2023-04-19,284.29,284.71,282.48,283.97,4728772,0.0,0.0,VTI
2023-04-20,289.08,289.68,287.31,289.64,4571587,0.0,0.0,VTI
2023-04-21,297.3,298.67,292.9,294.53,4111431,0.0,0.0,VTI
2023-04-24,295.23,296.62,289.63,290.07,3022252,0.0,0.0,VTI
2023-04-25,292.72,298.48,291.41,293.47,5246631,0.0,0.0,VTI
2023-04-26,296.49,296.85,294.18,295.18,5143972,0.0,0.0,VTI
2023-04-27,286.25,286.84,282.05,285.73,6608527,0.0,0.0,VTI
2023-04-28,287.44,288.17,286.3,287.89,3211398,0.0,0.0,VTI
2023-05-01,296.58,301.09,295.6,299.73,3026249,0.0,0.0,VTI
2023-05-02,285.82,286.9,285.17,285.81,2903808,0.0,0.0,VTI
2023-05-03,285.62,285.97,282.53,283.04,4437650,0.0,0.0,VTI
2023-05-04,286.62,291.0,284.02,289.92,2573396,0.0,0.0,VTI
2023-05-05,296.05,299.11,293.5,294.0,4163228,0.0,0.0,VTI
2023-05-08,293.92,295.64,291.83,295.41,3935113,0.0,0.0,VTI
2023-05-09,296.78,297.34,294.75,295.38,3413539,0.0,0.0,VTI
2023-05-10,288.32,295.89,284.24,292.54,4916274,0.0,0.0,VTI
2023-05-11,285.85,291.16,284.35,289.83,5120504,0.0,0.0,VTI
2023-05-12,285.37,287.91,281.1,286.97,5157798,0.0,0.0,VTI
2023-05-15,291.28,291.36,285.83,286.38,4061176,0.0,0.0,VTI
2023-05-16,282.42,284.47,281.69,283.36,4017064,0.6274,0.0,VTI
2023-05-17,283.81,285.01,277.9,280.54,2000000,0.0,0.0,VTI
2023-05-18,281.35,284.18,280.42,283.19,4759756,0.0,0.0,VTI
2023-05-19,283.6,283.97,274.19,278.2,3836931,0.0,0.0,VTI
2023-05-22,279.86,281.67,275.67,281.27,4825707,0.0,0.0,VTI
2023-05-23,278.97,280.67,277.84,278.91,2609790,0.0,0.0,VTI
2023-05-24,282.19,284.18,279.34,280.84,3542368,0.0,0.0,VTI
2023-05-25,282.24,286.32,276.96,280.59,3237002,0.0,0.0,VTI
2023-05-26,283.21,287.65,282.99,284.98,5177735,0.0,0.0,VTI
2023-05-29,292.62,294.45,288.11,288.89,4786246,0.0,0.0,VTI
2023-05-30,288.3,291.95,287.61,291.59,5086600,0.0,0.0,VTI
2023-05-31,284.23,285.89,283.77,284.45,2000000,0.0,0.0,VTI
2023-06-01,274.3,276.21,271.46,273.26,4033027,0.0,0.0,VTI
2023-06-02,270.11,274.4,266.53,273.19,2182569,0.0,0.0,VTI
2023-06-05,276.76,278.26,272.12,274.32,3871246,0.0,0.0,VTI
2023-06-06,276.28,279.65,273.39,274.91,2432269,0.0,0.0,VTI
2023-06-07,281.59,284.86,281.2,283.19,4218885,0.0,0.0,VTI
2023-06-08,290.22,291.66,285.83,287.57,4083843,0.0,0.0,VTI
2023-06-09,283.6,289.93,283.21,287.57,4842834,0.0,0.0,VTI
2023-06-12,295.86,297.48,291.52,294.9,4666652,0.0,0.0,VTI
2023-06-13,287.34,287.93,283.97,287.8,4396356,0.0,0.0,VTI
2023-06-14,295.13,299.18,291.79,297.27,2019077,0.0,0.0,VTI
2023-06-15,291.53,294.97,287.25,290.44,4034251,0.0,0.0,VTI
2023-06-16,278.43,278.86,274.32,277.32,5299550,0.0,0.0,VTI
2023-06-19,267.34,271.97,266.34,269.3,4268901,0.0,0.0,VTI
2023-06-20,275.56,276.12,274.51,275.45,2469273,0.0,0.0,VTI
2023-06-21,286.21,289.36,280.54,285.26,4909250,0.0,0.0,VTI
2023-06-22,290.15,293.69,288.55,292.67,3221564,0.0,0.0,VTI
2023-06-23,276.02,278.37,275.63,278.13,5880488,0.0,0.0,VTI
2023-06-26,280.23,281.57,273.15,274.9,3539717,0.0,0.0,VTI
2023-06-27,269.42,270.72,267.93,270.13,5679370,0.0,0.0,VTI
2023-06-28,265.84,267.07,259.6,265.96,2385031,0.0,0.0,VTI
2023-06-29,270.37,272.79,264.53,268.56,3385239,0.0,0.0,VTI
2023-06-30,267.44,271.5,260.79,264.96,4627784,0.0,0.0,VTI
2023-07-03,263.37,266.89,260.25,266.37,2015746,0.0,0.0,VTI
2023-07-04,254.95,260.29,252.71,259.41,3895684,0.0,0.0,VTI
2023-07-05,256.14,259.55,250.54,257.62,6574796,0.0,0.0,VTI
2023-07-06,258.88,267.34,258.46,259.53,5353024,0.0,0.0,VTI
2023-07-07,272.97,277.81,271.3,276.93,4463494,0.0,0.0,VTI
2023-07-10,277.89,284.19,276.36,284.18,5104194,0.0,0.0,VTI
2023-07-11,284.4,293.28,282.21,286.89,2882777,0.0,0.0,VTI
2023-07-12,287.32,291.88,286.26,289.71,4886185,0.0,0.0,VTI
2023-07-13,290.48,298.29,287.41,292.52,2134963,0.0,0.0,VTI
2023-07-14,299.91,300.86,298.04,298.94,4198457,0.0,0.0,VTI
2023-07-17,298.75,298.79,290.22,296.35,3516471,0.0,0.0,VTI
2023-07-18,303.17,305.29,299.27,302.71,2000000,0.0,0.0,VTI
2023-07-19,294.3,297.46,291.17,295.72,2153514,0.0,0.0,VTI
2023-07-20,297.73,298.8,292.68,293.28,5775668,0.0,0.0,VTI
2023-07-21,300.47,301.97,298.38,300.75,5596169,0.0,0.0,VTI
2023-07-24,302.21,306.97,301.62,303.66,3570278,0.0,0.0,VTI
2023-07-25,299.55,301.34,297.69,300.19,3612436,0.0,0.0,VTI
2023-07-26,308.82,309.66,300.7,301.32,4353557,0.0,0.0,VTI
2023-07-27,296.91,300.82,293.52,298.58,2987037,0.0,0.0,VTI
2023-07-28,303.85,307.06,297.84,299.79,3545405,0.0,0.0,VTI
2023-07-31,299.9,306.71,296.62,298.09,3269265,0.0,0.0,VTI
2023-08-01,294.42,302.1,293.78,297.63,3659594,0.0,0.0,VTI
2023-08-02,302.83,306.75,300.02,305.74,4249233,0.0,0.0,VTI
2023-08-03,306.02,308.24,295.66,300.62,4318268,0.0,0.0,VTI
2023-08-04,310.5,312.4,309.43,311.99,3771236,0.0,0.0,VTI
2023-08-07,311.96,316.15,307.35,313.16,2000000,0.0,0.0,VTI
2023-08-08,305.48,310.25,301.49,309.8,5730165,0.0,0.0,VTI
2023-08-09,308.23,310.16,302.65,304.74,4584340,0.0,0.0,VTI
2023-08-10,309.21,309.33,304.19,304.74,3494816,0.0,0.0,VTI
2023-08-11,299.3,306.07,296.33,304.18,4070018,0.0,0.0,VTI
2023-08-14,304.11,306.23,300.3,301.31,3189005,0.0,0.0,VTI
2023-08-15,303.03,309.82,300.13,308.25,4438485,0.0,0.0,VTI
2023-08-16,324.26,330.86,316.77,319.82,4263966,0.0,0.0,VTI
2023-08-17,311.33,318.88,310.02,310.93,2000000,0.0,0.0,VTI
2023-08-18,308.74,312.37,301.84,304.68,2000000,0.0,0.0,VTI
2023-08-21,294.33,296.76,289.23,295.36,3398184,0.0,0.0,VTI
2023-08-22,298.6,302.29,295.9,298.96,4851079,0.0,0.0,VTI
2023-08-23,303.74,305.54,293.19,295.77,2000000,0.0,0.0,VTI
2023-08-24,305.09,308.94,300.6,303.47,3859976,0.0,0.0,VTI
2023-08-25,305.9,307.36,302.94,305.78,4351964,0.0,0.0,VTI
2023-08-28,308.43,310.67,307.12,309.07,5863835,0.0,0.0,VTI
2023-08-29,309.61,310.18,301.5,308.14,5368190,0.0,0.0,VTI
2023-08-30,305.27,307.6,300.49,305.82,3282988,0.0,0.0,VTI
2023-08-31,308.92,310.92,304.6,306.34,3006154,0.0,0.0,VTI
2023-09-01,306.56,307.08,301.65,305.19,4219301,0.0,0.0,VTI
2023-09-04,306.56,309.13,301.54,306.37,2000000,0.0,0.0,VTI
2023-09-05,297.25,302.0,293.82,296.92,4507548,0.0,0.0,VTI
2023-09-06,292.59,292.85,287.5,290.6,4682484,0.0,0.0,VTI
2023-09-07,298.65,299.79,294.88,295.53,4768567,0.0,0.0,VTI
2023-09-08,293.88,298.38,290.27,294.0,4288817,0.0,0.0,VTI
2023-09-11,285.04,290.01,281.82,287.64,3820451,0.0,0.0,VTI
2023-09-12,300.97,303.14,296.4,297.14,5719436,0.0,0.0,VTI
2023-09-13,292.11,295.31,288.24,295.2,2641685,0.0,0.0,VTI
2023-09-14,286.6,291.37,285.73,287.47,4915522,0.0,0.0,VTI
