date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,144.14,145.87,142.36,144.3,5756202,0.0,0.0,WMT
2022-11-25,146.05,147.98,145.17,145.6,6082692,0.0,0.0,WMT
2022-11-28,142.45,145.32,141.51,141.54,6072170,0.0,0.0,WMT
2022-11-29,139.42,143.62,137.81,141.38,7065923,0.0,0.0,WMT
2022-11-30,140.2,142.73,139.58,142.15,7180144,0.0,0.0,WMT
2022-12-01,142.18,145.91,141.24,145.01,4000000,0.0,0.0,WMT
2022-12-02,138.81,141.42,137.54,141.14,7399227,0.0,0.0,WMT
2022-12-05,138.01,138.92,134.3,135.79,10895293,0.0,0.0,WMT
2022-12-06,136.87,137.23,136.23,137.08,6867883,0.0,0.0,WMT
2022-12-07,138.06,141.37,137.12,140.93,8996908,0.0,0.0,WMT
2022-12-08,136.91,136.94,135.18,135.31,5656967,0.0,0.0,WMT
2022-12-09,137.54,138.68,136.86,137.37,8175807,0.0,0.0,WMT
2022-12-12,133.66,134.29,130.56,132.17,12705371,0.0,0.0,WMT
2022-12-13,130.68,133.22,129.72,130.04,6108043,0.0,0.0,WMT
2022-12-14,130.11,130.6,129.33,129.4,9889930,0.0,0.0,WMT
2022-12-15,129.37,131.78,129.29,129.92,11873318,0.0,0.0,WMT
2022-12-16,127.01,127.55,124.95,127.45,6242778,0.0,0.0,WMT
2022-12-19,128.6,129.88,128.6,129.01,4642064,0.0,0.0,WMT
2022-12-20,127.06,128.85,126.8,127.68,8222182,0.0,0.0,WMT
2022-12-21,130.32,131.81,128.7,129.33,9057607,0.0,0.0,WMT
2022-12-22,127.53,128.21,126.41,128.17,4911415,0.0,0.0,WMT
2022-12-23,125.84,126.35,123.79,125.97,4000000,0.0,0.0,WMT
2022-12-26,127.63,130.12,125.28,125.82,10427806,0.0,0.0,WMT
2022-12-27,126.3,130.69,125.6,128.88,7903584,0.0,0.0,WMT
2022-12-28,127.7,128.14,126.82,126.85,15014255,0.0,0.0,WMT
2022-12-29,127.94,128.64,127.04,127.32,12327608,0.0,0.0,WMT
2022-12-30,126.54,128.35,125.81,127.0,6142471,0.0,0.0,WMT
2023-01-02,121.7,121.88,121.23,121.86,4569658,0.0,0.0,WMT
2023-01-03,122.79,124.27,121.84,122.94,11624420,0.0,0.0,WMT
2023-01-04,117.17,117.83,116.62,117.67,7682931,0.0,0.0,WMT
2023-01-05,112.39,116.69,112.36,115.36,5826941,0.0,0.0,WMT
2023-01-06,113.49,115.22,113.1,114.45,9866773,0.0,0.0,WMT
2023-01-09,111.71,115.64,110.85,113.74,4000000,0.0,0.0,WMT
2023-01-10,113.02,114.58,112.79,112.91,7072732,0.0,0.0,WMT
2023-01-11,114.44,114.67,113.01,114.2,6378910,0.0,0.0,WMT
2023-01-12,115.89,116.63,115.05,115.98,6080622,0.0,0.0,WMT
2023-01-13,112.29,113.61,111.58,113.57,4525879,0.0,0.0,WMT
2023-01-16,114.85,117.11,114.74,116.47,4988795,0.0,0.0,WMT
2023-01-17,116.82,117.8,114.37,116.9,5613687,0.0,0.0,WMT
2023-01-18,119.18,120.64,117.82,118.45,8590867,0.0,0.0,WMT
2023-01-19,118.97,121.85,118.46,121.11,8058012,0.0,0.0,WMT
2023-01-20,121.12,123.63,120.28,122.63,11302210,0.0,0.0,WMT
2023-01-23,122.69,122.92,121.54,121.99,5353622,0.0,0.0,WMT
2023-01-24,122.24,123.89,122.16,122.8,6043231,0.0,0.0,WMT
2023-01-25,128.32,130.88,126.72,127.1,8080536,0.0,0.0,WMT
2023-01-26,125.22,126.73,123.38,126.19,8898058,0.0,0.0,WMT
2023-01-27,128.59,130.35,128.16,128.81,9881510,0.0,0.0,WMT
2023-01-30,128.84,129.05,127.53,128.39,9934221,0.0,0.0,WMT
2023-01-31,129.73,130.85,129.6,129.66,8682701,0.0,0.0,WMT
2023-02-01,127.6,130.97,127.45,128.8,4000000,0.0,0.0,WMT
2023-02-02,128.8,129.28,127.01,127.44,4417582,0.0,0.0,WMT
2023-02-03,129.11,129.77,129.07,129.47,10366331,0.0,0.0,WMT
2023-02-06,129.51,134.07,129.27,131.02,8795007,0.0,0.0,WMT
2023-02-07,130.7,131.24,128.01,129.84,9448286,0.0,0.0,WMT
2023-02-08,127.68,129.34,127.66,128.79,7355224,0.0,0.0,WMT
2023-02-09,131.22,133.51,128.96,129.09,4372467,0.0,0.0,WMT
2023-02-10,133.75,135.28,132.22,134.21,6742767,0.0,0.0,WMT
2023-02-13,131.73,132.78,131.44,132.5,7844595,0.0,0.0,WMT
2023-02-14,132.68,136.01,132.0,134.47,4852845,0.0,0.0,WMT
2023-02-15,134.79,135.95,134.59,135.68,8903956,0.0,0.0,WMT
2023-02-16,138.25,139.78,134.46,136.99,11010087,0.0,0.0,WMT
2023-02-17,135.1,138.48,134.72,135.69,9316537,0.0,0.0,WMT
2023-02-20,129.74,134.52,129.18,133.19,5616501,0.0,0.0,WMT
2023-02-21,131.68,134.19,130.9,133.48,12633202,0.0,0.0,WMT
2023-02-22,136.61,137.73,134.65,134.97,5356436,0.0,0.0,WMT
2023-02-23,136.91,137.64,136.02,136.15,9882244,0.0,0.0,WMT
2023-02-24,137.33,140.56,133.7,135.81,7011434,0.0,0.0,WMT
2023-02-27,138.25,140.69,136.36,139.81,6035503,0.0,0.0,WMT
2023-02-28,143.08,143.33,138.39,141.77,6149889,0.0,0.0,WMT
2023-03-01,141.01,141.61,139.88,141.2,8966686,0.0,0.0,WMT
2023-03-02,143.34,145.85,143.26,143.55,4119378,0.0,0.0,WMT
2023-03-03,145.63,148.22,145.31,148.15,4000000,0.0,0.0,WMT
2023-03-06,149.36,149.95,148.99,149.65,6463649,0.0,0.0,WMT
2023-03-07,151.1,153.32,148.96,150.33,7261003,0.0,0.0,WMT
2023-03-08,151.19,153.13,148.89,152.09,7199232,0.0,0.0,WMT
2023-03-09,151.12,151.63,149.33,151.26,9012165,0.0,0.0,WMT
2023-03-10,152.68,153.39,149.94,152.09,10011317,0.0,0.0,WMT
2023-03-13,148.82,154.71,148.36,151.66,11710058,0.0,0.0,WMT
2023-03-14,149.84,150.02,149.61,149.96,8379668,0.0,0.0,WMT
2023-03-15,154.89,155.56,152.82,152.84,7425535,0.0,0.0,WMT
2023-03-16,153.36,153.53,151.92,152.73,4000000,0.0,0.0,WMT
2023-03-17,152.03,152.5,150.09,150.53,12312105,0.0,0.0,WMT
2023-03-20,155.64,157.93,153.67,155.44,9634581,0.0,0.0,WMT
2023-03-21,150.2,153.54,149.19,152.65,7466169,0.0,0.0,WMT
2023-03-22,151.68,155.12,151.53,153.18,8434012,0.0,0.0,WMT
2023-03-23,151.42,155.56,150.03,153.52,7417208,0.0,0.0,WMT
2023-03-24,156.68,156.9,154.38,155.18,11739980,0.0,0.0,WMT
2023-03-27,151.98,154.32,150.1,154.13,9708689,0.0,0.0,WMT
2023-03-28,155.82,156.51,153.11,156.11,9268815,0.0,0.0,WMT
2023-03-29,150.54,155.54,149.75,154.77,4749134,0.0,0.0,WMT
2023-03-30,155.62,155.93,154.24,155.52,8720214,0.0,0.0,WMT
2023-03-31,153.07,154.79,152.27,153.94,10123633,0.0,0.0,WMT
2023-04-03,157.19,157.73,156.08,157.27,7284020,0.0,0.0,WMT
2023-04-04,157.23,158.22,153.71,157.02,9366447,0.0,0.0,WMT
2023-04-05,151.52,153.22,150.77,152.63,6433279,0.0,0.0,WMT
2023-04-06,152.15,153.77,151.75,152.61,10817222,0.0,0.0,WMT
2023-04-07,148.44,150.09,147.39,148.29,7307655,0.0,0.0,WMT
2023-04-10,149.01,149.05,146.83,148.82,6605329,0.0,0.0,WMT
2023-04-11,148.28,150.87,145.94,147.66,4000000,0.0,0.0,WMT
2023-04-12,148.36,149.28,146.82,148.56,6553490,0.0,0.0,WMT
2023-04-13,144.02,147.81,143.96,146.03,4000000,0.0,0.0,WMT
2023-04-14,150.64,150.74,149.93,150.27,6029926,0.5887,0.0,WMT
2023-04-17,151.3,154.92,151.09,152.02,8412693,0.0,0.0,WMT
2023-04-18,149.63,152.07,148.35,150.42,8871807,0.0,0.0,WMT
2023-04-19,151.21,154.49,150.47,151.84,11382253,0.0,0.0,WMT
2023-04-20,151.92,154.37,151.4,153.94,6558188,0.0,0.0,WMT
2023-04-21,151.58,151.79,150.61,151.07,9211202,0.0,0.0,WMT
2023-04-24,153.27,154.96,152.3,154.59,9240306,0.0,0.0,WMT
2023-04-25,157.79,159.9,154.43,158.7,11706822,0.0,0.0,WMT
2023-04-26,161.31,163.67,157.63,160.56,6741221,0.0,0.0,WMT
2023-04-27,157.7,158.31,156.38,157.54,11416591,0.0,0.0,WMT
2023-04-28,159.4,159.96,157.68,158.57,6215727,0.0,0.0,WMT
2023-05-01,160.58,162.62,160.02,161.41,6554369,0.0,0.0,WMT
2023-05-02,164.59,168.15,164.45,166.25,5997882,0.0,0.0,WMT
2023-05-03,161.05,165.58,159.06,160.86,10244268,0.0,0.0,WMT
2023-05-04,167.07,168.06,163.74,165.62,7841417,0.0,0.0,WMT
2023-05-05,166.62,169.06,165.22,165.92,10721698,0.0,0.0,WMT
2023-05-08,168.31,173.24,167.63,168.22,6776215,0.0,0.0,WMT
2023-05-09,167.27,169.13,166.36,168.37,7229435,0.0,0.0,WMT
2023-05-10,161.04,162.86,160.61,161.9,7700345,0.0,0.0,WMT
2023-05-11,161.25,162.56,156.7,159.14,6612888,0.0,0.0,WMT
2023-05-12,158.51,159.65,155.77,159.3,8355724,0.0,0.0,WMT
2023-05-15,158.93,161.06,156.97,157.25,6120816,0.0,0.0,WMT
2023-05-16,157.58,160.93,157.11,159.3,8959248,0.0,0.0,WMT
2023-05-17,158.73,160.46,158.16,158.52,10361917,0.0,0.0,WMT
2023-05-18,157.19,158.47,154.26,155.67,7892862,0.0,0.0,WMT
2023-05-19,158.21,160.49,156.8,157.06,5540772,0.0,0.0,WMT
2023-05-22,154.12,160.16,151.16,156.84,6223939,0.0,0.0,WMT
2023-05-23,157.14,157.33,155.94,156.62,6560367,0.0,0.0,WMT
2023-05-24,157.44,158.24,155.28,156.62,7350508,0.0,0.0,WMT
2023-05-25,156.7,157.77,155.94,156.14,4000000,0.0,0.0,WMT
2023-05-26,149.1,151.07,148.33,150.7,11206954,0.0,0.0,WMT
2023-05-29,153.11,154.45,151.6,152.71,5284493,0.0,0.0,WMT
2023-05-30,158.63,159.98,156.09,156.78,8857014,0.0,0.0,WMT
2023-05-31,159.68,160.87,159.12,159.8,5373863,0.0,0.0,WMT
2023-06-01,164.15,164.75,159.74,160.87,10123165,0.0,0.0,WMT
2023-06-02,163.26,166.07,162.85,163.47,6383989,0.0,0.0,WMT
2023-06-05,157.6,158.57,155.0,157.6,9230177,0.0,0.0,WMT
2023-06-06,155.23,157.23,152.36,155.47,11185625,0.0,0.0,WMT
2023-06-07,161.06,162.59,159.38,160.54,5858701,0.0,0.0,WMT
2023-06-08,159.9,160.58,157.76,160.07,8124599,0.0,0.0,WMT
2023-06-09,161.77,164.05,161.28,162.15,8635028,0.0,0.0,WMT
2023-06-12,162.4,167.02,160.57,165.28,10211820,0.0,0.0,WMT
2023-06-13,169.77,170.81,168.79,169.12,7556963,0.0,0.0,WMT
2023-06-14,174.98,179.09,173.47,176.04,11501446,0.0,0.0,WMT
2023-06-15,179.88,182.33,179.71,180.31,6947217,0.0,0.0,WMT
2023-06-16,182.71,184.75,179.17,180.79,14906852,0.0,0.0,WMT
2023-06-19,184.37,186.79,183.68,185.98,8986460,0.886,0.0,WMT
2023-06-20,188.25,190.26,188.15,189.64,6538267,0.0,0.0,WMT
2023-06-21,186.08,189.61,185.25,188.46,6717815,0.0,0.0,WMT
2023-06-22,193.61,199.32,190.91,194.94,8777327,0.0,0.0,WMT
2023-06-23,191.02,197.72,188.39,197.17,6443552,0.0,0.0,WMT
2023-06-26,198.27,199.58,196.89,198.14,9181726,0.0,0.0,WMT
2023-06-27,199.78,200.33,194.66,197.45,5391624,0.0,0.0,WMT
2023-06-28,199.76,202.19,199.29,202.11,10154734,0.0,0.0,WMT
2023-06-29,198.8,201.87,198.06,199.39,5330514,0.0,0.0,WMT
2023-06-30,201.89,202.77,200.73,201.76,11035482,0.0,0.0,WMT
2023-07-03,205.25,205.74,201.81,202.97,6556830,0.0,0.0,WMT
2023-07-04,203.39,210.61,200.2,203.48,6594015,0.0,0.0,WMT
2023-07-05,199.81,202.12,199.49,201.0,9819359,0.0,0.0,WMT
