date,open,high,low,close,volume,dividends,stock splits,symbol
2022-11-24,100.76,102.18,99.94,101.54,10459492,0.0,0.0,XOM
2022-11-25,99.09,100.41,98.68,98.74,30443369,0.0,0.0,XOM
2022-11-28,95.29,96.48,94.38,95.13,13304407,0.0,0.0,XOM
2022-11-29,95.32,97.0,95.06,95.8,10000000,0.0,0.0,XOM
2022-11-30,95.46,95.56,94.07,94.15,16013276,0.0,0.0,XOM
2022-12-01,96.95,97.08,95.52,95.53,15021620,0.0,0.0,XOM
2022-12-02,94.72,94.91,92.37,94.16,19544138,0.0,0.0,XOM
2022-12-05,96.42,97.37,96.37,96.9,22687232,0.0,0.0,XOM
2022-12-06,93.63,95.16,93.31,94.72,33371433,0.0,0.0,XOM
2022-12-07,93.95,94.29,90.71,92.03,22765663,0.0,0.0,XOM
2022-12-08,92.33,93.36,90.34,92.34,11559992,0.0,0.0,XOM
2022-12-09,94.54,94.99,94.44,94.68,15691605,0.0,0.0,XOM
2022-12-12,91.05,92.4,90.7,92.36,14467662,0.0,0.0,XOM
2022-12-13,91.62,92.2,90.97,91.06,26325930,0.0,0.0,XOM
2022-12-14,90.48,90.52,89.52,90.33,11673681,0.0,0.0,XOM
2022-12-15,88.73,91.02,88.51,89.41,11202229,0.0,0.0,XOM
2022-12-16,88.91,90.62,87.59,89.88,10000000,0.0,0.0,XOM
2022-12-19,90.44,92.35,90.11,91.13,15315696,0.0,0.0,XOM
2022-12-20,92.0,92.0,91.06,91.24,18833532,0.0,0.0,XOM
2022-12-21,88.63,89.78,87.46,89.29,18925470,0.0,0.0,XOM
2022-12-22,87.47,88.4,86.64,87.03,25217060,0.0,0.0,XOM
2022-12-23,85.76,87.08,84.57,85.75,23938975,0.0,0.0,XOM
2022-12-26,84.21,84.87,83.28,84.76,24789579,0.0,0.0,XOM
2022-12-27,86.74,88.29,86.05,88.2,23407277,0.0,0.0,XOM
2022-12-28,85.5,87.16,85.1,86.75,19378938,0.3933,0.0,XOM
2022-12-29,86.18,86.49,84.08,86.11,14890055,0.0,0.0,XOM
2022-12-30,86.87,88.42,86.32,87.45,23327691,0.0,0.0,XOM
2023-01-02,86.11,88.51,85.76,86.13,31902201,0.0,0.0,XOM
2023-01-03,84.39,85.38,82.93,84.98,24747288,0.0,0.0,XOM
2023-01-04,86.99,87.3,86.28,86.87,21465352,0.0,0.0,XOM
2023-01-05,84.95,87.78,82.98,85.8,22387159,0.0,0.0,XOM
2023-01-06,86.77,87.45,86.38,86.47,21420127,0.0,0.0,XOM
2023-01-09,87.64,88.08,86.5,87.19,27149762,0.0,0.0,XOM
2023-01-10,85.48,85.92,83.61,84.28,21938836,0.0,0.0,XOM
2023-01-11,83.88,84.5,83.25,83.74,22089470,0.0,0.0,XOM
2023-01-12,82.01,82.12,81.07,81.49,10000000,0.0,0.0,XOM
2023-01-13,78.45,80.11,77.53,80.0,19386396,0.0,0.0,XOM
2023-01-16,76.9,77.56,76.39,77.52,14083239,0.0,0.0,XOM
2023-01-17,77.57,77.68,76.19,76.36,20136841,0.0,0.0,XOM
2023-01-18,74.47,74.84,74.38,74.8,19155832,0.0,0.0,XOM
2023-01-19,77.47,77.72,76.48,76.63,18645310,0.0,0.0,XOM
2023-01-20,77.84,78.41,75.79,77.58,25631019,0.0,0.0,XOM
2023-01-23,77.6,79.67,76.54,78.18,29072435,0.0,0.0,XOM
2023-01-24,77.91,79.0,76.81,77.39,22724281,0.0,0.0,XOM
2023-01-25,76.02,78.24,75.41,76.51,32350164,0.0,0.0,XOM
2023-01-26,77.75,78.38,77.71,77.72,21047751,0.0,0.0,XOM
2023-01-27,79.72,80.46,78.11,78.74,23145687,0.0,0.0,XOM
2023-01-30,78.57,79.48,77.23,77.87,31601443,0.0,0.0,XOM
2023-01-31,78.74,79.9,78.56,78.95,28865924,0.0,0.0,XOM
2023-02-01,79.87,80.57,78.94,79.49,14083099,0.0,0.0,XOM
2023-02-02,77.75,79.08,77.7,78.07,14657581,0.0,0.0,XOM
2023-02-03,77.21,78.93,75.81,77.1,24234361,0.0,0.0,XOM
2023-02-06,77.19,78.65,76.74,77.66,20567019,0.0,0.0,XOM
2023-02-07,78.05,78.16,76.62,77.42,15103387,0.0,0.0,XOM
2023-02-08,77.27,77.62,75.11,76.87,15788513,0.0,0.0,XOM
2023-02-09,74.48,75.99,73.02,74.59,10890452,0.0,0.0,XOM
2023-02-10,75.38,76.3,74.16,75.93,16423936,0.0,0.0,XOM
2023-02-13,74.31,75.26,72.64,73.63,26229748,0.0,0.0,XOM
2023-02-14,74.16,75.18,72.32,73.06,22994875,0.0,0.0,XOM
2023-02-15,74.55,75.43,72.35,72.57,23226632,0.0,0.0,XOM
2023-02-16,71.79,72.88,71.46,72.6,11380453,0.0,0.0,XOM
2023-02-17,71.85,73.2,71.51,72.79,33221135,0.0,0.0,XOM
2023-02-20,70.11,71.49,70.07,71.0,22050312,0.0,0.0,XOM
2023-02-21,72.03,72.25,70.89,71.74,20825925,0.0,0.0,XOM
2023-02-22,73.12,73.43,72.75,72.9,31462382,0.0,0.0,XOM
2023-02-23,72.66,72.86,71.31,71.96,15062542,0.0,0.0,XOM
2023-02-24,71.79,71.89,70.71,71.47,10000000,0.0,0.0,XOM
2023-02-27,72.57,73.3,69.54,71.69,22534688,0.0,0.0,XOM
2023-02-28,70.68,70.7,69.1,70.14,16976517,0.0,0.0,XOM
2023-03-01,71.37,71.61,69.41,70.13,20786510,0.0,0.0,XOM
2023-03-02,68.24,69.0,68.06,68.95,16596419,0.0,0.0,XOM
2023-03-03,66.96,68.03,66.24,67.33,12512152,0.0,0.0,XOM
2023-03-06,66.78,67.19,66.15,66.59,16976183,0.0,0.0,XOM
2023-03-07,67.62,67.71,66.36,67.28,34295357,0.0,0.0,XOM
2023-03-08,70.24,71.73,70.18,70.6,19151997,0.0,0.0,XOM
2023-03-09,70.65,71.17,69.77,70.07,12965341,0.0,0.0,XOM
2023-03-10,70.86,71.17,70.53,70.57,14363545,0.0,0.0,XOM
2023-03-13,71.63,71.91,70.72,71.03,22538400,0.0,0.0,XOM
2023-03-14,70.93,72.53,70.38,70.38,34134151,0.0,0.0,XOM
2023-03-15,69.86,70.87,68.72,69.56,12980776,0.0,0.0,XOM
2023-03-16,70.03,71.92,69.5,70.63,16244412,0.0,0.0,XOM
2023-03-17,70.56,71.75,70.02,70.28,16915882,0.0,0.0,XOM
