Date,Time,Type,Stock,What Happened,Price Per Share,Total Amount,Strategy Used,Why,Result
11/24/2025,12:00 AM,Backtest,AAPL,Sold 389 shares,$275.92,"$107,333.21",Momentum,Backtest period ended - closing all positions,"Made $15,299.81"
11/24/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$668.73,"$92,197.03",Pairs Trading,Price returned to near its average - taking profits,"Made $1,147.06"
11/24/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$668.73,"$92,197.04",Pairs Trading,Price returned to near its average - taking profits,"Made $1,147.06"
11/24/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$668.73,"$92,197.03",Pairs Trading,Price returned to near its average - taking profits,"Made $1,147.06"
11/24/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$668.73,"$92,197.03",Pairs Trading,Price returned to near its average - taking profits,"Made $1,147.06"
11/24/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$668.73,"$92,197.04",Pairs Trading,Price returned to near its average - taking profits,"Made $1,147.06"
11/24/2025,05:00 AM,Backtest,SPY,Sold 137 shares,$668.73,"$91,948.27",Pairs Trading,Price returned to near its average - taking profits,"Made $1,143.97"
11/24/2025,05:00 AM,Backtest,SPY,Sold 137 shares,$668.73,"$91,948.27",Pairs Trading,Price returned to near its average - taking profits,"Made $1,143.97"
11/24/2025,05:00 AM,Backtest,SPY,Sold 137 shares,$668.73,"$91,948.27",Pairs Trading,Price returned to near its average - taking profits,"Made $1,143.97"
11/24/2025,05:00 AM,Backtest,SPY,Sold 137 shares,$668.73,"$91,948.27",Pairs Trading,Price returned to near its average - taking profits,"Made $1,143.97"
11/25/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$675.02,"$93,037.52",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,013.68"
11/25/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$675.02,"$93,037.53",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,013.68"
11/25/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$675.02,"$93,037.52",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,013.68"
11/25/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$675.02,"$93,037.52",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,013.68"
11/25/2025,12:00 AM,Backtest,SPY,Sold 138 shares,$675.02,"$93,037.53",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,013.68"
11/25/2025,05:00 AM,Backtest,SPY,Sold 137 shares,$675.02,"$92,786.49",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,008.25"
11/25/2025,05:00 AM,Backtest,SPY,Sold 153 shares,$675.02,"$103,391.48",Trend Following,Backtest period ended - closing all positions,"Made $13,346.48"
11/25/2025,05:00 AM,Backtest,SPY,Sold 137 shares,$675.02,"$92,786.49",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,008.25"
11/25/2025,05:00 AM,Backtest,SPY,Sold 153 shares,$675.02,"$103,391.48",Trend Following,Backtest period ended - closing all positions,"Made $13,346.48"
11/25/2025,05:00 AM,Backtest,SPY,Sold 137 shares,$675.02,"$92,786.49",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,008.25"
11/25/2025,05:00 AM,Backtest,SPY,Sold 153 shares,$675.02,"$103,391.48",Trend Following,Backtest period ended - closing all positions,"Made $13,346.48"
11/25/2025,05:00 AM,Backtest,SPY,Sold 137 shares,$675.02,"$92,786.49",Mean Reversion,"Price bounced back to $675.02, reaching the average at $673.11 - target hit","Made $2,008.25"
11/25/2025,05:00 AM,Backtest,SPY,Sold 153 shares,$675.02,"$103,391.48",Trend Following,Backtest period ended - closing all positions,"Made $13,346.48"
11/26/2025,12:00 AM,Backtest,SPY,Sold 154 shares,$679.68,"$104,702.48",Trend Following,Backtest period ended - closing all positions,"Made $14,657.48"
11/26/2025,12:00 AM,Backtest,SPY,Sold 154 shares,$679.68,"$104,702.47",Trend Following,Backtest period ended - closing all positions,"Made $14,657.47"
11/26/2025,12:00 AM,Backtest,SPY,Sold 154 shares,$679.68,"$104,702.48",Trend Following,Backtest period ended - closing all positions,"Made $14,657.48"
11/26/2025,12:00 AM,Backtest,SPY,Sold 154 shares,$679.68,"$104,702.48",Trend Following,Backtest period ended - closing all positions,"Made $14,657.48"
11/26/2025,12:00 AM,Backtest,SPY,Sold 154 shares,$679.68,"$104,702.47",Trend Following,Backtest period ended - closing all positions,"Made $14,657.47"
